<A> = <B>	<B> を <A> に代入する
<B> = <A>	<A> を <B> に代入する
<A> = <B>	<A> を <B> とする
<B> = <A>	<B> を <A> とする
<A> = <B>	<A> は <B> である
<B> = <A>	<B> は <A> である
<A> , <B> = <B> , <A>	<A> と <B> をスワップする
<B> , <A> = <A> , <B>	<B> と <A> をスワップする
<A> , <B> = <B> , <A>	<A> と <B> の値をスワップする
<B> , <A> = <A> , <B>	<B> と <A> の値をスワップする
<A> , <B> = <B> , <A>	<A> と <B> を入れ替える
<B> , <A> = <A> , <B>	<B> と <A> を入れ替える
<A> % 2 == 0	<A> が偶数かどうか
if <A> % 2 == 0 :	<A> が偶数ならば
<A> % 2 == 1	<A> が奇数か否か
if <A> % 2 == 1 :	<A> が奇数のとき
<A> % 2 != 0	<A> が奇数か
if <A> % 2 != 0 :	<A> が奇数ならば
<A> % 2 != 1	<A> が偶数かどうか
if <A> % 2 != 1 :	もし <A> が偶数ならば
<A> % <B> == 0	<A> が <B> の倍数か否か
<B> % <A> == 0	<B> が <A> の倍数か否か
if <A> % <B> == 0 :	<A> が <B> の倍数のとき
if <B> % <A> == 0 :	<B> が <A> の倍数のとき
<A> % <B> == 0	<A> が <B> の倍数でないか
<B> % <A> == 0	<B> が <A> の倍数でないか
if <A> % <B> == 0 :	<A> が <B> の倍数でないとき
if <B> % <A> == 0 :	<B> が <A> の倍数でないとき
<A> == <B>	<A> が <B> に等しいか否か
<B> == <A>	<B> が <A> に等しいか否か
if <A> == <B> :	<A> が <B> に等しいならば
if <B> == <A> :	<B> が <A> に等しいならば
<A> != <B>	<A> が <B> に等しくないか
<B> != <A>	<B> が <A> に等しくないか
if <A> != <B> :	もし <A> が <B> に等しくないならば
if <B> != <A> :	もし <B> が <A> に等しくないならば
<A> is <B>	<A> が <B> と同一か否か
<B> is <A>	<B> が <A> と同一か否か
if <A> is <B> :	<A> が <B> と同一ならば
if <B> is <A> :	<B> が <A> と同一ならば
<A> is <B>	<A> が <B> と同じかどうか
<B> is <A>	<B> が <A> と同じかどうか
if <A> is <B> :	もし <A> が <B> と同じならば
if <B> is <A> :	もし <B> が <A> と同じならば
<A> is not <B>	<A> が <B> と同一でないか
<B> is not <A>	<B> が <A> と同一でないか
if <A> is not <B> :	もし <A> が <B> と同一でないならば
if <B> is not <A> :	もし <B> が <A> と同一でないならば
<A> is not <B>	<A> が <B> と同じでないか
<B> is not <A>	<B> が <A> と同じでないか
if <A> is not <B> :	<A> が <B> と同じでない場合
if <B> is not <A> :	<B> が <A> と同じでない場合
<A> in <B>	<A> が <B> に含まれるか否か
<B> in <A>	<B> が <A> に含まれるか否か
if <A> in <B> :	もし <A> が <B> に含まれるならば
if <B> in <A> :	もし <B> が <A> に含まれるならば
<A> in <B>	<A> が <B> 内にあるか
<B> in <A>	<B> が <A> 内にあるか
if <A> in <B> :	<A> が <B> 内にあるとき
if <B> in <A> :	<B> が <A> 内にあるとき
<A> in <B>	<A> が <B> 中に含まれるかどうか
<B> in <A>	<B> が <A> 中に含まれるかどうか
if <A> in <B> :	<A> が <B> 中に含まれるとき
if <B> in <A> :	<B> が <A> 中に含まれるとき
<A> in <B>	<A> が <B> 中にあるか
<B> in <A>	<B> が <A> 中にあるか
if <A> in <B> :	<A> が <B> 中にある場合
if <B> in <A> :	<B> が <A> 中にある場合
<A> not in <B>	<A> が <B> 中に存在しないかどうか
<B> not in <A>	<B> が <A> 中に存在しないかどうか
if <A> not in <B> :	<A> が <B> 中に存在しないならば
if <B> not in <A> :	<B> が <A> 中に存在しないならば
<A> not in <B>	<A> が <B> 中にないかどうか
<B> not in <A>	<B> が <A> 中にないかどうか
if <A> not in <B> :	<A> が <B> 中にないとき
if <B> not in <A> :	<B> が <A> 中にないとき
<A> not in <B>	<A> が <B> にないかどうか
