x = y	yをxに代入する
x = y	xをyとする
x = y	xはyである
x, y = y, x	xとyの値をスワップする
x, y = y, x	xとyの値を入れ替える
x, y = y, x	xとyを入れ替える
x % 2 == 0	xが偶数か否か
if x % 2 == 0:	xが偶数のとき
x % 2 == 1	xが奇数か
if x % 2 == 1:	xが奇数のとき
x % 2 != 0	xが奇数か
if x % 2 != 0:	xが奇数のとき
x % 2 != 1	xが偶数か否か
if x % 2 != 1:	xが偶数ならば
x % y == 0	xがyの倍数か否か
if x % y == 0:	もしxがyの倍数ならば
x % y == 0	xがyの倍数でないか否か
if x % y == 0:	もしxがyの倍数でないならば
x == y	xがyに等しいか
if x == y:	xがyに等しいならば
x != y	xがyに等しくないか
if x != y:	xがyに等しくないならば
x is y	xがyと同じか
if x is y:	xがyと同じのとき
x is not y	xがyと同じでないかどうか
if x is not y:	xがyと同じでないとき
x is not y	xがyと同一でないか
if x is not y:	もしxがyと同一でないならば
x in y	xがy中に存在するか
if x in y:	xがy中に存在するならば
x in y	xがy内に含まれるか否か
if x in y:	xがy内に含まれるならば
x in y	xがy中にあるか
if x in y:	xがy中にあるとき
x in y	xがyに存在するか
if x in y:	xがyに存在するならば
x in y	xがy内に存在するか
if x in y:	xがy内に存在する場合
x in y	xがyにあるか否か
if x in y:	xがyにあるならば
x in y	xがy中に含まれるかどうか
if x in y:	もしxがy中に含まれるならば
x not in y	xがy中に含まれないか
if x not in y:	xがy中に含まれないならば
x not in y	xがy内にないか
if x not in y:	xがy内にない場合
x not in y	xがy内に存在しないか
if x not in y:	xがy内に存在しないとき
x not in y	xがy内に含まれないか否か
if x not in y:	xがy内に含まれない場合
x not in y	xがy中に存在しないか
if x not in y:	xがy中に存在しないとき
x not in y	xがyに含まれないか
if x not in y:	xがyに含まれないとき
x ** y	xのy乗
x | y	xとyの論理和
x ^ y	xとyの排他的論理和
x & y	xとyの論理積
x << n	xのnビット左シフト
x >> n	xのnビット右シフト
~x	xのビット反転
x += y	xをy多くする
x += y	xをyだけ多くする
x += y	xをyだけ増やす
x += y	xをy増加させる
x += y	xをy増やす
x += y	xをyだけ増加させる
x += 1	xを1つ増やす
x += 1	xを1つ多くする
x += 1	xを1つ増加させる
x -= y	xをyだけ減少させる
x -= y	xをyだけ少なくする
x -= y	xをy減少させる
x -= y	xをy減らす
x -= y	xをyだけ減らす
x -= 1	xを1つ減少させる
x -= 1	xを1つ減らす
x -= 1	xを1つ少なくする
x *= y	xをy倍にする
x /= y	xをy分の1にする
x //= y	xをy分の1にする
x //= y	xを切り捨てながらy分の1にする
x /= 2	xを半分にする
x //= 2	xを切り捨てながら半分にする
x //= 2	xを半分にする
x **= y	xをy乗にする
x %= y	xをyで割った余りにする
x %= y	xをyの剰余にする
x |= y	xをyとの論理和にする
x &= y	xをyとの論理積にする
x ^= y	xをyとの排他論理和にする
x <<= y	xをyビット左にシフトする
x <<= y	xをyビット、左シフトする
x >>= y	xをyビット右にシフトする
x >>= y	xをyビット、右シフトする
abs(x)	xの絶対値
bool(x)	xが真か
if bool(x):	xが真ならば
not bool(x)	xが真でないかどうか
if bool(x) :	もしxが真場合
if not bool(x) :	もしxが真でない場合
while bool(x) :	xが真間
while not bool(x) :	xが真でない間
complex(x, y)	x,yの複素数
divmod(x, y)	xとyの商と余り
divmod(x, y)[0]	xとyの商
divmod(x, y)[1]	xとyの余り
float(x)	浮動小数点数にxを変換する
float(x)	xを小数点数に変換する
float(x)	xを実数にする
float(x)	小数点数にxを変換する
float(x)	xを数にする
float(x)	数にxをする
float(x)	浮動小数点数にxをする
float(x)	xを浮動小数点数にする
float(x)	数にxを変換する
float(x)	xを小数点数にする
float(x)	xの数
float(x)	xの浮動小数点数
float(x)	xの小数点数
float(x)	xの実数
int(x)	整数にxをする
int(x)	整数にxを変換する
int(x)	xを整数値に変換する
int(x)	自然数にxをする
int(x)	整数値にxをする
int(x)	xを自然数にする
int(x)	xを変換した整数値
int(x)	xの整数値
int(s, 2)	2進数文字列sから整数に変換する
int(s, 2)	2進数表記sから自然数にする
int(s, 2)	2進数表記sから整数に変換する
int(s, 2)	2進数表記sから自然数に変換する
int(s, 2)	2進数表記sから整数にする
int(s, 2)	2進数表記sから整数値にする
int(s, 2)	2進数文字列sから整数値に変換する
int(s, 2)	2進数文字列sから整数値にする
int(s, 2)	文字列sを2進数として整数値にする
int(s, 2)	2進数としてsを整数にする
int(s, 2)	sを2進数として整数に変換する
int(s, 2)	2進数として文字列sを自然数に変換する
int(s, 2)	2進数として文字列sを整数値にする
int(s, 2)	sを2進数として整数値に変換する
int(s, 2)	2進数としてs文字列を自然数に変換する
int(s, 2)	sを2進数として整数値にする
int(s, 2)	文字列sを2進数として整数にする
int(s, 2)	2進数としてsを自然数にする
int(s, 2)	sを2進数として自然数にする
int(s, 2)	2進数表記sから変換した自然数
int(s, 2)	2進数表記sから変換した整数値
int(s, 2)	2進数表記sから変換した整数
int(s, 2)	2進数表現sから変換した整数
int(s, 2)	2進数文字列sから変換した整数
ord(c)	cのコードポイント
ord(c)	cの文字コード
max(x)	数列xの最大値
max(x)	xの最大値
max(x, y)	xとyの大きな方
max(x, y)	xとyの最大値
max(x, y)	xとyの大きな値
max(x, y, z)	x,y,zの最大値
min(x)	xの最小値
min(x)	数列xの最小値
min(x, y)	xとyの小さな方
min(x, y)	xとyの最小値
min(x, y)	xとyの小さな値
min(x, y, z)	x,y,zの最小値
pow(x, y)	xのy乗
pow(x, y, z)	xのy乗をzで剰余した値
round(x)	xを丸める
round(x)	xを四捨五入する
round(x)	xを四捨五入した整数
round(x)	xを丸めた整数
round(x)	xを丸めた自然数
round(x)	xを丸めた整数値
round(x)	xを四捨五入した整数値
round(x, n)	xを少数部n桁まで丸める
round(x, n)	xを少数部n桁で四捨五入する
round(x, n)	xを少数部n桁で丸める
round(x, n)	xを少数部n桁まで四捨五入する
round(x, n)	xの少数部をn桁で四捨五入した整数
round(x, n)	xの少数部をn桁で丸めた整数値
round(x, n)	xの少数部をn桁で四捨五入した整数値
round(x, n)	xの少数をn桁まで四捨五入した整数
round(x, n)	xの少数をn桁まで丸めた整数
round(x, n)	xの少数をn桁まで四捨五入した整数値
round(x, n)	xの少数をn桁で丸めた整数
round(x, n)	xの少数をn桁で丸めた自然数
round(x, n)	xの少数部をn桁まで四捨五入した整数
round(x, n)	xの少数をn桁で丸めた整数値
round(x, n)	xの少数部をn桁まで四捨五入した整数値
math.trunc(x)	xの少数部を切り捨てる
math.trunc(x)	xの少数を切り捨てる
math.trunc(x)	xを切り捨てる
math.trunc(x)	xを切り捨てた整数
math.trunc(x)	xの少数を切り捨てた整数
math.trunc(x)	xの少数を切り捨てた自然数
math.trunc(x)	xの少数部を切り捨てた整数
math.trunc(x)	xを切り捨てた整数値
math.trunc(x)	xの少数部を切り捨てた整数値
math.floor(x)	xの少数を切り上げる
math.floor(x)	xを切り上げる
math.floor(x)	x以下の最大の整数値
math.floor(x)	x以下の最大の整数
math.floor(x)	x以下の最大の自然数
math.floor(x)	x以下の最大な整数
math.floor(x)	x以下の最大な整数値
math.floor(x)	x以下の最大な自然数
math.floor(x)	xの少数を切り上げた自然数
math.floor(x)	xの少数を切り上げた整数
math.floor(x)	xを切り上げた整数
math.floor(x)	xを切り上げた整数値
math.floor(x)	xの少数部を切り上げた自然数
math.floor(x)	xの少数部を切り上げた整数
math.floor(x)	xの少数を切り上げた整数値
math.ceil(x)	xを切り捨てる
math.ceil(x)	xの少数部を切り捨てる
math.ceil(x)	xの少数を切り捨てる
math.ceil(x)	x以上の最小な整数
math.ceil(x)	x以上の最小の整数
math.ceil(x)	x以上の最小な自然数
math.ceil(x)	x以上の最小の自然数
math.ceil(x)	x以上の最小な整数値
math.ceil(x)	xの少数部を切り捨てた整数
math.ceil(x)	xを切り捨てた整数
math.ceil(x)	xの少数を切り捨てた自然数
math.ceil(x)	xの少数を切り捨てた整数
math.ceil(x)	xの少数部を切り捨てた整数値
math.ceil(x)	xの少数部を切り捨てた自然数
ascii(x)	xを印字できる文字列にする
ascii(x)	xの印字可能な文字列
bin(x)	xを2進数文字列にする
bin(x)	xを2進数表記にする
bin(x)	xを2進数表現にする
bin(x)	xの2進数文字列
hex(x)	xを16進数文字列にする
hex(x)	xを16進数表記にする
hex(x)	xを16進数表現にする
