x = y	yをxに代入する
x = y	xをyとする
x = y	xはyである
x, y = y, x	xとyをスワップする
x, y = y, x	xとyの値をスワップする
x, y = y, x	xとyを入れ替える
x % 2 == 0	xが偶数かどうか
if x % 2 == 0:	xが偶数ならば
x % 2 == 1	xが奇数か否か
if x % 2 == 1:	xが奇数のとき
x % 2 != 0	xが奇数か
if x % 2 != 0:	xが奇数ならば
x % 2 != 1	xが偶数かどうか
if x % 2 != 1:	もしxが偶数ならば
x % y == 0	xがyの倍数か否か
if x % y == 0:	xがyの倍数のとき
x % y == 0	xがyの倍数でないか
if x % y == 0:	xがyの倍数でないとき
x == y	xがyに等しいか否か
if x == y:	xがyに等しいならば
x != y	xがyに等しくないか
if x != y:	もしxがyに等しくないならば
x is y	xがyと同一か否か
if x is y:	xがyと同一ならば
x is y	xがyと同じかどうか
if x is y:	もしxがyと同じならば
x is not y	xがyと同一でないか
if x is not y:	もしxがyと同一でないならば
x is not y	xがyと同じでないか
if x is not y:	xがyと同じでない場合
x in y	xがyに含まれるか否か
if x in y:	もしxがyに含まれるならば
x in y	xがy内にあるか
if x in y:	xがy内にあるとき
x in y	xがy中に含まれるかどうか
if x in y:	xがy中に含まれるとき
x in y	xがy中にあるか
if x in y:	xがy中にある場合
x not in y	xがy中に存在しないかどうか
if x not in y:	xがy中に存在しないならば
x not in y	xがy中にないかどうか
if x not in y:	xがy中にないとき
x not in y	xがyにないかどうか
if x not in y:	xがyにないならば
x not in y	xがy中に含まれないかどうか
if x not in y:	もしxがy中に含まれないならば
x not in y	xがy内にないか
if x not in y:	xがy内にないとき
x not in y	xがy内に含まれないか
if x not in y:	もしxがy内に含まれないならば
x not in y	xがy内に存在しないか
if x not in y:	もしxがy内に存在しないならば
x ** y	xのy乗
x | y	xとyの論理和
x ^ y	xとyの排他的論理和
x & y	xとyの論理積
x << n	xのnビット左シフト
x >> n	xのnビット右シフト
~x	xのビット反転
x += y	xをyだけ増加させる
x += y	xをyだけ増やす
x += y	xをy増やす
x += y	xをyだけ多くする
x += 1	xを1つ増やす
x += 1	xを1つ増加させる
x += 1	xを1つ多くする
x -= y	xをy少なくする
x -= y	xをyだけ減少させる
x -= y	xをy減らす
x -= y	xをy減少させる
x -= 1	xを1つ減少させる
x -= 1	xを1つ少なくする
x -= 1	xを1つ減らす
x *= y	xをy倍にする
x /= y	xをy分の1にする
x //= y	xをy分の1にする
x //= y	xを切り捨てながらy分の1にする
x /= 2	xを半分にする
x //= 2	xを半分にする
x //= 2	xを切り捨てながら半分にする
x **= y	xをy乗にする
x %= y	xをyで割った余りにする
x %= y	xをyの剰余にする
x |= y	xをyとの論理和にする
x &= y	xをyとの論理積にする
x ^= y	xをyとの排他論理和にする
x <<= y	xをyビット左にシフトする
x <<= y	xをyビット、左シフトする
x >>= y	xをyビット右にシフトする
x >>= y	xをyビット、右シフトする
abs(x)	xの絶対値
bool(x)	xが真か
if bool(x):	xが真ならば
not bool(x)	xが真でないか否か
if bool(x) :	もしxが真ならば
if not bool(x) :	もしxが真でなとき
while bool(x) :	xが真間
while not bool(x) :	xが真でな間
complex(x, y)	x,yの複素数
divmod(x, y)	xとyの商と余り
divmod(x, y)[0]	xとyの商
divmod(x, y)[1]	xとyの余り
float(x)	数にxを変換する
float(x)	小数点数にxを変換する
float(x)	数にxをする
float(x)	小数点数にxをする
float(x)	xを小数点数に変換する
float(x)	xを浮動小数点数に変換する
float(x)	実数にxをする
float(x)	実数にxを変換する
float(x)	xを数に変換する
float(x)	xの小数点数
float(x)	xの実数
float(x)	xの浮動小数点数
float(x)	xの数
int(x)	xを整数値にする
int(x)	xを整数に変換する
int(x)	整数にxをする
int(x)	整数にxを変換する
int(x)	整数値にxをする
int(x)	整数値にxを変換する
int(x)	xを自然数に変換する
int(x)	自然数にxをする
int(x)	xを変換した整数値
int(x)	xの整数値
int(s, 2)	2進数表現sから自然数にする
int(s, 2)	2進数表現sから整数に変換する
int(s, 2)	2進数表記sから整数に変換する
int(s, 2)	2進数表現sから整数にする
int(s, 2)	2進数表記sから自然数に変換する
int(s, 2)	2進数表記sから整数にする
int(s, 2)	2進数表記sから整数値にする
int(s, 2)	2進数文字列sから整数に変換する
int(s, 2)	2進数としてs文字列を整数にする
int(s, 2)	2進数としてs文字列を自然数にする
int(s, 2)	2進数としてs文字列を整数に変換する
int(s, 2)	文字列sを2進数として整数値にする
int(s, 2)	2進数として文字列sを自然数に変換する
int(s, 2)	sを2進数として整数値にする
int(s, 2)	文字列sを2進数として整数に変換する
int(s, 2)	2進数としてsを自然数に変換する
int(s, 2)	2進数としてsを整数にする
int(s, 2)	sを2進数として整数にする
int(s, 2)	2進数として文字列sを自然数にする
int(s, 2)	2進数表現sから変換した整数値
int(s, 2)	2進数表現sから変換した自然数
int(s, 2)	2進数文字列sから変換した自然数
int(s, 2)	2進数表現sから変換した整数
int(s, 2)	2進数文字列sから変換した整数値
int(s, 2)	2進数表記sから変換した整数
ord(c)	cのコードポイント
max(x)	数列xの最大値
max(x)	xの最大値
max(x, y)	xとyの大きな方
max(x, y)	xとyの最大値
max(x, y, z)	x,y,zの最大値
min(x)	数列xの最小値
min(x)	xの最小値
min(x, y)	xとyの小さな方
min(x, y)	xとyの小さな値
min(x, y)	xとyの最小値
min(x, y, z)	x,y,zの最小値
pow(x, y)	xのy乗
pow(x, y, z)	xのy乗をzで剰余した値
round(x)	xを四捨五入する
round(x)	xを丸める
round(x)	xを四捨五入した整数値
round(x)	xを丸めた整数
round(x)	xを四捨五入した自然数
round(x)	xを丸めた整数値
round(x)	xを四捨五入した整数
round(x, n)	xを少数部n桁まで丸める
round(x, n)	xを少数部n桁で四捨五入する
round(x, n)	xを少数部n桁まで四捨五入する
round(x, n)	xを少数部n桁で丸める
round(x, n)	xの少数をn桁で四捨五入した自然数
round(x, n)	xの少数をn桁まで四捨五入した整数値
round(x, n)	xの少数部をn桁で四捨五入した整数値
round(x, n)	xの少数部をn桁で丸めた整数
round(x, n)	xの少数をn桁で四捨五入した整数
round(x, n)	xの少数をn桁まで丸めた整数値
round(x, n)	xの少数をn桁まで丸めた自然数
round(x, n)	xの少数をn桁まで四捨五入した自然数
round(x, n)	xの少数をn桁で四捨五入した整数値
round(x, n)	xの少数部をn桁まで丸めた整数
round(x, n)	xの少数部をn桁で丸めた自然数
round(x, n)	xの少数をn桁まで四捨五入した整数
round(x, n)	xの少数をn桁で丸めた自然数
round(x, n)	xの少数をn桁で丸めた整数値
round(x, n)	xの少数部をn桁まで丸めた整数値
round(x, n)	xの少数部をn桁で四捨五入した整数
math.trunc(x)	xの少数を切り捨てる
math.trunc(x)	xを切り捨てる
math.trunc(x)	xの少数部を切り捨てる
math.trunc(x)	xの少数を切り捨てた整数
math.trunc(x)	xの少数部を切り捨てた整数
math.trunc(x)	xの少数部を切り捨てた整数値
math.trunc(x)	xの少数部を切り捨てた自然数
math.trunc(x)	xの少数を切り捨てた自然数
math.trunc(x)	xを切り捨てた整数
math.trunc(x)	xを切り捨てた整数値
math.trunc(x)	xの少数を切り捨てた整数値
math.floor(x)	xを切り上げる
math.floor(x)	xの少数部を切り上げる
math.floor(x)	xの少数を切り上げる
math.floor(x)	x以下の最大な自然数
math.floor(x)	x以下の最大の自然数
math.floor(x)	x以下の最大の整数
math.floor(x)	x以下の最大の整数値
math.floor(x)	x以下の最大な整数
math.floor(x)	x以下の最大な整数値
math.floor(x)	xの少数を切り上げた整数値
math.floor(x)	xの少数部を切り上げた自然数
math.floor(x)	xの少数部を切り上げた整数値
math.floor(x)	xを切り上げた自然数
math.floor(x)	xを切り上げた整数値
math.floor(x)	xの少数部を切り上げた整数
math.ceil(x)	xの少数を切り捨てる
math.ceil(x)	xの少数部を切り捨てる
math.ceil(x)	xを切り捨てる
math.ceil(x)	x以上の最小の自然数
math.ceil(x)	x以上の最小な整数
math.ceil(x)	x以上の最小の整数
math.ceil(x)	x以上の最小な整数値
math.ceil(x)	x以上の最小な自然数
math.ceil(x)	x以上の最小の整数値
math.ceil(x)	xを切り捨てた整数
math.ceil(x)	xを切り捨てた自然数
math.ceil(x)	xの少数部を切り捨てた整数
math.ceil(x)	xを切り捨てた整数値
math.ceil(x)	xの少数を切り捨てた整数値
math.ceil(x)	xの少数部を切り捨てた自然数
math.ceil(x)	xの少数を切り捨てた整数
