表データ <C> の列 <b> と <a> 列を降順に並び替えて、 <C> にする	<C> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )	 <A> = <C> . sort_values ( [ <b> , <a> ] , ascending = False ) 
表データ <B> の <c> コラムをインデックスとして、 <A> とする	<A> = <B> . set_index ( <c> )	 @option set_index = <B> . set_index ( <c> ) 
表 <C> のインデックス名を <b> から <a> にリネームし、置き換える	<C> = <C> . rename ( index = { <b> : <a> } )	 <A> . rename ( index = { <b> : <a> } , inplace = True ) 
データフレーム <A> の <b> を欠損に置換し、欠損が存在する行を消す	<A> . replace ( <b> , np . nan ) . dropna ( )	 ) . replace ( <b> , np . nan ) . dropna ( ) 
表属性 <c> をキーとして、 <A> データフレームと <B> を結合する	pd . merge ( <A> , <B> , on = <c> )	 pd . merge ( <A> , <B> , on = <c> ) 
表データ <A> の列名を調べる	<A> . columns	 columns <A> . columns 
<A> の <b> をドロップし、 <A> とする	<A> = <A> . drop ( <b> , axis = 1 )	 <A> = <A> . drop ( <b> , axis = 1 ) 
データフレーム <A> 中の NaN が存在する行を消し、 <B> にする	<B> = <A> . dropna ( )	 dropna = <A> . dropna ( ) 
データフレーム <D> の <c> カラムと <b> と <a> カラムについて関係性を一気に描画する	sns . pairplot ( <D> [ [ <c> , <b> , <a> ] ] )	 pd . pairplot ( <D> [ [ <c> , <b> , <a> ] ] ) 
データフレーム <B> の先頭から <a> 行目までを見る	<B> [ : <a> ]	 <B> [ : <a> ] 
表データ <A> 中の重複している行を落として、 <B> にする	<B> = <A> . drop_duplicates ( )	 <F> = <A> . drop_duplicates ( ) 
<A> 中の <b> を欠損値に置換し、欠損値がある行を落として、置き換える	<A> . replace ( <b> , np . nan ) . dropna ( inplace = True )	 <A> . replace ( <b> , np . nan ) . dropna ( inplace = True ) 
<B> の <a> をインデックスとして設定して、インプレースする	<B> . set_index ( <a> , inplace = True )	 plt . set_index ( <B> , inplace = True ) 
表データ <A> の <b> についての最頻値	<A> [ <b> ] . mode ( )	 <b> <A> [ <b> ] . mode ( ) 
<A> 内の <b> を欠損値に置換し、欠損値が存在する行をドロップし、置き換える	<A> = <A> . replace ( <b> , np . nan ) . dropna ( )	 <A> . replace ( <b> , np . nan ) . dropna ( inplace = True ) 
<a> を項目名として、 <C> と <B> をマージし、 <D> とする	<D> = pd . merge ( <C> , <B> , on = <a> )	 merge = pd . merge ( <C> , <B> , on = <a> ) 
データフレーム <A> 中の欠損を <B> に置換し、 <A> に代入する	<A> = <A> . fillna ( <B> )	 <A> = <A> . fillna ( <B> ) 
データフレーム <B> 中の <a> を欠損に置換し、欠損が存在する行を落とす	<B> . replace ( <a> , np . nan ) . dropna ( )	 <B> . replace ( <a> , np . nan ) . dropna ( ) 
データフレーム <C> の <b> 行から <a> 行までを見る	<C> [ <b> : <a> ]	 False [ <b> : <a> ] 
表 <C> の <b> カラムごとに <a> の数	<C> . groupby ( [ <b> ] ) [ <a> ] . count ( )	 <A> . groupby ( [ <b> ] ) [ <a> ] . count ( ) 
