i に 1 を加え た 値 、 j に 1 を加え た 値 を出力する	print ( i + 1 , j + 1 )	print ( i + 1 , j + 1 ) <eos>
stack _ A の 長さが 1 と 等しい とき 、 <blk> 0 を出力する </blk>	if len ( stack_A ) == 1 : <blk> print ( 0 ) </blk>	if len ( stack_A ) == 1 : <blk> print ( 0 ) </blk> <eos>
0 を re t の 128 番目 にする	ret [ 128 ] = 0	ret [ 128 ] = 0 <eos>
side 2 . __ next __ ( ) を展開し 、 それぞれ q 1 、 q 2 とする	q1 , q2 = side2 . __next__ ( )	q1 , q2 = <unk> . <unk> ( ) <eos>
0 、 255 、 255 を R 、 G 、 B とする	R , G , B = 0 , 255 , 255	R , G , G = 0 , 255 , 255 <eos>
k の 文字列を k s とする	ks = str ( k )	ks = str ( k ) <eos>
f の i 番目の とき 、 <blk> an s を 1 だけ 増加 させる </blk>	if f [ i ] : <blk> ans += 1 </blk>	if f [ i ] : <blk> ans += 1 </blk> <eos>
p _ cal を total _ cal とする	total_cal = p_cal	max_total_cal_par_doll = <unk> <eos>
p as の i 番目の 順序 数 が 65 以上 かつ p as の i 番目の 順序 数 が 9 0 以下の とき 、	if ord ( pas [ i ] ) >= 65 and ord ( pas [ i ] ) <= 90 :	if ord ( pas [ i ] ) >= ord ( pas [ i ] ) and ord ( pas [ i ] ) <= 90 : <eos>
0 を dist の start 番目 にする	dist [ start ] = 0	dist [ start ] = 0 <eos>
p o ly g on s の 2 個 までの コン ビ ネ ーション を 順に p 1 、 p 2 として 、 繰 り 返す	for p1 , p2 in combinations ( polygons , 2 ) :	for p1 , p2 in combinations ( itertools . combinations ( ps ) , 2 ) : <eos>
入力された 文字列のリスト を out とする	out = list ( input ( ) )	out = list ( input ( ) ) <eos>
an s の 長さが r に 2 を加え た 値 より小さい とき 、 <blk> an s を '0' に r に 2 を加え た 値 から an s の 長さ を 引 いた 値を 掛け た 値 だけ 増加 させる </blk>	if len ( ans ) < r + 2 : <blk> ans += '0' * ( r + 2 - len ( ans ) ) </blk>	if len ( ans ) < 2 + r * 2 : <blk> ans += '0' + s [ r - 2 ] * len ( ans ) </blk> <eos>
M の i に 1 を加え た 値 番目の 末尾に j を追加する	M [ i + 1 ] . append ( j )	M [ i + 1 ] . append ( j ) <eos>
A を ソート する	A . sort ( )	A . sort ( ) <eos>
p 、 d を a の i 番目の 1 番目 、 a の i 番目の 2 番目 とする	a [ i ] [ 1 ] , a [ i ] [ 2 ] = p , d	a [ i ] [ 1 ] , a [ i ] [ 2 ] = p , d [ i ] <eos>
board の x 番目の y 番目 を 1 だけ 増加 させる	board [ x ] [ y ] += 1	board [ x ] [ y ] += 1 <eos>
pro d s の 末尾に cross を追加する	prods . append ( cross )	prods . append ( cross ) <eos>
( 0 、 100 ) からなる 列 を h ok et s u _ 2 とする	hoketsu_2 = [ 0 , 100 ]	hoketsu_2 = [ 0 , 100 ] <eos>
t P の j に 1 を加え た 値 番目 を t p j だけ 減 少 させる	tP [ j + 1 ] -= tpj	tP [ j + 1 ] -= t <eos>
N の i 番目 を x とする	x = N [ i ]	x = N [ i ] <eos>
r 0 の i 番目 を 1 だけ 増加 させる	r0 [ i ] += 1	r0 [ i ] += 1 <eos>
C の y 1 番目の i 番目 が " . " と 等しくない とき 、	if C [ y1 ] [ i ] != "." :	if C [ y1 ] [ i ] != "." : <eos>
0 から N 未 満 までの 数 列 の各要素 を i と し 、 、 つまり 入力された 文字列の 整数値 の 列 を C os t とする	Cost = [ int ( input ( ) ) for i in range ( N ) ]	C = [ int ( input ( ) ) for i in range ( N ) ] <eos>
入力された 文字列 の浮動小数点数 を a とする	a = float ( input ( ) )	a = float ( input ( ) ) <eos>
( x _ a から x _ d を 引 いた 値 、 y _ a から y _ d を 引 いた 値 ) からなる 列 を da とする	da = [ x_a - x_d , y_a - y_d ]	<unk> = [ x_d - x_c , y_d - <unk> ] <eos>
He a p の 末尾に ( i 、 A の i 番目 、 A の parent 番目 、 right 、 left ) からなる 列 を追加する	Heap . append ( [ i , A [ i ] , A [ parent ] , right , left ] )	Heap . append ( [ i , A [ i ] , A [ left , right ] ] ) <eos>
M ( message ) を message とする	message = M ( message )	message = M ( message ) <eos>
0 から num の 長さ 未 満 までの 数 列 を 順に i として 、 繰 り 返す	for i in range ( len ( num ) ) :	for i in range ( len ( num ) ) : <eos>
a を x 0 で 割 った 余 り にする	a % = x0	a % = x0 <eos>
d p の i から 1 を 引 いた 値 番目の 、 つまり 先頭から 4 番目 までの 部分 列 の 総 和 を mod で 割 った 余 り を d p の i 番目の 2 番目 にする	dp [ i ] [ 2 ] = sum ( dp [ i - 1 ] [ : 4 ] ) % mod	dp [ i ] [ 4 ] = sum ( dp [ i - 1 ] [ : 4 ] ) % mod <eos>
c が ' R ' と 等しい とき 、	if c == 'R' :	if c == 'R' : <eos>
入力された 文字列を 空白 で 分割 した 字句 列 を追加して 、 つまり 整数 を拡張する	str . extend ( input ( ) . split ( ) )	str . extend ( input ( ) . split ( ) ) <eos>
P の s 番目 を返す	return P [ s ]	return P [ s ] <eos>
h が 0 と 等 し く かつ w が 0 と 等しい とき 、	if h == 0 and w == 0 :	if h == 0 and w == 0 : <eos>
input ( ) . split ( ) の各要素 に int を 適用 した 列 を ソート した 列 の 逆 順 を 展開 して を出力する	print ( * sorted ( map ( int , input ( ) . split ( ) ) ) [ : : - 1 ] )	print ( * sorted ( map ( int , input ( ) . split ( ) ) ) [ : : - 1 ] ) <eos>
42 80 を a とする	a = 4280	a = 4280 <eos>
r r から n 未 満 までの 数 列 を 順に r 2 として 、 繰 り 返す	for r2 in range ( rr , n ) :	for r2 in range ( r , n ) : <eos>
空 列 を go al とする	goal = [ ]	goal = [ ] <eos>
d d を 順に d x 、 d y として 、 繰 り 返す	for dx , dy in dd :	for dx , dy , dy in dd : <eos>
( 0 ) からなる 列 の 8 回 分 の 列 、 ( 0 ) からなる 列 の 8 回 分 の 列 を s r 、 s c とする	sr , sc = [ 0 ] * 8 , [ 0 ] * 8	s , c = [ 0 ] * 8 , [ 0 ] * 8 <eos>
change ( l st ) を l st とする	lst = change ( lst )	lst = change ( lst ) <eos>
e 、 c を a で 割 った 商 の 最大 値を e とする	e = max ( e , c // a )	e = max ( e , c // a ) <eos>
S の各要素 に 整数 を 適用 した 列 のリスト を S とする	S = list ( map ( int , S ) )	S = list ( map ( int , S ) ) <eos>
first を i _ in s とする	i_ins = first	i_ins = first <eos>
an s の 末尾に ( i 、 j ) の 組 を追加する	ans . append ( ( i , j ) )	ans . append ( ( i , j ) ) <eos>
w を パラメータ として w の 1 番目 を返す 関数を キー として f req を ソート した 列 を f req とする	freq = sorted ( freq , key = lambda w : w [ 1 ] )	freq = sorted ( freq , key = lambda w : w [ 1 ] ) <eos>
0 から N 未 満 までの 数 列 の各要素 を i と し 、 u の i 番目 でない ときの P S の i 番目の 列 を T とする	T = [ PS [ i ] for i in range ( N ) if not u [ i ] ]	S = [ S [ i ] for i in range ( N ) if T [ i ] ] <eos>
base s を 1 だけ 増加 させる	bases += 1	bases += 1 <eos>
0 から 1 を v だけ 左 シフト した 値 未 満 までの 数 列 を 順に bits として 、 繰 り 返す	for bits in range ( 1 << v ) :	for bits in range ( 1 << v ) : <eos>
m が 0 より大きい とき 、 <blk> 入力された 文字列を 空白 で 分割 した 字句 列 の各要素 に 整数 を 適用 した 列 のリスト を b とする </blk>	if m > 0 : <blk> b = list ( map ( int , input ( ) . split ( ) ) ) </blk>	if m > 0 : <blk> b = list ( map ( int , input ( ) . split ( ) ) </blk> <eos>
逆 順に 0 から 10 未 満 までの 数 列 の各要素 を j と し 、 input ( ) の 整数値 の 列 を ソート した 列 の 、 つまり 先頭から 3 番目 までの 部分 列 の 総 和 を s の i 番目 にする	s [ i ] = sum ( sorted ( [ int ( input ( ) ) for j in range ( 10 ) ] , reverse = True ) [ : 3 ] )	s [ : 3 ] = sorted ( sum ( [ int ( input ( ) for j in range ( 10 ) ] ) ) ) <eos>
p a per の x に 1 を加え た 値 番目の y から 1 を 引 いた 値 番目 を 1 だけ 増加 させる	paper [ x + 1 ] [ y - 1 ] += 1	paper [ x + 1 ] [ y - 1 ] += 1 <eos>
a が b と 等しい かどうか が c と 等しい かどうか が 0 と 等しい とき 、	if a == b == c == 0 :	if a == b == c == 0 : <eos>
t . show _ keys ( )	t . show_keys ( )	t . <unk> ( keys ) <eos>
空 列 、 空 列 を S 、 L 2 とする	S , L2 = [ ] , [ ]	S2 , S2 = [ ] , [ ] <eos>
