['(', '、', 'つまり', '未', '定', '値', ')', 'からなる', '列', 'の', '2', 'に', 'n', 'を', '掛け', 'た', '値', '回', '分', 'の', '列', 'を', 'rect', 's', 'とする']	['rects', '=', '[', 'None', ']', '*', '2', '*', 'n']	['rects', '=', '[', 'None', ']', '*', '(', '2', '*', 'n', ')', '<eos>']
["'", 'f', 'ly', "'", 'を出力する']	['print', '(', "'fly'", ')']	['print', '(', '<unk>', ')', '<eos>']
['E', 'の', 'v', '番目', 'を', '順に', 'u', 'として', '、', '繰', 'り', '返す']	['for', 'u', 'in', 'E', '[', 'v', ']', ':']	['for', 'u', 'in', 'E', '[', 'v', ']', ':', '<eos>']
['add', '_', 'parent', '_', 'node', '_', 'and', '_', 'depth', '(', 'node', 's', ',', 'node', '_', 'no', ',', 'left', '_', 'node', '_', 'no', ',', 'depth', '+', '1', ')', 'を', 'left', '_', 'h', 'e', 'ight', 'とする']	['left_height', '=', 'add_parent_node_and_depth', '(', 'nodes', ',', 'node_no', ',', 'left_node_no', ',', 'depth', '+', '1', ')']	['right_height', '=', 'add_parent_node_and_depth', '(', 'nodes', ',', 'node_no', ',', 'left_node_no', ',', 'depth', '+', '1', ')', '<eos>']
['(', 'W', 'E', 'I', 'G', 'H', 'T', '_', 'MAX', ')', 'からなる', '列', 'の', 'network', 'の', 'v', '回', '分', 'の', '列', 'を', 'dist', 's', 'とする']	['dists', '=', '[', 'WEIGHT_MAX', ']', '*', 'network', '.', 'v']	['dists', '=', '[', '<unk>', ']', '*', 'network', '.', 'v', '<eos>']
['cur', 's', 'ol', '_', 'W', 'を', '1', 'だけ', '減', '少', 'させる']	['cursol_W', '-=', '1']	['cursol_W', '-=', '1', '<eos>']
['s', 'eg', '.', 'another', '(', 'p', '0', ')', 'を', 'p', '1', 'とする']	['p1', '=', 'seg', '.', 'another', '(', 'p0', ')']	['p1', '=', 'seg', '.', '<unk>', '(', 'p0', ')', '<eos>']
['x', 'を', 'root', 'とする']	['root', '=', 'x']	['root', '=', 'x', '<eos>']
['50', 'を', 'b', 'とする']	['b', '=', '50']	['b', '=', '50', '<eos>']
['write', '(', '"', '"', '.', 'join', '(', 'an', 's', '[', 'p', '-1', ':', 'q', ']', ')', ')']	['write', '(', '""', '.', 'join', '(', 'ans', '[', 'p', '-', '1', ':', 'q', ']', ')', ')']	['write', '(', '""', '.', 'join', '(', 'ans', '[', 'p', '-', '1', ':', 'q', ']', ')', ')', '<eos>']
['1', 'が', 'U', 'より小さい', 'とき', '、']	['if', '1', '<', 'U', ':']	['if', '1', '<', 'U', ':', '<eos>']
['quick', 'sort', '(', 'A', ',', 'p', ',', 'q', '-1', ')']	['quicksort', '(', 'A', ',', 'p', ',', 'q', '-', '1', ')']	['quicksort', '(', 'A', ',', 'p', ',', 'q', '-', '1', ')', '<eos>']
['average', 'を出力する']	['print', '(', 'average', ')']	['print', '(', 'average', ')', '<eos>']
['query', 'が', '0', 'と', '等しい', 'とき', '、']	['if', 'query', '==', '0', ':']	['if', 'query', '==', '0', ':', '<eos>']
['空', '列', 'を', 'set', 's', 'とする']	['sets', '=', '[', ']']	['sets', '=', '[', ']', '<eos>']
['co', 'st', 'を', 'p', '1', '、', 'p', '2', 'の', '最小', '値', 'だけ', '増加', 'させる']	['cost', '+=', 'min', '(', 'p1', ',', 'p2', ')']	['cost', '+=', 'min', '(', 'p1', ',', 'p2', ')', '<eos>']
['r', 'm', 'q', '.', 'query', '(', '1', ',', 'i', ')', 'を', 'res', 'とする']	['res', '=', 'rmq', '.', 'query', '(', '1', ',', 'i', ')']	['res', '=', 'rmq', '.', 'query', '(', '1', ',', 'i', ')', '<eos>']
['temp', 'er', 'a', 'tur', 'es', 'に', '番号', '付', 'した', '組', 'の', '列', 'を', '順に', 'i', '、', 't', 'として', '、', '繰', 'り', '返す']	['for', 'i', ',', 't', 'in', 'enumerate', '(', 'temperatures', ')', ':']	['for', 'i', ',', 't', 'in', 'enumerate', '(', 'temperatures', ')', ':', '<eos>']
['Re', 'l', 'ation', 'の', 'IN', 'SC', 'R', 'I', 'B', 'ED', 'を返す']	['return', 'Relation', '.', 'INSCRIBED']	['return', '<unk>', '.', '<unk>', '<eos>']
['1', '000000', 'を', 'an', 's', 'とする']	['ans', '=', '1000000']	['ans', '=', '1000000', '<eos>']
['s', 'を', 'x', 'に', 'y', 'を', '掛け', 'た', '値', 'だけ', '増加', 'させる']	['s', '+=', 'x', '*', 'y']	['s', '+=', 'x', '*', 'y', '<eos>']
['偽', 'を', 's', 'witch', 'とする']	['switch', '=', 'False']	['switch', '=', 'False', '<eos>']
