表データ <A> の <b> と <c> ごとに <d> コラムの値の合計を求める	<A> . groupby ( [ <b> , <c> ] ) [ <d> ] . sum ( )	 <A> . groupby ( [ <b> , <c> ] ) [ <d> ] . sum ( ) 
データフレームを <a> ファイルからカンマ区切りで読み込む	pd . read_csv ( <a> , sep = ',' )	 <B> pd . read_csv ( <a> , sep = ',' ) 
<B> の前と <A> を末尾から取り除く	<B> . strip ( <A> )	 <A> . strip ( <B> ) 
<A> の表属性 <b> についてのヒストグラムをプロットする	plt . hist ( <A> [ <b> ] )	 tuple plt . hist ( <A> [ <b> ] ) 
リスト <A> のそれぞれを文字列に変換し、文字列 <B> でジョインする	<B> . join ( str ( x ) for x in <A> )	 <A> . join ( str ( x ) for x in <B> ) 
データフレーム <B> の <a> についての標準偏差を表示する	<B> [ <a> ] . std ( )	 <B> [ <a> ] . std ( ) 
<A> が <B> で発見される間	while <B> . find ( <A> ) >= 0 :	 >= <B> . find ( <A> ) >= 0 : 
ファイル名 <b> から <a> 区切りで表を読む	pd . read_csv ( <b> , sep = <a> )	 pd . read_csv ( <b> , sep = <a> ) 
y 軸のラベルを <a> と指定する	plt . ylabel ( <a> )	 plt . ylabel ( <a> ) 
文字列 <A> を <B> 区切り文字で右分割する	<A> . rsplit ( <B> )	 <A> . rsplit ( <B> ) 
表 <C> の <b> 列と <a> を逆順に並べる	<C> . sort_values ( [ <b> , <a> ] , ascending = False )	 <D> . sort_values ( [ <C> , <b> , <a> ] ] , ascending = False ) 
ビンの名前を <D> リストとして、 <A> の <b> コラムを分割数を <C> としてビン分割する	pd . cut ( <A> [ <b> ] , <C> , label = <D> )	 <D> . cut ( <A> [ <b> ] , <C> , label = <D> ) 
もし <B> が <A> で出現した場合	if <A> . find ( <B> ) >= 0 :	 if <A> . find ( <B> ) >= 0 : 
表データ <A> の <b> カラムを位置に設定する	<A> . set_index ( <b> )	 <A> . set_index ( <b> ) 
もし <A> が <B> 文字列にマッチしなかった場合	if not re . match ( <A> , <B> ) :	 while not re . match ( <A> , <B> ) : 
表データ <A> の列の名前を <b> から <c> に、 <d> から <e> に変更する	<A> . rename ( columns = { <b> : <c> , <d> : <e> } )	 <B> . rename ( columns = { <d> : <c> , <b> : <e> } ) 
<A> をバイナリ用にオープンする	open ( <A> , 'b' )	 sorted ( <A> , 'b' ) 
<B> が <A> 文字列内で出現すれば	if <A> . find ( <B> ) >= 0 :	 if <A> . find ( <B> ) >= 0 : 
もし文字列 <B> が <A> で開始すれば	if <B> . startswith ( <A> ) :	 if <B> . startswith ( <A> ) : 
<b> 進数文字列 <A> から整数に変換する	int ( <A> , <b> )	 float . fromhex ( <A> , <b> ) 
オブジェクト <B> に属性 <A> があるか	hasattr ( <B> , <A> )	 getattr ( <B> , <A> ) 
文字列 <A> に対し、正規表現 <B> でスプリットする	re . split ( <B> , <A> )	 <B> re . split ( <A> , <B> ) 
<A> のオブジェクトデータの要約統計量	<A> . describe ( include = "O" )	 <A> . describe ( include = "O" ) 
<A> の始まりが suffix か	<A> . startswith ( prefix )	 prefix . startswith ( prefix ) 
表 <B> 中のそれぞれのカラムに存在する <a> の個数の合計値	<B> . isin ( [ <a> ] ) . sum ( )	 map ( <B> , <a> ] ) . sum ( ) 
<A> のデータ型	<A> . dtypes	 sorted ( <A> ) 
ビンの名前を 0 始まりの連番として、 <A> 表データの <b> をビン数を <C> 整数値として分割する	pd . cut ( <A> [ <b> ] , <C> , label = False )	 pd . cut ( <A> [ <b> ] , <C> , label = False ) 
左外部結合で表データ <A> と表データ <B> を一つにまとめる	pd . merge ( <A> , <B> , how = 'left' )	 plt . pd . merge ( <A> , <B> , how = 'left' ) 
<D> の <c> と <b> ごとにカラム <a> の値の合計を求める	<D> . groupby ( [ <c> , <b> ] ) [ <a> ] . sum ( )	 <D> . groupby ( [ <c> , <b> ] ) [ <a> ] . sum ( ) 
もし <A> が <B> 文字列中になくなかったら	if <B> . find ( <A> ) == -1 :	 if <B> . find ( <A> ) == -1 : 
<A> が小数点数でない場合	if not isinstance ( <A> , float ) :	 while not isinstance ( <A> , float ) : 
<D> の <c> と <b> と <a> について関係性を一気に描く	sns . pairplot ( <D> [ [ <c> , <b> , <a> ] ] )	 <E> . pairplot ( <D> [ [ <c> , <b> , <a> ] ] ) 
表データ <A> の末尾 5 行を調べる	<A> . tail ( )	 not <A> . tail ( ) 
