表 <B> の <a> をソートして、置き換える	<B> = <B> . sort_values ( <a> )	<E> = <B> . sort_values ( <a> )
データフレーム <B> の表属性 <c> を四分位数ごとで分割し、 <A> とする	<A> = pd . qcut ( <B> [ <c> ] , 4 )	df = pd . qcut ( <B> [ <c> ] , 4 )
<B> のカラム <a> をインデックスとして設定する	<B> . set_index ( <a> )	<B> . set_index ( <a> )
データフレーム <C> のカラム <b> と <a> を逆順にソートして、 <D> とする	<D> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )	<A> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )
データフレーム <A> の <b> とコラム <c> を落として、置き換える	<A> . drop ( [ <b> , <c> ] , axis = 1 , inplace = True )	df = <A> . drop ( [ <b> , <c> ] , axis = 1 )
<B> をインデックスを元にソートを <A> にする	<A> = <B> . sort_index ( )	<A> = <B> . sort_index ( )
<B> とデータフレーム <C> に対して、 <d> カラムをキーとしてデータを内部結合して、 <A> に代入する	<A> = pd . merge ( <B> , <C> , on = <d> )	@option <A> = pd . merge ( <B> , <C> , on = <d> )
<E> の列名を <d> から <c> に、 <b> から <a> に変更して、 <F> とする	<F> = <E> . rename ( columns = { <d> : <c> , <b> : <a> } )	<E> = <E> . rename ( columns = { <d> : <c> , <b> : <a> } )
表データ <A> から重複する値がある行をドロップし、 <B> とする	<B> = <A> . drop_duplicates ( )	<E> = <A> . drop_duplicates ( )
表データ <A> の <b> に重複があるのかどうかチェック	<A> . duplicated ( subset = <b> )	<A> . duplicated ( subset = <b> )
データフレーム <B> 内の未入力の値を直前の行の値で補い、 <A> とする	<A> = <B> . fillna ( method = 'ffill' )	'ffill' = <B> . fillna ( method = 'ffill' )
グラフにグリッドを付ける	plt . grid ( True )	@option color = True )
<A> のカラムにある <b> の個数の合計値を計算する	<A> . isin ( [ <b> ] ) . sum ( )	<b> <A> . isin ( [ <b> ] ) . sum ( )
表データ <B> の未記入の値をドロップを <A> に代入する	<A> = <B> . dropna ( )	<A> = <B> . dropna ( )
データフレーム <A> の <b> と <c> 表属性を逆順にソートする	<A> . sort_values ( [ <b> , <c> ] , ascending = False )	<A> . sort_values ( [ <b> , <c> ] , ascending = False )
<a> 区切りで CSV ファイル <b> を読み込み、 <C> とする	<C> = pd . read_csv ( <b> , sep = <a> )	df = pd . read_csv ( <b> , sep = <a> )
表 <A> の <b> を欠損に置換し、欠損がある行を落とし、再代入する	<A> = <A> . replace ( <b> , np . nan ) . dropna ( )	<A> = <A> . replace ( <b> , np . nan ) . dropna ( )
データフレーム <A> の <b> と <c> をドロップして、置き換える	<A> = <A> . drop ( [ <b> , <c> ] , axis = 1 )	df = <A> . drop ( [ <b> , <c> ] , axis = 1 )
データフレーム <A> 内の未記入の値がある行を落とし、 <B> にする	<B> = <A> . dropna ( )	<E> = <A> . dropna ( )
データフレーム <B> の <a> を欠損に置換し、欠損が存在する行を削除	<B> . replace ( <a> , np . nan ) . dropna ( )	<E> . replace ( <a> , np . nan ) . dropna ( )
<A> で重複した行数を表示する	<A> . duplicated ( ) . sum ( )	plt . duplicated ( <A> ) . sum ( )
<C> の <b> が <a> のデータ	<C> [ <C> [ <b> ] == <a> ]	<A> [ <C> [ <b> ] == <a> ]
データフレーム <A> と <B> データフレームを横に結合する	pd . merge ( <A> , <B> )	merge pd . merge ( <A> , <B> )
<A> 内の列それぞれに存在する <b> の個数の合計値	<A> . isin ( [ <b> ] ) . sum ( )	<A> . isin ( [ <b> ] ) . sum ( )
エクセルの <a> を読み込んで表にする	pd . read_excel ( <a> )	<B> . to_excel ( <a> )
表データ <C> 内の <b> と <a> に重複はあるのか確認する	<C> . duplicated ( subset = [ <b> , <a> ] )	<D> . duplicated ( subset = [ <b> , <a> ] )
データフレーム <C> の <b> ごとに <a> コラムの平均	<C> . groupby ( [ <b> ] ) [ <a> ] . mean ( )	<A> . groupby ( [ <b> ] ) [ <a> ] . mean ( )
表 <B> 内の <a> に重複はあるのかどうか確認	<B> . duplicated ( subset = <a> )	<B> . duplicated ( subset = <a> )
表データ <B> の中の NaN を <C> として、 <A> に代入する	<A> = <B> . fillna ( <C> )	@option <C> = <B> . fillna ( <A> )
表データ <B> の中の <a> を NaN に置換し、 NaN が存在する行を削除を <C> に代入する	<C> = <B> . replace ( <a> , np . nan ) . dropna ( )	<A> = <B> . replace ( <a> , np . nan ) . dropna ( )
表データ <B> の <a> を落とし、インプレースする	<B> . drop ( <a> , axis = 1 , inplace = True )	drop <B> . drop ( <a> , axis = 1 , inplace = True )
データフレーム <A> の <b> の名前を <c> に、 <d> の名前を <e> にリネームし、再代入する	<A> = <A> . rename ( columns = { <b> : <c> , <d> : <e> } )	<E> = <A> . rename ( columns = { <b> : <c> , <d> : <e> } )
データフレーム <B> 中の列それぞれにある <a> の個数の合計値を計算する	<B> . isin ( [ <a> ] ) . sum ( )	<E> . isin ( [ <a> ] ) . sum ( )
エクセルファイル <b> の <a> 番目のシートを指定して読み込み、 <C> にする	<C> = pd . read_excel ( <b> , sheet_name = <a> )	<F> = pd . read_excel ( <b> , sheet_name = <a> )
<B> を <a> に書き出す	<B> . to_csv ( <a> )	<B> . to_csv ( <a> )
<a> という名前のエクセルデータの全部のシートを読んで、 <B> に代入する	<B> = pd . read_excel ( <a> , sheet_name = None )	step = pd . read_excel ( <a> , sheet_name = None )
表 <A> の <b> を並び替え、置き換える	<A> . sort_values ( <b> , inplace = True )	<A> . sort_values ( <b> , inplace = True )
<B> の <a> カラムの月を表示する	<B> [ <a> ] . dt . month	[ <B> [ <a> ] . dt . month
一番左の列を位置に指定して、 <a> から読み込んで、 <B> にする	<B> = pd . read_csv ( <a> , index_col = 0 )	step <B> = pd . read_csv ( <a> , index_col = 0 )
片方のテーブルにしかないデータも全て残して <A> ( データフレーム ) と表 <B> を一つにまとめる	pd . merge ( <A> , <B> , how = 'outer' )	'outer' = pd . merge ( <A> , <B> , how = 'outer' )
<A> のカラム <b> と <c> カラムの相関係数	<A> [ [ <b> , <c> ] ] . corr ( )	<A> [ [ <b> , <c> ] ] . corr ( )
表データ <A> を one - hot 表現にする	pd . get_dummies ( <A> )	) pd . get_dummies ( <A> )
凡例を加える	plt . legend ( )	<A> . None ( )
<B> の列 <a> を昇順でソート	<B> . sort_values ( <a> )	<B> . sort_values ( <a> )
<A> 中の重複する値がある行を取り除いて、 <A> とする	<A> = <A> . drop_duplicates ( )	<A> = <A> . drop_duplicates ( )
<B> とデータフレーム <A> を縦方向で結合し、 <C> とする	<C> = pd . concat ( [ <B> , <A> ] )	df = pd . concat ( [ <B> , <A> ] )
<B> ( データフレーム ) の <a> コラムを順番になるようにし、 <B> とする	<B> = <B> . sort_values ( <a> )	<E> = <B> . sort_values ( <a> )
<b> と <c> を値が大きい順に並び替えて、 <A> とする	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )	<A> = df . sort_values ( [ <b> , <c> ] , ascending = False )
CSV ファイル <a> ( ファイル名 ) を表データとして読む	pd . read_csv ( <a> )	<B> pd . read_csv ( <a> )
表 <A> の行数や列数を見る	<A> . shape	<A> . isnull ( ) . sum ( )
データフレーム <A> の <b> をインデックス、 <c> をカラムとしたピボットテーブルを作成する	<A> . pivot_table ( index = <b> , columns = <c> )	index . pivot_table ( index = <b> , columns = <c> )
<B> ( データフレーム ) の <a> コラムを値が小さい順にし、インプレースする	<B> . sort_values ( <a> , inplace = True )	<E> . sort_values ( <a> , inplace = True )
<A> 中の重複している行を落とし、 <A> とする	<A> = <A> . drop_duplicates ( )	<B> = <A> . drop_duplicates ( )
<A> ( データフレーム ) の <b> と <c> を値が大きい順にして、再代入する	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )
表 <A> 中の NaN の合計を算出する	<A> . isnull ( ) . sum ( )	plt . isnull ( <A> ) . sum ( )
<A> の <d> について、 <b> を位置、 <c> をカラムとしたピボットテーブルを作成する	<A> . pivot_table ( index = <b> , columns = <c> , values = <d> )	<E> . pivot_table ( index = <b> , columns = <c> , values = <d> )
<A> ( データフレーム ) の <b> 列をソートを <A> に代入する	<A> = <A> . sort_values ( <b> )	subset = <A> . sort_values ( <b> )
表 <B> の列 <a> に重複がある行を消して、 <B> とする	<B> = <B> . drop_duplicates ( subset = <a> )	step <B> = <B> . drop_duplicates ( subset = <a> )
<B> を <a> を元に昇順でソートし、置き換える	<B> . sort_values ( <a> , inplace = True )	<E> = <B> . sort_values ( <a> )
左側のデータのインデックスと右側のデータの <a> をキーとして、 <C> 表と表 <B> をマージして、 <D> にする	<D> = pd . merge ( <C> , <B> , left_index = True , right_on = <a> )	<B> = pd . merge ( <C> , left_index = True , right_on = <a> )
データフレーム <A> のコラム <b> を落とす	<A> . drop ( <b> , axis = 1 )	<A> . drop ( <b> , axis = 1 )
<A> の <b> カラムと <c> と <d> についての箱ひげ図を描く	plt . boxplot ( [ <A> [ <b> ] , <A> [ <c> ] , <A> [ <d> ] ] )	sns . boxplot ( [ <A> [ <b> ] , <A> [ <c> ] , <A> [ <d> ] ] )
分割数を <C> 、ビンの名前を整数値として、 <A> の <b> を分割する	pd . cut ( <A> [ <b> ] , <C> , label = False )	set_index = pd . cut ( <A> [ <b> ] , <C> , label = False )
列番号 <a> をインデックスにして、 <b> から読み、 <C> とする	<C> = pd . read_csv ( <b> , index_col = <a> )	index_col <C> = pd . read_csv ( <b> , index_col = <a> )
表 <B> 内のコラム <a> に重複はあるかどうかチェックを見る	<B> . duplicated ( subset = <a> )	<E> . duplicated ( subset = <a> )
表 <A> の最初の <b> 行を確認する	<A> . tail ( <b> )	x <A> . head ( <b> )
表データ <A> の未記入の値を表データ <A> の平均値で埋めて、再代入する	<A> = <A> . fillna ( <A> . mean ( ) )	<A> = <A> . fillna ( <A> . mean ( ) )
表 <A> の全ての列の重複する行を削除する	<A> . drop_duplicates ( )	<A> . drop_duplicates ( )
<B> の <a> 表属性の各要素の出現回数を確認する	<B> [ <a> ] . value_counts ( )	<E> [ <B> [ <a> ] . value_counts ( )
表 <A> の行の名前を <b> から <c> にリネームして、 <A> にする	<A> = <A> . rename ( index = { <b> : <c> } )	<E> = <A> . rename ( index = { <b> : <c> } )
左側のデータの位置と右側のデータのコラム <a> をキーとして、表データ <C> と <B> 表データをマージする	pd . merge ( <C> , <B> , left_index = True , right_on = <a> )	pd . merge ( <C> , <B> , left_index = True , right_on = <a> )
データフレーム <B> の中の <a> を欠損値に置換し、欠損値がある行を消して、インプレースする	<B> . replace ( <a> , np . nan ) . dropna ( inplace = True )	<E> . replace ( <a> , np . nan ) . dropna ( inplace = True )
データフレーム <A> の NaN を <B> とする	<A> . fillna ( <B> )	fillna <A> <B> . fillna ( <B> )
データフレーム <B> と <A> を縦向きにくっつける	pd . concat ( [ <B> , <A> ] )	pd . concat ( [ <B> , <A> ] )
データフレーム <B> 内の重複する行を削除して、 <A> にする	<A> = <B> . drop_duplicates ( )	@option <A> = <B> . drop_duplicates ( )
<A> の <b> の値を昇順でソートする	<A> . sort_values ( <b> )	<B> . sort_values ( <b> )
表 <B> から重複する行を取り除き、 <A> とする	<A> = <B> . drop_duplicates ( )	<A> = <B> . drop_duplicates ( )
表データ <B> 内にある <a> を NaN とする	<B> . replace ( <a> , np . nan )	scatter <B> . replace ( <a> , np . nan )
<A> ( データフレーム ) の <b> 表属性と <c> を大きい順にソートして、 <A> とする	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )
先頭の列を位置に設定して、 <b> をデータフレームとして読んで、 <A> とする	<A> = pd . read_csv ( <b> , index_col = 0 )	<e> <A> = pd . read_csv ( <b> , index_col = 0 )
<A> の <d> について、カラム <b> をインデックス、 <c> カラムをカラムとしたピボットテーブルを作成する	<A> . pivot_table ( index = <b> , columns = <c> , values = <d> )	<E> . pivot_table ( index = <b> , columns = <c> , values = <d> )
データフレーム <B> 中の未入力の値を <A> として、再代入する	<B> = <B> . fillna ( <A> )	<B> = <B> . fillna ( <A> )
