データフレーム <A> 内の <b> コラムに重複はあるのかどうか確認	<A> . duplicated ( subset = <b> )	df . duplicated ( subset = <b> )
色を <A> として、 <C> と <B> の折れ線グラフをプロットする	plt . plot ( <C> , <B> , color = ( <A> ) )	plt . plot ( <C> , <B> , color = ( <A> ) ) )
表データ <C> の表属性 <b> と <a> を大から小へと並び替え、再代入する	<C> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )	df = <C> . sort_values ( [ <b> , <a> ] , ascending = False )
データフレーム <A> の欠損値を <A> の平均値で埋めて、 <A> にする	<A> = <A> . fillna ( <A> . mean ( ) )	( <A> = <A> . fillna ( <A> . mean ( ) )
表 <A> のインデックスを振り直して、置き換える	<A> = <A> . reset_index ( )	<A> . reset_index ( inplace = True )
<A> の列 <b> を四分位数ごとで分割する	pd . qcut ( <A> [ <b> ] , 4 )	pd . qcut ( <A> [ <b> ] , 4 )
<A> 全体を位置を元にソートして、 <A> にする	<A> = <A> . sort_index ( )	<B> = <A> . sort_index ( )
データフレーム <A> の <b> に重複は存在するのか確認	<A> . duplicated ( subset = <b> )	df . duplicated ( subset = <b> )
表 <B> の NaN を <A> とし、 <C> に代入する	<C> = <B> . fillna ( <A> )	<B> = <B> . fillna ( <A> )
<b> というエクセルデータのシート名 <a> を読む	pd . read_excel ( <b> , sheet_name = <a> )	to_excel pd . read_excel ( <b> , sheet_name = <a> )
表データ <B> を <a> の値を軸にソートして、 <B> に代入する	<B> = <B> . sort_values ( <a> )	<B> = <B> . sort_values ( <a> )
データフレーム <C> 内の表属性 <b> と表属性 <a> に重複があるかどうか	<C> . duplicated ( subset = [ <b> , <a> ] )	if <C> . duplicated ( subset = [ <b> , <a> ] ) :
<B> を <a> ファイルという名前で CSV ファイルで保存する	<B> . to_csv ( <a> )	plt . savefig ( <a> )
カンマ区切りでファイル <a> からデータフレームを読み込む	pd . read_csv ( <a> , sep = ',' )	read_csv = pd . read_csv ( <a> , sep = ',' )
<A> の <b> に重複がある行をドロップし、置き換える	<A> . drop_duplicates ( subset = <b> , inplace = True )	df . drop_duplicates ( subset = <b> , inplace = True )
<b> カラムと <c> を値が大きい順にソートし、 <A> にする	<A> = <A> . sort_values ( [ <b> , <c> ] , ascending = False )	False = df . sort_values ( [ <b> , <c> ] , ascending = False )
<A> 中の <b> に重複があるのかチェックする	<A> . duplicated ( subset = <b> )	df . duplicated ( subset = <b> )
<a> と <b> に重複はあるのか調べる	df . duplicated ( subset = [ <a> , <b> ] )	if df . duplicated ( subset = [ <a> , <b> ] ) :
データフレーム <C> のカラム <b> と <a> を大から小へと並び替えて、 <D> とする	<D> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )	<E> = <C> . sort_values ( [ <b> , <a> ] , ascending = False )
<B> 内に存在する <a> を NaN とし、 <C> とする	<C> = <B> . replace ( <a> , np . nan )	df = <B> . replace ( <a> , np . nan )
データフレームを <b> からタブ区切りで読み込み、 <A> とする	<A> = pd . read_csv ( <b> , sep = '\t' )	pd . read_csv ( <b> , sep = '\t' )
データフレーム <A> 内の列 <b> に重複がある行をドロップして、置き換える	<A> . drop_duplicates ( subset = <b> , inplace = True )	df . drop_duplicates ( subset = <b> , inplace = True )
データフレーム <B> の <a> 表属性を並び替えて、 <B> にする	<B> = <B> . sort_values ( <a> )	<B> = <B> . sort_values ( <a> )
<A> をエクセルファイル <b> という名前にして保存する	<A> . to_excel ( <b> )	df . to_excel ( <b> )
<a> というエクセル <a> の全てのシートを表に格納する	pd . read_excel ( <a> , sheet_name = None )	pd . read_excel ( <a> , sheet_name = None )
位置と <d> 列をキーとして <B> 表データと <C> 表データを結合し、 <A> とする	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <d> )	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <d> )
<a> というエクセルデータの全部のシートを読む	pd . read_excel ( <a> , sheet_name = None )	sheet_name . pd ( <a> , sheet_name = None )
