print ( <val2> )	<val2> とプリントする
print ( 'Hello World' )	「こんにちは世界」とプリントする
print ( 'Hello World' )	「ハローワールド」とプリントする
print ( 'Hello World' )	試しに何か動かす
print ( 'Hello World' )	何か動かす
print ( 'Hello World' )	最初のプログラム
<val4> + <val6>	<val4> 足す <val6>
<val2> + <val5>	<val2> に <val5> を加算する
<val4> + <val2>	<val2> を <val4> に加算する
<val4> + <val2>	<val4> と <val2> の和
<val6> + <val4> + <val3>	<val6> 足す <val4> 足す <val3>
<val4> + <val1> + <val3>	<val4> , <val1> , <val3> の和
<val4> -70	<val4> から 70 を引く
<val1> * <val6>	<val1> かける <val6>
<val2> / <val3>	<val2> を <val3> で割る
<val2> // <val3>	<val2> を <val3> で割った商
<val6> % <val1>	<val6> を <val1> で割った余り
<val3> ** <val5>	<val3> の <val5> 乗
<val1>   + <val3>	文字列 <val1> と <val3> を連結する
<val1>   + <val6>	文字列 <val1> と <val6> を繋ぐ
<val2>   + <val6>	文字列 <val2> と <val6> を結合する
<val5>   + <val3>	<val5> と <val3> を繋ぐ
<val4>   + <val3>	<val4> と <val3> を結合する
<val4>   + <val3>	<val4> と <val3> を連結する
str ( <val6> )	<val6> を文字列に変換する
str ( <val4> )	文字列に <val4> を変換する
str ( <val3> )	<val3> を文字列にする
str ( <val3> )	文字列に <val3> をする
str ( <val3> )	<val3> を変換した文字列
<val1>   * <val6>	文字列 <val1> を <val6> 回繰り返す
<val3>   * <val2>	文字列 <val3> を <val2> 回繰り返す
x = input ( )	ユーザから入力を得る
<name6> = input ( )	ユーザが入力した文字列を <name6> とする
x = input ( )	ユーザから入力された文字列
x = input ( )	入力された文字列
x = input ( <val3> )	<val3> というプロンプトを表示しユーザに文字列を入力させる
x = input ( <val2> )	文字列を表示しユーザに <val2> というプロンプトを入力させる
x = input ( <val1> )	<val1> というプロンプトを文字列を表示しユーザに入力させる
x = input ( <val5> )	<val5> という問い合わせに対しユーザから / 入力を得る
float ( <name3> )	<name3> を浮動小数点数に変換する
float ( <name5> )	浮動小数点数に <name5> を変換する
float ( <name5> )	<name5> を浮動小数点数にする
float ( <name2> )	浮動小数点数に <name2> をする
float ( <name6> )	<name6> を変換した浮動小数点数
int ( <name1> )	<name1> を整数に変換する
int ( <name4> )	整数に <name4> を変換する
int ( <name2> )	<name2> を整数にする
int ( <name6> )	整数に <name6> をする
int ( <name3> )	<name3> を変換した整数
<name6> = int ( input ( ) )	ユーザは入力した整数を <name6> とする
<name2> = int ( input ( ) )	ユーザが入力した整数を <name2> とする
<name2> = int ( input ( ) )	入力された整数を <name2> とする
x = int ( input ( ) )	入力された整数
<name4> = float ( input ( ) )	ユーザが入力した浮動小数点数を <name4> とする
x = float ( input ( ) )	入力された浮動小数点数
type ( <name5> )	<name5> のクラス
type ( <name4> )	<name4> の型
type ( <name4> )	<name4> のクラスを表示する
<name1> == <name3>	<name1> と <name3> が等しいかどうか
if <name5> == <name4> :	もし <name5> と <name4> が等しいとき
if <name5> != <name1> :	<name5> と <name1> が等しくない場合
while <name3> == <name4> :	<name3> と <name4> が等しい間
<name1> == <name5>	<name1> が <name5> と等しいかどうか
<name6> == <name1>	<name1> と等しいかどう <name6> がか
if <name4> == <name6> :	もし <name4> が <name6> と等しい場合
if <name5> == <name2> :	もし <name2> と等しいかどう <name5> がならば
if <name6> != <name3> :	<name6> が <name3> と等しくないとき
if <name1> != <name5> :	<name5> と等しいかどう <name1> がでないならば
while <name4> == <name5> :	<name4> が <name5> と等しい間
while <name4> == <name5> :	<name5> と等しいかどう <name4> がの間
<name2> == <name3>	<name2> が <name3> かどうか
<name5> == <name3>	<name3> かどう <name5> がか
if <name2> == <name1> :	<name2> が <name1> の場合
if <name2> == <name3> :	<name3> かどう <name2> がの場合
if <name1> != <name5> :	もし <name1> が <name5> でないとき
if <name3> != <name2> :	<name2> かどう <name3> がでないなら
while <name3> == <name1> :	<name3> が <name1> の間
while <name3> == <name6> :	<name6> かどう <name3> がの間
<name1> >  <name4>	<name1> が <name4> より大きいかどうか
<name3> >  <name6>	<name6> より大きいかどう <name3> がか
if <name3> >  <name6> :	もし <name3> が <name6> より大きいなら
if <name1> >  <name3> :	もし <name3> より大きいかどう <name1> がのとき
if not <name1> >  <name3> :	<name1> が <name3> より大きくないなら
if not <name1> >  <name3> :	もし <name3> より大きいかどう <name1> がでない場合
while <name6> >  <name2> :	<name6> が <name2> より大きい間
while <name3> >  <name2> :	<name2> より大きいかどう <name3> がの間
<name5> <  <name1>	<name5> が <name1> より小さいかどうか
<name4> <  <name5>	<name5> より <name4> が小さいかどうか
<name4> <  <name1>	小さいかどう <name4> が <name1> よりか
if <name1> <  <name3> :	<name1> が <name3> より小さいなら
if <name5> <  <name1> :	もし小さいかどう <name5> が <name1> よりなら
if <name3> <  <name1> :	<name3> が小さいかどう <name1> よりの場合
if not <name3> <  <name5> :	もし <name3> が <name5> より小さくないとき
if not <name3> <  <name1> :	もし小さいかどう <name3> が <name1> よりでないとき
if not <name4> <  <name3> :	<name4> が小さいかどう <name3> よりでない場合
while <name1> <  <name5> :	<name1> が <name5> より小さい間
while <name6> <  <name2> :	<name6> が小さいかどう <name2> よりの間
while <name6> <  <name5> :	<name5> より <name6> が小さい間
<name4> >= <name2>	<name4> が <name2> 以上かどうか
<name5> >= <name2>	<name2> 以上かどう <name5> がか
if <name6> >= <name5> :	もし <name6> が <name5> 以上の場合
if <name4> >= <name1> :	もし <name1> 以上かどう <name4> がならば
if not <name1> >= <name3> :	<name1> が <name3> 以上でないなら
if not <name3> >= <name2> :	もし <name2> 以上かどう <name3> がでないなら
while <name6> >= <name2> :	<name6> が <name2> 以上の間
while <name6> >= <name3> :	<name3> 以上かどう <name6> がの間
<name1> <= <name5>	<name1> が <name5> 以下かどうか
<name4> <= <name3>	<name3> 以下かどう <name4> がか
if <name4> <= <name3> :	<name4> が <name3> 以下ならば
if <name4> <= <name2> :	<name2> 以下かどう <name4> がの場合
if not <name6> <= <name1> :	<name6> が <name1> 以下でないならば
if not <name4> <= <name2> :	もし <name2> 以下かどう <name4> がでないならば
while <name3> <= <name5> :	<name3> が <name5> 以下の間
while <name5> <= <name3> :	<name3> 以下かどう <name5> がの間
<name3> % 2 == 0	<name3> が偶数かどうか
<name4> % 2 == 0	偶数かどう <name4> がか
if <name3> % 2 == 0 :	<name3> が偶数ならば
if <name5> % 2 == 0 :	もし偶数かどう <name5> がならば
if <name3> % 2 != 0 :	もし <name3> が偶数でないなら
if <name1> % 2 != 0 :	もし偶数かどう <name1> がでないならば
while <name5> % 2 == 0 :	<name5> が偶数の間
while <name5> % 2 == 0 :	偶数かどう <name5> がの間
<name4> % 2 == 1	<name4> が奇数かどうか
<name5> % 2 == 1	奇数かどう <name5> がか
if <name2> % 2 == 1 :	<name2> が奇数ならば
if <name2> % 2 == 1 :	奇数かどう <name2> がの場合
if <name5> % 2 != 1 :	もし <name5> が奇数でないならば
if <name5> % 2 != 1 :	もし奇数かどう <name5> がでないとき
while <name5> % 2 == 1 :	<name5> が奇数の間
while <name1> % 2 == 1 :	奇数かどう <name1> がの間
<name6> % <name5> == 0	<name6> が <name5> の倍数かどうか
<name3> % <name6> == 0	<name6> の倍数かどう <name3> がか
if <name3> % <name1> == 0 :	<name3> が <name1> の倍数のとき
if <name6> % <name1> == 0 :	もし <name1> の倍数かどう <name6> がのとき
if <name1> % <name4> != 0 :	<name1> が <name4> の倍数でないとき
if <name5> % <name4> != 0 :	<name4> の倍数かどう <name5> がでないなら
while <name4> % <name1> == 0 :	<name4> が <name1> の倍数の間
while <name4> % <name5> == 0 :	<name5> の倍数かどう <name4> がの間
<name3> % <name5> == 0	<name3> が <name5> で割り切れるかどうか
<name4> % <name6> == 0	<name6> で割り切れるかどう <name4> がか
if <name3> % <name5> == 0 :	もし <name3> が <name5> で割り切れるのとき
if <name1> % <name4> == 0 :	<name4> で割り切れるかどう <name1> がの場合
if <name5> % <name6> != 0 :	<name5> が <name6> で割り切れるでないとき
if <name6> % <name5> != 0 :	<name5> で割り切れるかどう <name6> がでない場合
while <name2> % <name3> == 0 :	<name2> が <name3> で割り切れるの間
while <name4> % <name3> == 0 :	<name3> で割り切れるかどう <name4> がの間
pass	何もしない
pass	パスする
quit ( )	プログラムの実行を途中で終了する
quit ( )	プログラムの実行を終了する
quit ( )	プログラムの実行を中断する
True	真
False	偽
if <name3> <  <val1> or <name3> >= <val4> :	もし <name3> が <val1> 未満または <val4> 以上のとき
if <name1> <  <val6> or <name1> >= <val5> :	<name1> が <val6> 未満もしくは <val5> 以上のとき
if age <  <val6> or age >= <val5> :	もし <val6> 才未満または <val5> 才以上のとき
if <name6> <  <val2> and <name6> >= <val1> :	もし <name6> が <val2> 未満かつ <val1> 以上のとき
if <name4> <  <val1> and <name4> >= <val6> :	<name4> がもし <val1> 未満かつ <val6> 以上のとき
weight / ( height / 100 ) ** 2	BMI を求めたい
weight / ( height / 100 ) ** 2	BMI を求めたいを算出する
<name5> / ( <name4> / 100 ) ** 2	<name5> と <name4> から BMI
<name2> / ( <name3> / 100 ) ** 2	<name2> 体重と <name3> 身長から BMI
<name4> / ( <name6> / 100 ) ** 2	体重 <name4> と身長 <name6> から BMI
<name2> / ( <name3> / 100 ) ** 2	<name2> と <name3> から BMI を算出する
<name5> / ( <name3> / 100 ) ** 2	<name5> 体重と <name3> 身長から BMI を算出する
<name6> / ( <name1> / 100 ) ** 2	体重 <name6> と身長 <name1> から BMI を計算する
<name2> / ( <name3> / 100 ) ** 2	<name3> と <name2> から BMI
<name2> / ( <name1> / 100 ) ** 2	身長 <name1> と体重 <name2> から BMI
<name4> / ( <name1> / 100 ) ** 2	<name1> 身長と <name4> 体重から BMI
<name6> / ( <name2> / 100 ) ** 2	<name2> と <name6> から BMI を算出する
<name1> / ( <name3> / 100 ) ** 2	身長 <name3> と体重 <name1> から BMI を算出する
<name5> / ( <name6> / 100 ) ** 2	<name6> 身長と <name5> 体重から BMI を算出する
random . randint ( 1 , 6 )	サイコロの出目
random . randint ( 1 , 6 )	サイコロの目
