print ( <val3> )	<val3> とプリントする
print ( 'Hello World' )	「こんにちは世界」とプリントする
print ( 'Hello World' )	「ハローワールド」とプリントする
print ( 'Hello World' )	試しに何か動かす
print ( 'Hello World' )	何か動かす
print ( 'Hello World' )	最初のプログラム
<val3> + <val5>	<val3> 足す <val5>
<val3> + <val2>	<val3> に <val2> を加算する
<val2> + <val3>	<val3> を <val2> に加算する
<val2> + <val6>	<val2> と <val6> の和
<val1> + <val2> + <val4>	<val1> 足す <val2> 足す <val4>
<val6> + <val4> + <val1>	<val6> , <val4> , <val1> の和
<val2> -70	<val2> から 70 を引く
<val3> * <val1>	<val3> かける <val1>
<val1> / <val4>	<val1> を <val4> で割る
<val1> // <val6>	<val1> を <val6> で割った商
<val5> % <val2>	<val5> を <val2> で割った余り
<val4> ** <val3>	<val4> の <val3> 乗
<val5>   + <val6>	文字列 <val5> と <val6> を結合する
<val5>   + <val6>	文字列 <val5> と <val6> を繋ぐ
<val3>   + <val1>	<val3> と <val1> を連結する
<val3>   + <val1>	<val3> と <val1> を繋ぐ
<val4>   + <val1>	<val4> と <val1> を結合する
str ( <val3> )	<val3> を文字列に変換する
str ( <val5> )	文字列に <val5> を変換する
str ( <val6> )	<val6> を文字列にする
str ( <val1> )	文字列に <val1> をする
str ( <val6> )	<val6> を変換した文字列
<val2>   * <val1>	文字列 <val2> を <val1> 回繰り返す
<val4>   * <val2>	文字列 <val4> を <val2> 回繰り返す
x = input ( )	ユーザから入力を得る
<name2> = input ( )	ユーザが入力した文字列を <name2> とする
x = input ( )	ユーザから入力された文字列
x = input ( )	入力された文字列
x = input ( <val5> )	<val5> というプロンプトを表示しユーザに文字列を入力させる
x = input ( <val4> )	文字列を <val4> というプロンプトを表示しユーザに入力させる
x = input ( <val2> )	表示しユーザに文字列を <val2> というプロンプトを入力させる
x = input ( <val3> )	<val3> という問い合わせに対しユーザから / 入力を得る
float ( <name3> )	<name3> を浮動小数点数に変換する
float ( <name2> )	浮動小数点数に <name2> を変換する
float ( <name4> )	<name4> を浮動小数点数にする
float ( <name5> )	浮動小数点数に <name5> をする
float ( <name2> )	<name2> を変換した浮動小数点数
int ( <name2> )	<name2> を整数に変換する
int ( <name6> )	整数に <name6> を変換する
int ( <name1> )	<name1> を整数にする
int ( <name5> )	整数に <name5> をする
int ( <name4> )	<name4> を変換した整数
<name1> = int ( input ( ) )	ユーザが入力した整数を <name1> とする
<name4> = int ( input ( ) )	入力された整数を <name4> とする
<name1> = int ( input ( ) )	ユーザは入力した整数を <name1> とする
x = int ( input ( ) )	入力された整数
<name1> = float ( input ( ) )	ユーザが入力した浮動小数点数を <name1> とする
x = float ( input ( ) )	入力された浮動小数点数
type ( <name6> )	<name6> のクラス
type ( <name2> )	<name2> の型
type ( <name1> )	<name1> のクラスを調べる
type ( <name5> )	<name5> の型を見る
<name6> == <name2>	<name6> と <name2> が等しいかどうか
if <name1> == <name2> :	もし <name1> と <name2> が等しい場合
if <name2> != <name1> :	もし <name2> と <name1> が等しくない場合
<name6> == <name2> and	<name6> と <name2> が等しい、かつ、
<name5> == <name3> or	<name5> と <name3> が等しい、もしくは、
<name4> != <name6> and	<name4> と <name6> が等しくない、かつ、
<name3> != <name1> or	<name3> と <name1> が等しくない、または、
while <name5> == <name6> :	<name5> と <name6> が等しい間
<name6> == <name3>	<name6> が <name3> と等しいかどうか
<name6> == <name2>	<name2> と等しいかどう <name6> がか
if <name3> == <name2> :	<name3> が <name2> と等しいなら
if <name2> == <name4> :	もし <name4> と等しいかどう <name2> がのとき
if <name6> != <name1> :	<name6> が <name1> と等しくない場合
if <name1> != <name2> :	もし <name2> と等しいかどう <name1> がでない場合
<name2> == <name6> and	<name2> が <name6> と等しい、かつ、
<name1> == <name2> or	<name1> が <name2> と等しい、もしくは、
<name4> == <name3> and	<name3> と等しいかどう <name4> が、かつ、
<name1> == <name6> or	<name6> と等しいかどう <name1> が、または、
<name1> != <name5> and	<name1> が <name5> と等しくない、かつ、
<name6> != <name5> or	<name6> が <name5> と等しくない、もしくは、
<name5> != <name6> and	<name6> と等しいかどう <name5> がでない、かつ、
<name5> != <name6> or	<name6> と等しいかどう <name5> がでない、もしくは、
while <name1> == <name3> :	<name1> が <name3> と等しい間
while <name2> == <name4> :	<name4> と等しいかどう <name2> がの間
<name5> == <name4>	<name5> が <name4> かどうか
<name3> == <name2>	<name2> かどう <name3> がか
if <name6> == <name2> :	<name6> が <name2> のとき
if <name5> == <name4> :	<name4> かどう <name5> がならば
if <name6> != <name5> :	もし <name6> が <name5> でないとき
if <name3> != <name1> :	もし <name1> かどう <name3> がでないとき
<name4> == <name2> and	<name4> が <name2> 、かつ、
<name1> == <name6> or	<name1> が <name6> 、もしくは、
<name6> == <name2> and	<name2> かどう <name6> が、かつ、
<name3> == <name5> or	<name5> かどう <name3> が、または、
<name1> != <name5> and	<name1> が <name5> でない、かつ、
<name1> != <name4> or	<name1> が <name4> でない、または、
<name6> != <name2> and	<name2> かどう <name6> がでない、かつ、
<name1> != <name6> or	<name6> かどう <name1> がでない、もしくは、
while <name4> == <name6> :	<name4> が <name6> の間
while <name4> == <name5> :	<name5> かどう <name4> がの間
<name6> >  <name4>	<name6> が <name4> より大きいかどうか
<name4> >  <name3>	<name3> より大きいかどう <name4> がか
if <name4> >  <name1> :	もし <name4> が <name1> より大きい場合
if <name5> >  <name2> :	もし <name2> より大きいかどう <name5> がならば
if not <name1> >  <name6> :	もし <name1> が <name6> より大きくないならば
if not <name6> >  <name3> :	もし <name3> より大きいかどう <name6> がでないなら
<name5> >  <name1> and	<name5> が <name1> より大きい、かつ、
<name5> >  <name6> or	<name5> が <name6> より大きい、もしくは、
<name6> >  <name3> and	<name3> より大きいかどう <name6> が、かつ、
<name1> >  <name3> or	<name3> より大きいかどう <name1> が、または、
not <name3> >  <name5> and	<name3> が <name5> より大きくない、かつ、
not <name5> >  <name3> or	<name5> が <name3> より大きくない、または、
not <name3> >  <name4> and	<name4> より大きいかどう <name3> がでない、かつ、
not <name5> >  <name1> or	<name1> より大きいかどう <name5> がでない、または、
while <name5> >  <name6> :	<name5> が <name6> より大きい間
while <name1> >  <name6> :	<name6> より大きいかどう <name1> がの間
<name6> <  <name5>	<name6> が <name5> より小さいかどうか
<name1> <  <name2>	小さいかどう <name1> が <name2> よりか
<name1> <  <name3>	<name3> より小さいかどう <name1> がか
if <name6> <  <name4> :	もし <name6> が <name4> より小さいならば
if <name2> <  <name4> :	<name2> が小さいかどう <name4> よりのとき
if <name3> <  <name2> :	もし小さいかどう <name2> より <name3> がの場合
if not <name5> <  <name1> :	<name5> が <name1> より小さくないならば
if not <name5> <  <name3> :	もし <name5> が小さいかどう <name3> よりでないならば
if not <name4> <  <name5> :	もし小さいかどう <name5> より <name4> がでないなら
<name5> <  <name1> and	<name5> が <name1> より小さい、かつ、
<name4> <  <name3> or	<name4> が <name3> より小さい、もしくは、
<name4> <  <name2> and	小さいかどう <name2> より <name4> が、かつ、
<name4> <  <name2> or	小さいかどう <name2> より <name4> が、または、
<name4> <  <name2> and	<name4> が小さいかどう <name2> より、かつ、
<name5> <  <name3> or	<name5> が小さいかどう <name3> より、または、
not <name1> <  <name6> and	<name1> が <name6> より小さくない、かつ、
not <name1> <  <name4> or	<name1> が <name4> より小さくない、または、
not <name5> <  <name3> and	小さいかどう <name3> より <name5> がでない、かつ、
not <name2> <  <name5> or	小さいかどう <name5> より <name2> がでない、または、
not <name1> <  <name4> and	<name1> が小さいかどう <name4> よりでない、かつ、
not <name2> <  <name4> or	<name2> が小さいかどう <name4> よりでない、または、
while <name3> <  <name1> :	<name3> が <name1> より小さい間
while <name6> <  <name1> :	<name1> より小さいかどう <name6> がの間
while <name5> <  <name4> :	<name5> が小さいかどう <name4> よりの間
<name3> >= <name1>	<name3> が <name1> 以上かどうか
<name1> >= <name6>	<name6> 以上かどう <name1> がか
if <name2> >= <name4> :	もし <name2> が <name4> 以上の場合
if <name1> >= <name4> :	もし <name4> 以上かどう <name1> がなら
if not <name5> >= <name3> :	<name5> が <name3> 以上でない場合
if not <name6> >= <name4> :	<name4> 以上かどう <name6> がでないとき
<name3> >= <name1> and	<name3> が <name1> 以上、かつ、
<name1> >= <name5> or	<name1> が <name5> 以上、または、
<name6> >= <name2> and	<name2> 以上かどう <name6> が、かつ、
<name6> >= <name3> or	<name3> 以上かどう <name6> が、もしくは、
not <name6> >= <name3> and	<name6> が <name3> 以上でない、かつ、
not <name5> >= <name4> or	<name5> が <name4> 以上でない、もしくは、
not <name5> >= <name2> and	<name2> 以上かどう <name5> がでない、かつ、
not <name5> >= <name2> or	<name2> 以上かどう <name5> がでない、もしくは、
while <name5> >= <name1> :	<name5> が <name1> 以上の間
while <name6> >= <name1> :	<name1> 以上かどう <name6> がの間
<name4> <= <name3>	<name4> が <name3> 以下かどうか
<name6> <= <name3>	<name3> 以下かどう <name6> がか
if <name5> <= <name6> :	もし <name5> が <name6> 以下ならば
if <name4> <= <name1> :	もし <name1> 以下かどう <name4> がの場合
if not <name2> <= <name6> :	<name2> が <name6> 以下でない場合
if not <name6> <= <name1> :	もし <name1> 以下かどう <name6> がでないとき
<name1> <= <name4> and	<name1> が <name4> 以下、かつ、
<name1> <= <name2> or	<name1> が <name2> 以下、もしくは、
<name4> <= <name3> and	<name3> 以下かどう <name4> が、かつ、
<name3> <= <name5> or	<name5> 以下かどう <name3> が、または、
not <name1> <= <name5> and	<name1> が <name5> 以下でない、かつ、
not <name5> <= <name4> or	<name5> が <name4> 以下でない、もしくは、
not <name4> <= <name3> and	<name3> 以下かどう <name4> がでない、かつ、
not <name5> <= <name1> or	<name1> 以下かどう <name5> がでない、または、
while <name2> <= <name1> :	<name2> が <name1> 以下の間
while <name1> <= <name6> :	<name6> 以下かどう <name1> がの間
<name4> % 2 == 0	<name4> が偶数かどうか
<name4> % 2 == 0	偶数かどう <name4> がか
if <name5> % 2 == 0 :	<name5> が偶数なら
if <name1> % 2 == 0 :	もし偶数かどう <name1> がのとき
if <name1> % 2 != 0 :	もし <name1> が偶数でないなら
