start = <A>	そこで、 <A> を開始とする
start = <A>	そこで、開始は <A> とする
start = <A>	そこで、始まりは <A> とする
start = <A>	そこで、 <A> から始める
step = <A>	そこで、間隔は <A> にする
encoding = <A>	そこで、文字コードは <A> とする
encoding = <A>	そこで、 <A> をエンコーディングとする
encoding = <A>	そこで、エンコーディングは <A> とする
encoding = <A>	そこで、文字コード <A> をする
encoding = <A>	そこで、エンコーディング <A> を用いる
encoding = <A>	そこで、エンコーディング <A> をする
encoding = <A>	そこで、エンコーディング <A> を使う
encoding = <A>	そこで、文字コード <A> を用いる
encoding = <A>	そこで、 <A> を用いる
encoding = <A>	そこで、 <A> を使う
encoding = <A>	そこで、文字コード <A> を使う
encoding = 'utf-8'	そこで、 UTF8 をする
encoding = 'utf-8'	そこで、 UTF8 を用いる
encoding = 'utf-8'	そこで、 UTF8 を使う
errors = <A>	そこで、エラー処理は <A> とする
errors = <A>	そこで、 <A> をエラー処理ポリシーとする
errors = 'strict'	そこで、厳密をエラー処理にする
errors = 'strict'	そこで、エラー処理は厳密にする
errors = 'strict'	そこで、エラー処理を厳密にする
errors = 'ignore'	そこで、エラー処理はしない
errors = 'ignore'	そこで、エラー処理をしない
mode = <A>	そこで、モードは <A> にする
mode = 'b'	そこで、バイナリモードをする
mode = 'b'	そこで、バイナリモードを使う
mode = 'b'	そこで、バイナリモードを用いる
buffering = -1	そこで、バッファリングしない
buffering = <A>	そこで、 <A> をバッファリングのサイズとする
buffering = <A>	そこで、バッファリングのサイズは <A> にする
sep = <A>	そこで、区切り文字は <A> にする
sep = <A>	そこで、区切り記号は <A> にする
sep = <A>	そこで、 <A> をセパレータとする
sep = <A>	そこで、セパレータは <A> にする
sep = <A>	そこで、区切り文字として <A> を用いる
sep = <A>	そこで、区切り文字として <A> をする
sep = <A>	そこで、区切り記号として <A> をする
sep = <A>	そこで、区切り記号として <A> を用いる
sep = <A>	そこで、セパレータとして <A> を使う
sep = <A>	そこで、セパレータとして <A> をする
sep = <A>	そこで、区切り記号として <A> を使う
end = ''	そこで、改行しない
end = <A>	そこで、 <A> を改行文字にする
end = <A>	そこで、改行文字は <A> にする
end = <A>	そこで、改行の代わりに <A> を用いる
end = <A>	そこで、改行の代わりに <A> をする
end = <A>	そこで、改行の代わりに <A> を使う
file = <A>	そこで、 <A> を出力先にする
file = <A>	そこで、出力先は <A> とする
file = <A>	そこで、出力先として <A> を使う
file = <A>	そこで、出力先として <A> を用いる
flush = False	そこで、フラッシュを行わない
flush = False	そこで、フラッシュは行わない
flush = False	そこで、フラッシュしない
flush = True	そこで、フラッシュを行う
byteorder = 'big'	そこで、バイトオーダーはビックエンディアンとする
byteorder = 'big'	そこで、ビックエンディアンをする
byteorder = 'big'	そこで、ビックエンディアンを用いる
byteorder = 'big'	そこで、ビックエンディアンを使う
byteorder = 'little'	そこで、バイトオーダーはリトルエンディアンとする
byteorder = 'little'	そこで、リトルエンディアンを使う
byteorder = 'little'	そこで、リトルエンディアンをする
byteorder = 'little'	そこで、リトルエンディアンを用いる
fillchar = <A>	そこで、パディングは文字 <A> にする
fillchar = <A>	そこで、 <A> 文字をパディングとする
fillchar = <A>	そこで、パディングは <A> 文字にする
fillchar = <A>	そこで、文字 <A> で埋める
fillchar = <A>	そこで、 <A> で埋める
tabsize = <A>	そこで、タブは空白 <A> 文字分とする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目までの列を表示させる
pd . set_option ( 'display.max_columns' , <A> )	<A> までの列を表示させる
pd . set_option ( 'display.max_columns' , <A> )	最大表示列数を <A> 列に設定する
pd . set_option ( 'display.max_columns' , <A> )	最大表示列数を <A> 列にセットする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目まで列が表示できるようにセットする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列が表示できるように変更する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列が表示できるようにセットする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列が表示できるように設定する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目まで列が表示できるように変更する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目まで列が表示できるように設定する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列を表示できるように変更する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目まで列を表示できるようにセットする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列を表示できるようにセットする
pd . set_option ( 'display.max_columns' , <A> )	<A> 番まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <A> )	<A> 番目まで列を表示できるように設定する
encoding = 'shift_jis'	そこで、シフト JIS を用いる
encoding = 'shift_jis'	そこで、シフト JIS を使う
encoding = 'shift_jis'	そこで、シフト JIS をする
encoding = 'shift_jis'	そこで、文字コードはシフト JIS とする
encoding = 'shift_jis'	そこで、文字コードとしてシフト JIS を使用する
encoding = 'shift_jis'	そこで、シフト JIS を文字コードにする
encoding = 'shift_jis'	そこで、文字コードはシフト JIS を使う
encoding = 'shift_jis'	そこで、文字コードは shift - jis をする
encoding = 'shift_jis'	そこで、文字コードは shift - jis にする
encoding = 'shift_jis'	そこで、 shift - jis を文字コードにする
encoding = 'shift_jis'	そこで、文字コードは shift - jis を用いる
encoding = 'shift_jis'	そこで、文字コードはシフト JIS をする
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードとして shift - jis を使用する
encoding = 'shift_jis'	そこで、 shift - jis を文字コードにする
encoding = 'shift_jis'	そこで、文字コードは shift - jis を使う
encoding = 'shift_jis'	そこで、文字コードはシフト JIS である
encoding = 'shift_jis'	そこで、文字コードとしてシフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードはシフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードを shift - jis にする
encoding = 'shift_jis'	そこで、文字コードをシフト JIS に設定する
encoding = 'shift_jis'	そこで、文字コードをシフト JIS にする
encoding = 'shift_jis'	そこで、文字コードを shift - jis に設定する
encoding = 'shift_jis'	そこで、文字コードはシフト JIS
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードがシフト JIS である
encoding = 'shift_jis'	そこで、文字コードが shift - jis である
encoding = 'shift_jis'	そこで、 header = None @option
encoding = 'shift_jis'	そこで、ヘッダーを指定しない
encoding = 'shift_jis'	そこで、ヘッダー無し
encoding = 'shift_jis'	そこで、ヘッダーは無し
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとしない
encoding = 'shift_jis'	そこで、先頭行をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、先頭行をヘッダーとしない
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、ヘッダー行を含まない
encoding = 'shift_jis'	そこで、ヘッダーを含まない
encoding = 'shift_jis'	そこで、列名いらない
encoding = 'shift_jis'	そこで、列名なし
color = <A>	そこで、色を <A> とする
fontsize = <A>	そこで、文字の大きさを <A> とする
fontsize = <A>	そこで、フォントサイズを <A> とする
