import <A> as <B>	<A> を <B> としてインポートする
import <B> as <A>	<B> を <A> としてインポートする
<A> = pd . read_csv ( './data/lunch_box.csv' , sep = ',' )	. / data / lunch_box .csv 'をカンマ区切りで読み込み、 <A> とする
<A> . head ( <b> )	<A> の上 <b> 行を表示する
<B> . head ( <a> )	<B> の上 <a> 行を表示する
<A> . head ( )	<A> の上 5 行を表示する
<A> . tail ( )	<A> の下 5 行を表示する
<A> . shape	<A> の行数と列数を確認する
<A> . index	<A> のインデックスを確認する
<A> . columns	<A> のカラムを確認する
<A> . dtypes	<A> のデータ型を確認する
<A> [ [ <b> , <c> ] ] . head ( )	<A> の <b> 列と <c> 列だけ上 5 行を表示する
<C> [ [ <b> , <a> ] ] . head ( )	<C> の <b> 列と <a> 列だけ上 5 行を表示する
<A> [ <b> : 106 ]	<A> の <b> 行目から 105 行目を抽出する
<B> [ <a> : 106 ]	<B> の <a> 行目から 105 行目を抽出する
<A> . loc [ <b> ]	<A> のインデックスが <b> の行を抽出する
<B> . loc [ <a> ]	<B> のインデックスが <a> の行を抽出する
<A> . iloc [ [ <b> , <c> , <d> ] , [ <e> , <c> ] ]	<A> の <b> , <c> , <d> 行目と <e> , <c> 列目を抽出する
<E> . iloc [ [ <d> , <c> , <b> ] , [ <a> , <c> ] ]	<E> の <d> , <c> , <b> 行目と <a> , <c> 列目を抽出する
<A> [ <A> [ <b> ] >  <c> ]	<A> の <b> 列が <c> より大きいものを抽出する
<C> [ <C> [ <b> ] >  <a> ]	<C> の <b> 列が <a> より大きいものを抽出する
"<A> [ [ 'name' , 'kcal' ] ] . query ( 'kcal > 450 and name == ""豚肉の生姜焼""' )"	"kcak '列が450より大きい、かつ' name '列が""豚肉の生姜焼""にあてはまる行の' name '列と' kcal '列を <A> から抽出する"
<A> [ <b> ] . unique ( )	<A> の <b> 列に含まれるデータを確認する
<B> [ <a> ] . unique ( )	<B> の <a> 列に含まれるデータを確認する
<A> . drop_duplicates ( )	重複している行を <A> から削除する
<A> . describe ( )	<A> の統計情報を取得する
<A> . set_index ( 'datetime' , inplace = True )	datetime '列を <A> のインデックスとする
<A> . rename ( columns = { <b> : <c> } , inplace = True )	<A> の <b> 列を <c> 列とする
<C> . rename ( columns = { <b> : <a> } , inplace = True )	<C> の <b> 列を <a> 列とする
"<A> . sort_values ( by = ""sales"" , ascending = True ) . head ( )"	sales '列が昇順になるよう <A> をソートし、上 5 行を表示する
