import <A> as <B>	<A> を <B> としてインポートする
import <B> as <A>	<B> を <A> としてインポートする
<A> = pd . read_csv ( './data/lunch_box.csv' , sep = ',' )	. / data / lunch_box .csv 'をカンマ区切りで読み込み、 <A> とする
<A> . head ( <B> )	<A> の上 <B> 行を表示する
<B> . head ( <A> )	<B> の上 <A> 行を表示する
<A> . head ( )	<A> の上 5 行を表示する
<A> . tail ( )	<A> の下 5 行を表示する
<A> . shape	<A> の行数と列数を確認する
<A> . index	<A> のインデックスを確認する
<A> . columns	<A> のカラムを確認する
<A> . dtypes	<A> のデータ型を確認する
<A> [ [ <B> , <C> ] ] . head ( )	<A> の <B> 列と <C> 列だけ上 5 行を表示する
<C> [ [ <B> , <A> ] ] . head ( )	<C> の <B> 列と <A> 列だけ上 5 行を表示する
<A> [ <B> : 106 ]	<A> の <B> 行目から 105 行目を抽出する
<B> [ <A> : 106 ]	<B> の <A> 行目から 105 行目を抽出する
<A> . loc [ <B> ]	<A> のインデックスが <B> の行を抽出する
<B> . loc [ <A> ]	<B> のインデックスが <A> の行を抽出する
<A> . iloc [ [ <B> , <C> , <D> ] , [ <E> , <C> ] ]	<A> の <B> , <C> , <D> 行目と <E> , <C> 列目を抽出する
<E> . iloc [ [ <D> , <C> , <B> ] , [ <A> , <C> ] ]	<E> の <D> , <C> , <B> 行目と <A> , <C> 列目を抽出する
<A> [ <A> [ <B> ] >  <C> ]	<A> の <B> 列が <C> より大きいものを抽出する
<C> [ <C> [ <B> ] >  <A> ]	<C> の <B> 列が <A> より大きいものを抽出する
"<A> [ [ 'name' , 'kcal' ] ] . query ( 'kcal > 450 and name == ""豚肉の生姜焼""' )"	"kcak '列が450より大きい、かつ' name '列が""豚肉の生姜焼""にあてはまる行の' name '列と' kcal '列を <A> から抽出する"
<A> [ <B> ] . unique ( )	<A> の <B> 列に含まれるデータを確認する
<B> [ <A> ] . unique ( )	<B> の <A> 列に含まれるデータを確認する
<A> . drop_duplicates ( )	重複している行を <A> から削除する
<A> . describe ( )	<A> の統計情報を取得する
<A> . set_index ( 'datetime' , inplace = True )	datetime '列を <A> のインデックスとする
<A> . rename ( columns = { <B> : <C> } , inplace = True )	<A> の <B> 列を <C> 列とする
<C> . rename ( columns = { <B> : <A> } , inplace = True )	<C> の <B> 列を <A> 列とする
"<A> . sort_values ( by = ""sales"" , ascending = True ) . head ( )"	sales '列が昇順になるよう <A> をソートし、上 5 行を表示する
