pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目までの列を表示させる
pd . set_option ( 'display.max_columns' , <val1> )	最大表示列数を <val1> 列に設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番まで列が表示できるように変更する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列が表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるように変更する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるように設定する
encoding = 'shift_jis'	そこで、シフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードとして shift - jis を使用する
encoding = 'shift_jis'	そこで、文字コードは shift - jis を用いる
encoding = 'shift_jis'	そこで、文字コードはシフト JIS とする
encoding = 'shift_jis'	そこで、文字コードとしてシフト JIS を使う
encoding = 'shift_jis'	そこで、文字コードはシフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードをシフト JIS にする
encoding = 'shift_jis'	そこで、文字コードを shift - jis に設定する
encoding = 'shift_jis'	そこで、文字コードはシフト JIS
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードが shift - jis である
encoding = 'shift_jis'	そこで、 header = None @option
encoding = 'shift_jis'	そこで、ヘッダーを指定しない
encoding = 'shift_jis'	そこで、ヘッダー無し
encoding = 'shift_jis'	そこで、ヘッダーは無し
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、先頭行をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとしない
encoding = 'shift_jis'	そこで、ヘッダー行を含まない
encoding = 'shift_jis'	そこで、列名なし
encoding = 'shift_jis'	そこで、列名いらない
color = <val1>	そこで、色を <val1> とする
fontsize = <val1>	そこで、文字の大きさを <val1> とする
fontsize = <val1>	そこで、フォントサイズを <val1> とする
pd . read_excel ( <val1> )	エクセルファイル <val1> を読む
pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして読み込む
pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして読む
pd . read_excel ( <val1> )	エクセルファイル <val1> を読み込む
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> を読み、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとして読み込み、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとして読んで、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> を読み込んで、 <name1> とする
pd . read_excel ( <val1> )	エクセルファイル <val1> から読む
pd . read_excel ( <val1> )	エクセルファイル <val1> からデータフレームを読む
pd . read_excel ( <val1> )	エクセルファイル <val1> から読み込む
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> から読んで、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> からデータフレームを読んで、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> から読み込み、 <name1> とする
pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして読む
pd . read_excel ( <val1> )	エクセル <val1> をデータフレームに読み込む
pd . read_excel ( <val1> )	エクセルデータ <val1> を読む
pd . read_excel ( <val1> )	エクセルの <val1> をデータフレームとして読む
pd . read_excel ( <val1> )	エクセルの <val1> をデータフレームに読む
pd . read_excel ( <val1> )	エクセル <val1> を読み込む
pd . read_excel ( <val1> )	エクセルデータ <val1> をデータフレームに読む
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとして読み、 <name1> に代入する
<name1> = pd . read_excel ( <val2> )	エクセル <val2> をデータフレームに読み込み、 <name1> に代入する
<name1> = pd . read_excel ( <val2> )	エクセルデータ <val2> を読んで、 <name1> に代入する
<name1> = pd . read_excel ( <val2> )	エクセルの <val2> をデータフレームとして読み、 <name1> とする
<name1> = pd . read_excel ( <val2> )	エクセルの <val2> をデータフレームに読み、 <name1> にする
<name1> = pd . read_excel ( <val2> )	エクセル <val2> を読み込み、 <name1> にする
<name1> = pd . read_excel ( <val2> )	エクセルデータ <val2> をデータフレームに読んで、 <name1> とする
pd . read_excel ( <val1> )	エクセルの <val1> から読み込む
pd . read_excel ( <val1> )	エクセルファイル <val1> からデータフレームを読む
pd . read_excel ( <val1> )	エクセルの <val1> からデータフレームを読み込む
pd . read_excel ( <val1> )	エクセルデータ <val1> からデータフレームに読み込む
