<A> の <B> コラムとコラム <C> とコラム <D> について関係性を一気に描画する	sns . pairplot ( <A> [ [ <B> , <C> , <D> ] ] )	sns . pairplot ( <A> [ [ <B> , <C> , <D> ] ] )
同じ x 軸と y 軸でデータフレーム <A> のコラム <B> と <A> データフレームの <C> コラムと <A> データフレームの <D> コラムをボックスチャートで表示する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<A> 全体を <B> 表属性を軸にソートを <A> に代入する	<A> = <A> . sort_values ( <B> )	'words' <A> = <A> . sort_values ( <B> )
表データ <A> の中の未記入の値をデータフレーム <A> の平均値で埋める	<A> . fillna ( <A> . mean ( ) )	'words' <A> . fillna ( <A> . mean ( ) )
カンマ区切りでデータフレームとして CSV ファイル <B> を読み込み、 <A> に代入する	<A> = pd . read_csv ( <B> , sep = ',' )	<A> = pd . read_csv ( <B> , sep = ',' )
表データ <B> のコラム <C> を昇順にソートし、 <A> にする	<A> = <B> . sort_values ( <C> )	<B> <A> = <C> . sort_values ( <C> )
<A> のコラム <B> を one - hot 表現に変換する	pd . get_dummies ( <A> [ <B> ] )	pd . get_dummies ( <A> [ <B> ] )
<A> <B> コラムと <A> データフレームコラム <C> とデータフレーム <A> <D> コラムについての箱ひげ図を描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
表 <A> の表属性 <D> について、 <B> 表属性を位置、表属性 <C> を表属性としたピボットテーブルを作成する	<A> . pivot_table ( index = <B> , columns = <C> , values = <D> )	<A> . pivot_table ( index = <B> , columns = <C> , values = <D> )
データフレーム <A> <B> カラムと表 <A> カラム <C> と <A> 表カラム <D> の箱ひげ図を一枚のグラフで作画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
表データ <A> の中の <B> 表属性に重複がある行を削除する	<A> . drop_duplicates ( subset = <B> )	drop_duplicates . drop_duplicates ( subset = <B> )
<B> ( データフレーム ) のコラム <C> を順にして、 <A> とする	<A> = <B> . sort_values ( <C> )	<B> <A> = <C> . sort_values ( <C> )
表データ <A> 中の列に存在する <B> の個数の合計値を求める	<A> . isin ( [ <B> ] ) . sum ( )	'words' <A> . isin ( [ <B> ] ) . sum ( )
分割数を <C> として、データフレーム <A> のコラム <B> をビン分割する	pd . cut ( <A> [ <B> ] , <C> )	pd . cut ( <A> [ <B> ] , <C> )
<A> 全体を <B> カラムを元に並び替えて、 <A> にする	<A> = <A> . sort_values ( <B> )	'words' <A> = <A> . sort_values ( <B> )
表データ <A> のコラム <B> とコラム <C> を大から小へと並び替え、 <A> とする	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	ascending = <A> . sort_values ( [ <B> , <C> ] , ascending = False )
表 <A> の <B> 表属性と <C> 表属性をドロップし、置き換える	<A> = <A> . drop ( [ <B> , <C> ] , axis = 1 )	<A> = <A> . drop ( [ <B> , <C> ] , axis = 1 )
<B> と <C> データフレームを縦にくっつけて、 <A> とする	<A> = pd . concat ( [ <B> , <C> ] )	X = pd . concat ( [ <B> , <C> ] )
表データ <A> において、 <B> コラムから箱髭図を作画する	plt . boxplot ( <A> [ <B> ] )	kind = plt . boxplot ( <A> [ <B> ] )
データフレーム <A> と表 <B> を横方向にくっつける	pd . merge ( <A> , <B> )	<A> = pd . merge ( <B> )
そこで、透過率は <A> にする	alpha = <A>	buffering = <A>
データフレーム <A> 中の <B> カラムとカラム <C> に重複があるか否か	<A> . duplicated ( subset = [ <B> , <C> ] )	<A> . duplicated ( subset = [ <B> , <C> ] )
表データ <A> を <B> ファイルパスという名前で CSV ファイルで保存する	<A> . to_csv ( <B> )	savefig <A> . to_csv ( <B> )
同じグラフ内で表データ <A> の <B> カラムと表データ <A> の <C> カラムと表データ <A> の <D> カラムを箱ひげ図で描写する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<B> のカラム <E> について、カラム <C> をインデックス、カラム <D> をカラムとしたピボットテーブルを作成して、 <A> にする	<A> = <B> . pivot_table ( index = <C> , columns = <D> , values = <E> )	index = <B> , columns = <C> , values = <D> , values = <E> )
データフレーム <A> の <B> カラムが <C> 以上のデータを抽出する	<A> [ <A> [ <B> ] >= <C> ]	<A> [ <A> [ <B> ] >= <C> ]
データフレーム <A> の <B> 行目のコラム <C>	<A> . iloc [ <B> ] [ <C> ]	<A> . iloc [ <B> ] [ <C> ]
