同じ x 軸と y 軸でデータフレーム <A> のコラム <B> と <A> データフレームの <C> コラムと <A> データフレームの <D> コラムをボックスチャートで表示する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<A> 全体を <B> 表属性を軸にソートを <A> に代入する	<A> = <A> . sort_values ( <B> )	'words' <A> = <A> . sort_values ( <B> )
表データ <A> の中の未記入の値をデータフレーム <A> の平均値で埋める	<A> . fillna ( <A> . mean ( ) )	'words' <A> . fillna ( <A> . mean ( ) )
表データ <B> のコラム <C> を昇順にソートし、 <A> にする	<A> = <B> . sort_values ( <C> )	<B> <A> = <C> . sort_values ( <C> )
<A> <B> コラムと <A> データフレームコラム <C> とデータフレーム <A> <D> コラムについての箱ひげ図を描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
データフレーム <A> <B> カラムと表 <A> カラム <C> と <A> 表カラム <D> の箱ひげ図を一枚のグラフで作画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
表データ <A> の中の <B> 表属性に重複がある行を削除する	<A> . drop_duplicates ( subset = <B> )	drop_duplicates . drop_duplicates ( subset = <B> )
<B> ( データフレーム ) のコラム <C> を順にして、 <A> とする	<A> = <B> . sort_values ( <C> )	<B> <A> = <C> . sort_values ( <C> )
表データ <A> 中の列に存在する <B> の個数の合計値を求める	<A> . isin ( [ <B> ] ) . sum ( )	'words' <A> . isin ( [ <B> ] ) . sum ( )
<A> 全体を <B> カラムを元に並び替えて、 <A> にする	<A> = <A> . sort_values ( <B> )	'words' <A> = <A> . sort_values ( <B> )
表データ <A> のコラム <B> とコラム <C> を大から小へと並び替え、 <A> とする	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	ascending = <A> . sort_values ( [ <B> , <C> ] , ascending = False )
<B> と <C> データフレームを縦にくっつけて、 <A> とする	<A> = pd . concat ( [ <B> , <C> ] )	X = pd . concat ( [ <B> , <C> ] )
表データ <A> において、 <B> コラムから箱髭図を作画する	plt . boxplot ( <A> [ <B> ] )	kind = plt . boxplot ( <A> [ <B> ] )
データフレーム <A> と表 <B> を横方向にくっつける	pd . merge ( <A> , <B> )	<A> = pd . merge ( <B> )
そこで、透過率は <A> にする	alpha = <A>	buffering = <A>
表データ <A> を <B> ファイルパスという名前で CSV ファイルで保存する	<A> . to_csv ( <B> )	savefig <A> . to_csv ( <B> )
同じグラフ内で表データ <A> の <B> カラムと表データ <A> の <C> カラムと表データ <A> の <D> カラムを箱ひげ図で描写する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<B> のカラム <E> について、カラム <C> をインデックス、カラム <D> をカラムとしたピボットテーブルを作成して、 <A> にする	<A> = <B> . pivot_table ( index = <C> , columns = <D> , values = <E> )	index = <B> , columns = <C> , values = <D> , values = <E> )
コラム <A> と <B> コラムに重複はあるかどうか確認を表示する	df . duplicated ( subset = [ <A> , <B> ] )	. duplicated ( subset = [ <A> , <B> ] )
表データ <A> 内の重複する値がある行を取り除く	<A> . drop_duplicates ( )	'words' <A> . drop_duplicates ( )
表 <A> の表属性 <B> の名前を <C> に変更して、置き換える	<A> = <A> . rename ( columns = { <B> : <C> } )	rename <A> . rename ( columns = { <B> : <C> } , inplace = True )
表データ <A> のカラム <B> 、 <C> 、 <D>	<A> [ [ <B> , <C> , <D> ] ]	'words' <A> [ <B> , <C> , <D> ] ]
表データ <A> の元の位置をリセットして、再代入する	<A> = <A> . reset_index ( drop = True )	reset_index = <A> . reset_index ( drop = True )
<A> 列と列 <B> に重複はあるかチェック	df . duplicated ( subset = [ <A> , <B> ] )	<A> . duplicated ( subset = [ <B> , <C> ] )
<A> の上 5 行	<A> . head ( )	X . head ( <A> )
データフレーム <A> の表属性 <B> と表 <A> の <C> 表属性と <A> 表の表属性 <D> についての箱ひげ図をプロットする	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<A> のカラム <B> をソートして、 <A> とする	<A> = <A> . sort_values ( <B> )	X = <A> . sort_values ( <B> )
<A> ( データフレーム ) の <B> コラムを順番になるようにし、 <A> とする	<A> = <A> . sort_values ( <B> )	X = <A> . sort_values ( <B> )
表データ <B> 内の <C> コラムに重複がある行を削除を <A> にする	<A> = <B> . drop_duplicates ( subset = <C> )	x = <B> . drop_duplicates ( subset = <C> )
