そこで、箱ひげ図をグラフ種類にする	kind = 'box'	kind = 'box'
分割数を <C> 、ビンの名前を整数値として、 <A> の <B> を分割する	pd . cut ( <A> [ <B> ] , <C> , label = False )	markersize = pd . cut ( <A> [ <B> ] , <C> , label = False )
<A> の重複する行数の合計	<A> . duplicated ( ) . sum ( )	. duplicated ( ) . sum ( )
そこで、色は黄緑色をする	color = 'greenyellow'	color = 'greenyellow'
<B> を <C> 区切りで読み、 <A> とする	<A> = pd . read_csv ( <B> , sep = <C> )	df = pd . read_csv ( <B> , sep = <C> )
<A> の位置を軸に並び替え、置き換える	<A> = <A> . sort_index ( )	df = <A> . sort_index ( )
重複した最後の行を残して <A> ( データフレーム ) 内の重複している行を消し、 <A> とする	<A> = <A> . drop_duplicates ( keep = False )	start = <A> . drop_duplicates ( keep = False )
y 座標の軸ラベルを <A> と指定する	plt . ylabel ( <A> )	plt . ylabel ( <A> )
<A> を表として読み込む	pd . read_csv ( <A> )	pd . read_csv ( <A> )
データフレーム ( <A> ) をグループ毎に繰り返し	for i , df in enumerate ( <A> . groupby ( 'label' ) ) :	for i , df in enumerate ( <A> . groupby ( ) ) ) :
<A> 中のカテゴリ変数を数値データにする	pd . get_dummies ( <A> )	pd . get_dummies ( <A> )
左外部結合で <A> と <B> を結合する	pd . merge ( <A> , <B> , how = 'left' )	pd . merge ( <A> , <B> , how = 'left' )
そこで、区切り文字として <A> を使う	sep = <A>	sep = <A>
重複した最後の行を残して <B> ( データフレーム ) 内の重複している行を削除を <A> とする	<A> = <B> . drop_duplicates ( keep = False )	df = <B> . drop_duplicates ( keep = False )
そこで、グラフ線のスタイルを点と線とする	linestyle = 'dashbot'	linestyle = 'dashbot'
<A> の <B> が <C> 以下データを得る	<A> [ <A> [ <B> ] <= <C> ]	pd <A> [ <A> [ <B> ] == <C> ]
カンマ区切りで <A> から表を読み込む	pd . read_csv ( <A> , sep = ',' )	pd . read_csv ( <A> , sep = ',' )
そこで、色を黄緑とする	color = 'greenyellow'	color = 'greenyellow'
そこで、マーカーの種類の色を赤とする	markerfacecolor = 'red'	markersize = 'red'
<A> の <B> と <C> を逆順に並び替え、置き換える	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )
そこで、円グラフ上に小数点 2 位まで構成割合をパーセントを付けて表示する	autopct = '%.2f%%'	autopct = '%.2f%%'
<B> 中の重複する値がある行を削除して、 <A> にする	<A> = <B> . drop_duplicates ( )	= <B> . drop_duplicates ( )
<A> の中の NaN がある行を削除して、再代入する	<A> = <A> . dropna ( )	markersize = <A> . dropna ( )
そこで、マーカーの種類の色として赤紫を使用する	markerfacecolor = 'magenta'	markerfacecolor = 'magenta'
<B> というエクセルファイルの <C> を読み込んで、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = <C> )	hidden_layer_sizes = pd . read_excel ( <B> , sheet_name = <C> )
<A> 内の欠損を含む行を削除する	<A> . dropna ( )	df . dropna ( )
<A> についてダミー変数を作り、 <A> とする	<A> = pd . get_dummies ( <A> )	color = pd . get_dummies ( <A> )
<B> 番目の列を位置に、 <A> を読む	pd . read_csv ( <A> , index_col = <B> )	<A> = pd . read_csv ( <B> )
<B> 中の欠損値がある行をドロップし、 <A> にする	<A> = <B> . dropna ( )	= <B> . dropna ( )
そこで、マーカーの形状としてダイヤモンドを使用する	marker = 'D'	marker = 'D'
そこで、色はネイビーを使う	color = 'navy'	start = 'navy'
<B> 中の NaN を <C> に置換して、 <A> とする	<A> = <B> . fillna ( <C> )	<A> = <B> . fillna ( <C> )
<A> の未記入の値を平均値で穴埋めする	<A> . fillna ( <A> . mean ( ) )	) . fillna ( <A> . mean ( ) )
そこで、マーカーの形状として六角形を用いる	marker = 'h'	marker = 'h'
同じ軸で <A> の <B> と <C> と <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	[ <A> [ <B> ] . boxplot ( [ <C> ] , <A> [ <D> ] ] ] ] )
そこで、マーカーの形状を菱形とする	marker = 'D'	marker = 'D'
<A> の未記入の値の合計を求める	<A> . isnull ( ) . sum ( )	df . isnull ( ) . sum ( )
そこで、目印の色は青色を用いる	markerfacecolor = 'blue'	color = 'blue'
<A> と <B> を大から小へとする	df . sort_values ( [ <A> , <B> ] , ascending = False )	max_iter = df . sort_values ( <A> )
<A> のインデックスを軸に昇順でソートを <A> にする	<A> = <A> . sort_index ( )	df = <A> . sort_index ( )
CSV ファイル <A> を表データとして読む	pd . read_csv ( <A> )	pd . read_csv ( <A> )
<A> のインデックスを軸に昇順でソート	<A> . sort_index ( )	df . sort_index ( )
ビン数を <D> として、 <B> の <C> をビン分割し、 <A> にする	<A> = pd . cut ( <B> [ <C> ] , <D> )	sns = pd . cut ( <A> [ <B> ] , <C> )
同じ軸で <A> の <B> と <A> の <C> と <A> の <D> を箱髭図で描く	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	pd . boxplot [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] ] )
<A> の <B> を昇順に並び替えて、 <A> とする	<A> = <A> . sort_values ( <B> )	<A> = <A> . sort_values ( <B> )
<A> 中のそれぞれのカラムにある <B> の個数を見る	<A> . isin ( [ <B> ] ) . sum ( )	isin . isin ( [ <B> ] ) . sum ( )
重複した最後の行を残して <A> ( データフレーム ) 中の重複した行を落として、再代入する	<A> = <A> . drop_duplicates ( keep = False )	df = <A> . drop_duplicates ( keep = False )
<B> 中に存在する <C> を欠損に置換し、 <A> にする	<A> = <B> . replace ( <C> , np . nan )	df = <B> . replace ( <C> , np . nan )
エクセルファイル <A> の <B> のシートを表データに格納する	pd . read_excel ( <A> , sheet_name = <B> )	pd . read_excel ( <A> , sheet_name = <B> )
そこで、目印の輪郭色としてマゼンタを使用する	markeredgecolor = 'magenta'	markeredgecolor = 'magenta'
エクセルデータ <B> をデータフレームに格納して、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = None )	df = pd . read_excel ( <B> )
<A> と <B> に重複はあるかどうか確認	df . duplicated ( subset = [ <A> , <B> ] )	. duplicated ( subset = [ <A> , <B> ] )
<A> の数値データ以外の要約統計量を見る	<A> . describe ( include = 'O' )	df . describe ( include = 'O' )
<A> に重複は存在するのか表示してみる	df . duplicated ( subset = <A> )	pd . duplicated ( <A> )
<A> の位置をソートして、インプレースする	<A> . sort_index ( inplace = True )	df . sort_index ( inplace = True )
<B> の <C> と <D> をドロップし、 <A> とする	<A> = <B> . drop ( [ <C> , <D> ] , axis = 1 )	= <B> . drop ( [ <C> , <D> ] , axis = 1 )
<A> という名前のエクセルデータの <B> のシートをデータフレームとして読み込む	pd . read_excel ( <A> , sheet_name = <B> )	pd . read_excel ( <A> , sheet_name = <B> )
x 軸に <A> という軸ラベルをつける	plt . xlabel ( <A> )	plt . xlabel ( <A> )
そこで、色として黄色を使用する	color = 'yellow'	color = 'yellow'
そこで、 <A> をする	encoding = <A>	bins = <A>
<A> の中の NaN をドロップして、再代入する	<A> = <A> . dropna ( )	= <A> . dropna ( )
<A> 中の未入力の値がある行を落とす	<A> . dropna ( )	df . dropna ( )
<B> を <C> をコラム名として表データにし、 <A> にする	<A> = pd . DataFrame ( <B> , columns = <C> )	df = pd . DataFrame ( <B> , columns = <C> )
<B> を小から大へと並び替え、 <A> にする	<A> = <A> . sort_values ( <B> )	<A> = <A> . sort_values ( <B> )
<A> と <B> を折れ線グラフでプロットする	plt . plot ( <A> , <B> )	kind = <A> . plot ( <B> )
<A> の <B> 行目をドロップする	<A> . drop ( <B> )	<B> . drop ( <A> , axis = 1 )
そこで、文字コードとして <A> を使用する	encoding = <A>	bins = <A>
カンマ区切りで CSV ファイル <B> を読んで、 <A> にする	<A> = pd . read_csv ( <B> , sep = ',' )	df = pd . read_csv ( <A> , sep = <B> )
そこで、マーカーの形状は六角形を使う	marker = 'h'	marker = 'h'
<A> の <C> の秒を  <A> [ <B> ] とする	<A> [ <B> ] = <A> [ <C> ] . dt . second	plt . <A> [ <B> ] = <A> [ <C> ] . dt . hour
<A> の中に重複はあるのかどうか確認を調べる	<A> . duplicated ( )	pd . duplicated ( <A> )
<A> の NaN が存在する行を消し、 <A> にする	<A> = <A> . dropna ( )	start = <A> . dropna ( )
左側のデータの位置と右側のデータの <B> をキーとして 2 つのデータを一つにまとめ、 <A> にする	<A> = pd . merge ( df1 , df2 , left_index = True , right_on = <B> )	pd . merge ( df1 , df2 , left_index = True , right_on = <B> )
<A> 中に重複があるのか見る	<A> . duplicated ( )	df . duplicated ( subset = <A> )
そこで、最適化手法は SDG を使う	solver = 'sgd'	kind = 'sgd'
<A> の円グラフを描写する	plt . pie ( <A> )	plt . pie ( <A> )
<A> の中の重複している値がある行をドロップし、 <A> とする	<A> = <A> . drop_duplicates ( )	start = <A> . drop_duplicates ( )
カンマ区切りでデータフレームを <B> から読み込んで、 <A> に代入する	<A> = pd . read_csv ( <B> , sep = ',' )	= pd . read_csv ( <A> , sep = <B> )
