分割数を <C> 、ビンの名前を整数値として、 <A> の <B> を分割する	pd . cut ( <A> [ <B> ] , <C> , label = False )	markersize = pd . cut ( <A> [ <B> ] , <C> , label = False )
<A> の重複する行数の合計	<A> . duplicated ( ) . sum ( )	. duplicated ( ) . sum ( )
<B> を <C> 区切りで読み、 <A> とする	<A> = pd . read_csv ( <B> , sep = <C> )	df = pd . read_csv ( <B> , sep = <C> )
<A> の位置を軸に並び替え、置き換える	<A> = <A> . sort_index ( )	df = <A> . sort_index ( )
重複した最後の行を残して <A> ( データフレーム ) 内の重複している行を消し、 <A> とする	<A> = <A> . drop_duplicates ( keep = False )	start = <A> . drop_duplicates ( keep = False )
データフレーム ( <A> ) をグループ毎に繰り返し	for i , df in enumerate ( <A> . groupby ( 'label' ) ) :	for i , df in enumerate ( <A> . groupby ( ) ) ) :
重複した最後の行を残して <B> ( データフレーム ) 内の重複している行を削除を <A> とする	<A> = <B> . drop_duplicates ( keep = False )	df = <B> . drop_duplicates ( keep = False )
<A> の <B> が <C> 以下データを得る	<A> [ <A> [ <B> ] <= <C> ]	pd <A> [ <A> [ <B> ] == <C> ]
そこで、マーカーの種類の色を赤とする	markerfacecolor = 'red'	markersize = 'red'
<B> 中の重複する値がある行を削除して、 <A> にする	<A> = <B> . drop_duplicates ( )	= <B> . drop_duplicates ( )
<A> の中の NaN がある行を削除して、再代入する	<A> = <A> . dropna ( )	markersize = <A> . dropna ( )
<B> というエクセルファイルの <C> を読み込んで、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = <C> )	hidden_layer_sizes = pd . read_excel ( <B> , sheet_name = <C> )
<A> 内の欠損を含む行を削除する	<A> . dropna ( )	df . dropna ( )
<A> についてダミー変数を作り、 <A> とする	<A> = pd . get_dummies ( <A> )	color = pd . get_dummies ( <A> )
<B> 番目の列を位置に、 <A> を読む	pd . read_csv ( <A> , index_col = <B> )	<A> = pd . read_csv ( <B> )
<B> 中の欠損値がある行をドロップし、 <A> にする	<A> = <B> . dropna ( )	= <B> . dropna ( )
そこで、色はネイビーを使う	color = 'navy'	start = 'navy'
<A> の未記入の値を平均値で穴埋めする	<A> . fillna ( <A> . mean ( ) )	) . fillna ( <A> . mean ( ) )
同じ軸で <A> の <B> と <C> と <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	[ <A> [ <B> ] . boxplot ( [ <C> ] , <A> [ <D> ] ] ] ] )
<A> の未記入の値の合計を求める	<A> . isnull ( ) . sum ( )	df . isnull ( ) . sum ( )
そこで、目印の色は青色を用いる	markerfacecolor = 'blue'	color = 'blue'
<A> と <B> を大から小へとする	df . sort_values ( [ <A> , <B> ] , ascending = False )	max_iter = df . sort_values ( <A> )
<A> のインデックスを軸に昇順でソートを <A> にする	<A> = <A> . sort_index ( )	df = <A> . sort_index ( )
<A> のインデックスを軸に昇順でソート	<A> . sort_index ( )	df . sort_index ( )
ビン数を <D> として、 <B> の <C> をビン分割し、 <A> にする	<A> = pd . cut ( <B> [ <C> ] , <D> )	sns = pd . cut ( <A> [ <B> ] , <C> )
同じ軸で <A> の <B> と <A> の <C> と <A> の <D> を箱髭図で描く	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	pd . boxplot [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] ] )
<A> 中のそれぞれのカラムにある <B> の個数を見る	<A> . isin ( [ <B> ] ) . sum ( )	isin . isin ( [ <B> ] ) . sum ( )
重複した最後の行を残して <A> ( データフレーム ) 中の重複した行を落として、再代入する	<A> = <A> . drop_duplicates ( keep = False )	df = <A> . drop_duplicates ( keep = False )
<B> 中に存在する <C> を欠損に置換し、 <A> にする	<A> = <B> . replace ( <C> , np . nan )	df = <B> . replace ( <C> , np . nan )
エクセルデータ <B> をデータフレームに格納して、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = None )	df = pd . read_excel ( <B> )
<A> と <B> に重複はあるかどうか確認	df . duplicated ( subset = [ <A> , <B> ] )	. duplicated ( subset = [ <A> , <B> ] )
<A> の数値データ以外の要約統計量を見る	<A> . describe ( include = 'O' )	df . describe ( include = 'O' )
<A> に重複は存在するのか表示してみる	df . duplicated ( subset = <A> )	pd . duplicated ( <A> )
<A> の位置をソートして、インプレースする	<A> . sort_index ( inplace = True )	df . sort_index ( inplace = True )
<B> の <C> と <D> をドロップし、 <A> とする	<A> = <B> . drop ( [ <C> , <D> ] , axis = 1 )	= <B> . drop ( [ <C> , <D> ] , axis = 1 )
そこで、 <A> をする	encoding = <A>	bins = <A>
