source	target	pred
<B> 軸に <C> 、 <D> 軸に <E> と設定した <A> の散布図を描く。	<A> . plot ( kind = 'scatter' , <B> = <C> , <D> = <E> )	 df . plot ( kind = 'scatter' , <A> = <B> , <C> = <D> ) 
<A> の欠損値が含まれている行を抽出し、その列数と行数を確認する	<A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . shape	 <A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . shape 
<A> の列 <B> について、頭から <C> サイズ <D> で移動平均を算出	<A> [ 'temperature_rolling_mean' ] = <A> [ <B> ] . rolling ( <C> = <D> ) . mean ( )	 <A> [ <B> ] = <A> [ <C> ] . rolling ( <D> = <E> ) . mean ( ) 
線形回帰直線を引く	plt . plot ( X , reg . predict ( X ) )	 plt . plot ( <A> ) 
<A> 行 <B> 列のグラフの <A> つ目を指定	plt . subplot ( <A> , <B> , <A> )	 plt . subplot ( <A> , <B> , <B> ) 
横軸を <A> 、縦軸を <B> として、幅 <C> の棒グラフを表示する	plt . bar ( <A> , <B> , align = 'center' , width = <C> )	 plt . plot ( <A> , <B> , color = <C> , <C> ) 
weather 'を軸に' temperature 'の平均値を求める。	df . groupby ( [ 'weather' ] ) [ 'temperature' ] . mean ( )	 df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 
<A> の <B> 行目から 105 行目を表示する	<A> [ <B> : 106 ]	 <A> [ <B> : 106 ] 
<A> について、列 <B> , 列 <C> の値ごとに 'soldout' の数をカウント	<A> . groupby ( [ <B> , <C> ] ) [ 'sales' ] . sum ( )	 <A> . groupby ( [ <B> ] , <C> ] ) [ <C> ] . count ( ) 
<A> の <B> 行目から 105 行目を抽出する	<A> [ <B> : 106 ]	 <A> [ <B> ] 
student - mat .csv 'を <A> として読み込む	<A> = pd . read_csv ( 'student-mat.csv' )	 <A> = pd . read_csv ( 'student-mat.csv' ) 
グラフのタイトルを <A> とする。	plt . title ( <A> )	 plt . title ( <A> ) 
<A> <B> を参照し、年月日をハイフン区切りの形式に変更する。	<A> <B> = pd . to_datetime ( <A> <B> , format = '%Y-%m-%d' )	 <A> [ <B> ] . value_counts ( ) 
<A> から列 <B> , 列 <C> , 列 <D> , 列 <E> を抽出して、 <A> とする	<A> = <A> [ [ <B> , <C> , <D> , <E> ] ]	 <A> = pd . get_dummies ( df , columns = [ <B> , <C> , <D> , <E> , <F> ] ) 
グラフの色をカラーコードで <C> の色に指定して、 <A> と <B> からグラフをプロットする。	plt . plot ( <A> , <B> , color = <C> )	 plt . plot ( <A> , <B> , color = <C> ) 
ラベルを <C> として、 <A> と <B> の値からプロット	plt . plot ( <A> , <B> , label = <C> )	 plt . plot ( <A> , <B> , <C> ) 
<A> の <B> 列を削除する	<A> . drop ( [ <B> ] , axis = 1 , inplace = True )	 <A> . drop ( [ <B> ] , axis = 1 , inplace =
<A> 軸を <B> として、図のサイズ <D> × <E> 、ビンのサイズ <C> 、透過率 <F> のヒストグラムを表示	df . plot ( kind = 'hist' , <A> = <B>   , bins = <C> , figsize = ( <D> , <E> ) , alpha = <F> )	 plt . plot ( <A> , <B> , color = <C> , <D> = <E> ) 
データ <A> の G1 , G3 について相関行列を算出	np . corrcoef ( [ <A> [ 'G1' ] , <A> [ 'G3' ] ] )	 np . cov ( <A> [ 'G1' ] , <A> [ 'G3' ] ) 
<A> を参照して、列 = [ <B> , <C> , <D> , <E> , <F> ] のダミー変数を生成する。	dummy_df = pd . get_dummies ( <A> , columns = [ <B> , <C> , <D> , <E> , <F> ] )	 <A> . plot ( kind = 'bar' , alpha = <B> , <C> , <D> ) 
列’ temperature ', 列' temperature_rolling_mean ', 列' temperature_pct_change 'の値をサイズ <A> × <B> 、透過度 <C> の折れ線グラフで表示	df . plot ( y = [ 'temperature' , 'temperature_rolling_mean' , 'temperature_pct_change' ] , figsize = ( <A> , <B> ) , alpha = <C> )	 df . dropna ( subset = [ 'temperature_diff' , 'temperature_rolling_mean' , 'temperature_pct_change' ] , axis = 0 , inplace = True ) 
<A> から <B> と <C> をインポート	from <A> import <B> , <C>	 from <A> <B> import <C> 
x 軸に <A> という軸ラベルをつける。	plt . xlabel ( <A> )	 plt . ylabel ( <A> ) 
グラフの x 軸のラベルを <A> とする	plt . xlabel ( <A> )	 plt . ylabel ( <A> ) 
<A> を <B> と名前を付けてインポート	import <A> as <B>	 import <A> as <B> 
プロットを <A> として保存する	plt . savefig ( <A> )	 plt . show ( ) 
<A> のそれぞれの列に対して欠損値の個数をカウントする。	<A> . isnull ( ) . sum ( )	 <A> . isnull ( ) . sum ( ) 
<A> に含まれる欠損値の個数を列ごとに算出	<A> . isnull ( ) . sum ( )	 <A> . isnull ( ) . sum ( ) 
<A> のインデックスを表示	<A> . index	 <A> . index 
<A> の <B> 列と <C> 列の相関を求める	<A> [ [ <B> , <C> ] ] . corr ( )	 <A> [ [ <B> , <C> ] ] . corr ( ) 
temperature 'を参照して1行前の値との差分を算出し、' temperature_diff 'という列に代入する。	df [ 'temperature_diff' ] = df [ 'temperature' ] . diff ( periods = 1 )	 df . dropna ( subset = [ 'temperature_diff' , 'temperature_pct_change' ] , axis = 0 , inplace = True ) 
グラフにグリッドを表示する	plt . grid ( True )	 plt . grid ( True ) 
sales 'の値を二次元グラフにプロットする	df [ 'sales' ] . plot ( )	 plt . plot ( <A> , <B> , label = ) 
<A> の欠損値が含まれている行を抽出し、上 5 行を表示する	<A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . head ( )	 <A> [ <A> . isnull ( ) . head ( ) 
線形回帰のインスタンスを生成し、 <A> とする	<A> = linear_model . LinearRegression ( )	 plt . plot ( <A> ) 
グラフ内に凡例を表示する。	plt . legend ( )	 plt . legend ( ) 
<A> を <B> としてインポート	import <A> as <B>	 import <A> as <B> 
データ <A> の absences についての要約統計量を取得	<A> [ 'absences' ] . describe ( )	 <A> [ 'absences' ] . mode ( ) 
データ <A> の G1 , G3 についての散布図をプロットを <B> として表示	plt . plot ( <A> [ 'G1' ] , <A> [ 'G3' ] , <B> )	 plt . plot ( <A> , <B> , color = [ <C> ] , <D> ) 
