<A> 内のカラム <B> に重複はあるのかを調べる	<A> . duplicated ( subset = <B> )	<D> <A> . duplicated ( subset = <B> )
左側のデータの位置と右側のデータの <D> を項目名として、 <B> と <C> を一つにまとめ、 <A> とする	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	merge <A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )
ビン数を <D> 、ビンのラベルを 0 始まりの連番として、 <B> の <C> をビン分割して、 <A> に代入する	<A> = pd . cut ( <B> [ <C> ] , <D> , label = False )	range = pd . cut ( <B> [ <C> ] , <D> , label = False )
データフレーム <A> の <B> カラムを四分位数ごとで分割する	pd . qcut ( <A> [ <B> ] , 4 )	4 . qcut ( <A> [ <B> ] , 4 )
表データ <A> を表属性 <B> でソートする	<A> . sort_values ( <B> )	sort_values <A> . sort_values ( <B> )
そこで、マーカーの輪郭色として赤を用いる	markeredgecolor = 'red'	markeredgewidth = 'red'
表 <A> の欠損を <B> で埋め、インプレースする	<A> . fillna ( <B> , inplace = True )	X . fillna ( <A> , <B> , inplace = True )
そこで、目印の色として青を用いる	markerfacecolor = 'blue'	'blue' = 'blue'
データフレーム <B> の全ての列で重複している行を削除して、 <A> とする	<A> = <B> . drop_duplicates ( )	X = <B> . drop_duplicates ( )
そこで、色としてグレーを使う	color = 'gray'	markerfacecolor = 'gray'
表 <A> の中の欠損値を直前の行の値で埋める	<A> . fillna ( method = 'ffill' )	method = <A> . fillna ( method = 'ffill' )
<A> を <B> の値でソートして、 <A> とする	<A> = <A> . sort_values ( <B> )	= <A> . sort_values ( <B> )
そこで、マーカーの輪郭色は赤紫を用いる	markeredgecolor = 'magenta'	markeredgewidth = 'magenta'
表データ <A> の <B> と <C> の相関	<A> [ [ <B> , <C> ] ] . corr ( )	[ <A> [ <B> , <C> ] ] . corr ( )
そこで、赤をマーカーの輪郭色とする	markeredgecolor = 'red'	end = 'red'
<B> という列を消して、 <A> にする	<A> = df . drop ( <B> , axis = 1 )	= <A> . drop ( <B> , axis = 1 )
<A> の <B> と <A> データフレームの <C> とデータフレーム <A> の <D> カラムの箱ひげ図を一枚のグラフで作図する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	boxplot plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
表 <A> のコラム <B> の月	<A> [ <B> ] . dt . month	plt . hist ( <A> [ <B> ] )
データフレーム <A> を <B> の値を軸に並び替え、置き換える	<A> = <A> . sort_values ( <B> )	<A> . sort_values ( <B> , inplace = True )
そこで、線として点と線を使う	linestyle = 'dashbot'	'dashbot' = 'dashbot'
表データ <A> 中の未記入の値を削除して、再代入する	<A> = <A> . dropna ( )	= <A> . dropna ( )
<A> の振り直して、元のインデックスを削除して、再代入する	<A> = <A> . reset_index ( drop = True )	reset_index = <A> . reset_index ( drop = True )
<A> の <B> をグループ化して、値ごとのデータ数を求める	<A> . groupby ( <B> ) . size ( )	df1 . groupby ( <A> [ <B> ] ) . size ( )
表 <A> の全ての列で重複している行を取り除き、置き換える	<A> . drop_duplicates ( inplace = True )	= <A> . drop_duplicates ( )
表データ <A> 内の重複した行を削除して、置き換える	<A> = <A> . drop_duplicates ( )	<A> . drop_duplicates ( inplace = True )
<A> をインデックスでソートし、インプレースする	<A> . sort_index ( inplace = True )	<A> = <A> . sort_index ( )
表データ <A> 内の NaN を <B> とし、再代入する	<A> = <A> . fillna ( <B> )	= <A> . fillna ( <B> )
表 <A> 中の表属性 <B> に重複が存在するのか表示する	<A> . duplicated ( subset = <B> )	df . duplicated ( subset = [ <A> , <B> ] )
<A> と <B> を横にマージする	pd . merge ( <A> , <B> )	merge pd . merge ( <A> , <B> )
表 <A> の元の位置を振り直して、置き換える	<A> . reset_index ( drop = True , inplace = True )	reset_index = <A> . reset_index ( drop = True )
表データ <A> の <B> の欠損をカラム <B> の平均値で補完する	<A> [ <B> ] . fillna ( <A> [ <B> ] . mean ( ) )	fillna <A> [ <B> ] . mean ( ) )
表データ <A> の <B> と <C> の相関係数	<A> [ [ <B> , <C> ] ] . corr ( )	[ <A> [ <B> , <C> ] ] . corr ( )
