<A> 内のカラム <B> に重複はあるのかを調べる	<A> . duplicated ( subset = <B> )	plt . duplicated ( subset = <B> )	<A> . duplicated ( subset = <B> )	df . duplicated ( subset = <B> )	<B> <A> . duplicated ( subset = <B> )	if <A> . duplicated ( subset = <B> )
データフレーム <A> 内で重複する行の合計を表示する	<A> . duplicated ( ) . sum ( )	<A> . duplicated ( ) . sum ( )	. duplicated ( ) . sum ( )	for <A> . duplicated ( ) . sum ( )	df . duplicated ( ) . sum ( )	if <A> . duplicated ( ) . sum ( )
同じグラフ内で表データ <A> の <B> と表データ <A> の <C> と <A> の表属性 <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	for plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	boxplot plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	kind = plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] )
データフレーム <A> の NaN を <B> とする	<A> . fillna ( <B> )	<A> . fillna ( <B> )	X . fillna ( <B> )	. fillna ( <A> . <B> )	. fillna ( <B> )	X . fillna ( <A> . <B> )
データフレーム <B> をインデックスに沿ってソートし、 <A> に代入する	<A> = <B> . sort_index ( )	<A> = <B> . sort_index ( )	<B> <A> = <B> . sort_index ( )	df = <B> . sort_index ( )	= <B> . sort_index ( )	range = <B> . sort_index ( )
左側のデータの位置と右側のデータの <D> を項目名として、 <B> と <C> を一つにまとめ、 <A> とする	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	<B> <A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	= pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	, <A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	range = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )
表データ <A> の <B> 行から末尾までを確認する	<A> [ <B> : ]	<A> [ <B> : ]	<B> <A> [ : ]	if <A> [ <B> : ]	range ( <A> , <B> )	range ( <A> [ <B> : ]
同じ軸で <A> <B> と表 <A> <C> 列と <A> <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	sns . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	for plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	boxplot plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	kind = plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] )
CSV ファイル <B> ( ファイル名 ) からカンマ区切りで表を読み、 <A> にする	<A> = pd . read_csv ( <B> , sep = ',' )	<A> = pd . read_csv ( <B> , sep = ',' )	sep = <B> . read_csv ( <A> , sep = ',' )	, <A> = pd . read_csv ( <B> , sep = ',' )	= pd . read_csv ( <A> , sep = <B> )	sep = ','
ビン数を <D> 、ビンのラベルを 0 始まりの連番として、 <B> の <C> をビン分割して、 <A> に代入する	<A> = pd . cut ( <B> [ <C> ] , <D> , label = False )	= pd . cut ( <A> [ <B> ] , <C> , label = <D> )	<A> = pd . cut ( <B> [ <C> ] , <D> , label = False )	range = ( <A> , <B> , <C> , <D> , label = False )	range = ( <B> , <C> , <D> , label = False )	df = pd . cut ( <B> [ <C> ] , <D> , label = False )
<B> というエクセルのシート名 <C> をデータフレームとして読み込んで、 <A> に代入する	<A> = pd . read_excel ( <B> , sheet_name = <C> )	<A> = pd . read_excel ( <B> , sheet_name = <C> )	, <A> = pd . read_excel ( <B> , sheet_name = <C> )	= pd . read_excel ( <A> , sheet_name = <C> )	df = pd . read_excel ( <B> , sheet_name = <C> )	range = pd . read_excel ( <B> , sheet_name = <C> )
データフレーム <A> の <B> カラムを四分位数ごとで分割する	pd . qcut ( <A> [ <B> ] , 4 )	pd . qcut ( <A> [ <B> ] , 4 )	4 pd . qcut ( <A> [ <B> ] , 4 )	for pd . qcut ( <A> [ <B> ] , 4 )	plt . qcut ( <A> [ <B> ] , 4 )	qcut pd . qcut ( <A> [ <B> ] , 4 )
表データ <A> を表属性 <B> でソートする	<A> . sort_values ( <B> )	<A> . sort_values ( <B> )	<B> <A> . sort_values ( <B> )	df . sort_values ( <B> )	for <A> . sort_values ( <B> )	. sort_values ( <A> )
そこで、マーカーの輪郭色として赤を用いる	markeredgecolor = 'red'	activation = 'red'	markeredgewidth = 'red'	markeredgecolor = 'red'	markersize = 'red'	'red'
表 <B> の全ての列で重複している行を取り除いて、 <A> にする	<A> = <B> . drop_duplicates ( )	<B> <A> = <B> . drop_duplicates ( )	X = <B> . drop_duplicates ( )	= <B> . drop_duplicates ( )	<A> = <B> . drop_duplicates ( )	range = <B> . drop_duplicates ( )
そこで、グラフの種類はヒストグラムをする	kind = 'hist'	kind = 'hist'	hist = 'hist'	marker = 'hist'	plt . hist ( kind = 'hist'	'hist'
表 <A> の欠損を <B> で埋め、インプレースする	<A> . fillna ( <B> , inplace = True )	<B> <A> . fillna ( <B> , inplace = True )	<A> . fillna ( <B> , inplace = True )	fillna <A> . fillna ( <B> , inplace = True )	. fillna ( <B> , inplace = True )	<B> <A> = <A> . fillna ( <B> )
<A> の <B> 列をヒストグラムで描画する	plt . hist ( <A> [ <B> ] )	plt . hist ( <A> [ <B> ] )	hist plt . hist ( <A> [ <B> ] )	for plt . hist ( <A> [ <B> ] )	kind plt . hist ( <A> [ <B> ] )	if <A> . plt ( <B> )
そこで、目印の色として青を用いる	markerfacecolor = 'blue'	markerfacecolor = 'blue'	marker = 'blue'	markeredgecolor = 'blue'	markersize = 'blue'	'blue'
<B> という名前のエクセルファイルからデータフレームを読み込み、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = None )	<A> = pd . read_excel ( <B> , sheet_name = None )	df = pd . read_excel ( <B> , sheet_name = None )	= pd . read_excel ( <B> , sheet_name = None )	= pd . read_excel ( <A> , sheet_name = <B> )	, <A> = pd . read_excel ( <B> )
データフレーム <B> の全ての列で重複している行を削除して、 <A> とする	<A> = <B> . drop_duplicates ( )	<B> <A> = <B> . drop_duplicates ( )	X = <B> . drop_duplicates ( )	<A> = <B> . drop_duplicates ( )	= <B> . drop_duplicates ( )	range = <B> . drop_duplicates ( )
そこで、色としてグレーを使う	color = 'gray'	markerfacecolor = 'gray'	color = 'gray'	markeredgecolor = 'gray'	orientation = 'gray'	'gray'
表 <A> の中の欠損値を直前の行の値で埋める	<A> . fillna ( method = 'ffill' )	method = <A> . fillna ( method = 'ffill' )	<B> <A> . fillna ( method = 'ffill' )	<A> . fillna ( method = 'ffill' )	fillna <A> . fillna ( method = 'ffill' )	method = <A> . fillna ( <A> . 'ffill' )
<A> を <B> の値でソートして、 <A> とする	<A> = <A> . sort_values ( <B> )	<A> = <A> . sort_values ( <B> )	sep = <A> . sort_values ( <B> )	<B> <A> = <A> . sort_values ( <B> )	range = <A> . sort_values ( <B> )	= <A> . sort_values ( <B> )
そこで、マーカーの輪郭色は赤紫を用いる	markeredgecolor = 'magenta'	markeredgewidth = 'magenta'	markerfacecolor = 'magenta'	'magenta' = 'magenta'	activation = 'magenta'	markeredgecolor = 'magenta'
<A> の重複した行をドロップして、インプレースする	<A> . drop_duplicates ( inplace = True )	inplace = <A> . drop_duplicates ( )	<A> . drop_duplicates ( inplace = True )	df . drop_duplicates ( inplace = True )	X . drop_duplicates ( inplace = True )	. drop_duplicates ( inplace = True )
表データ <A> の <B> と <C> の相関	<A> [ [ <B> , <C> ] ] . corr ( )	<A> [ [ <B> , <C> ] ] . corr ( )	markerfacecolor [ <A> , <B> , <C> ] ] . corr ( )	marker [ <A> [ <B> , <C> ] ] . corr ( )	[ <A> [ <B> , <C> ] ] . corr ( )	corr [ <A> [ <B> , <C> ] ] . corr ( )
そこで、赤をマーカーの輪郭色とする	markeredgecolor = 'red'	activation = 'red'	markeredgewidth = 'red'	markeredgecolor = 'red'	markersize = 'red'	plot markeredgecolor = 'red'
