<B> 軸に <C> 、 <D> 軸に <E> と設定した <A> の散布図を描く。	<A> . plot ( kind = 'scatter' , <B> = <C> , <D> = <E> )	 df . plot ( kind = 'scatter' , <A> = <B> , <C> = <D> ) 	 df . plot ( kind = 'scatter' , <A> = <B> , <C> = <D> ) 	 df . plot ( kind = 'scatter' , <A> = <B> , <C> = <D> ) 	 plt . plot ( <A> , <B> , color = <C> ) 	 plt . plot ( <A> , <B> , color = <C> ) 
<A> の欠損値が含まれている行を抽出し、その列数と行数を確認する	<A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . shape	 <A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . shape 	 np <A> [ <B> ] = <A> . rolling ( ) . shape 	 np <A> [ <B> ] = <A> . rolling ( ) . shape 	 np <A> [ <B> , <C> ] . head ( ) 	 np <A> [ <B> , ] ] . head ( ) . head ( ) 
<A> の列 <B> について、頭から <C> サイズ <D> で移動平均を算出	<A> [ 'temperature_rolling_mean' ] = <A> [ <B> ] . rolling ( <C> = <D> ) . mean ( )	 <A> [ <B> ] = <A> [ <C> ] . rolling ( <D> = <E> ) . mean ( ) 	 df [ <A> ] = <A> [ <B> ] . rolling ( <C> , <D> ) . mean ( ) 	 <A> [ <B> ] = <A> [ <C> ] . rolling ( <D> = <E> ) . mean ( ) 	 <A> [ <B> ] = <A> [ <C> ] . rolling ( <D> = <E> ) . mean ( ) 	 np <A> [ <B> ] = <A> [ <C> ] . rolling ( <D> = <E> ) . mean ( ) 
線形回帰直線を引く	plt . plot ( X , reg . predict ( X ) )	 <A> . coef_ 	 import <A> as <B> 	 reg . coef_ 	 reg . coef_ ) 	 import <A> ) 
<A> 行 <B> 列のグラフの <A> つ目を指定	plt . subplot ( <A> , <B> , <A> )	 plt . subplot ( <A> , <B> , <A> ) 	 plt . subplot ( <A> , <B> , <A> ) 	 plt . subplot ( <A> , <B> , <A> ) 	 plt . subplot ( <A> , <B> , <B> ) 	 plt . subplot ( <A> , <B> , <B> ) 
横軸を <A> 、縦軸を <B> として、幅 <C> の棒グラフを表示する	plt . bar ( <A> , <B> , align = 'center' , width = <C> )	 plt . plot ( <A> , <B> , color = <C> ) 	 plt . plot ( <A> , <B> , color = <C> ) 	 pivot_monthly_df . plot ( kind = 'bar' , alpha = <B> , figsize = ( <C> , <D> ) ) 	 pivot_monthly_df . plot ( kind = 'bar' , alpha = <B> , figsize = ( <C> , <D> ) ) 	 pivot_monthly_df . plot ( kind = 'bar' , alpha = <B> , figsize = ( <C> , <D> ) ) 
weather 'を軸に' temperature 'の平均値を求める。	df . groupby ( [ 'weather' ] ) [ 'temperature' ] . mean ( )	 df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 	 from df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 	 from df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 	 from df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 	 from df . groupby ( [ 'month' , 'period' ] ) [ 'sales' ] . sum ( ) 
<A> の <B> 行目から 105 行目を表示する	<A> [ <B> : 106 ]	 <A> . head ( <B> ) 	 from <A> [ <B> : 106 ] 	 from <A> [ <B> : 106 ] 	 from <A> [ <B> ] . head ( ) 	 df [ <B> : 106 ] . head ( ) 
<A> について、列 <B> , 列 <C> の値ごとに 'soldout' の数をカウント	<A> . groupby ( [ <B> , <C> ] ) [ 'sales' ] . sum ( )	 <A> . groupby ( [ <B> ] , <C> ] ) [ <C> ] . count ( ) 	 <A> . groupby ( [ <B> , <C> , <D> ] , [ <E> ) [ <E> ) 	 <A> . groupby ( [ <B> , <C> ] , [ <C> ] ) . count ( ) 	 <A> . groupby ( [ <B> ] ) [ <C> , <D> ] . count ( ) 	 <A> . groupby ( [ <B> , <C> , <D> ] , [ <C> ] ] ) . count ( ) 
<A> の <B> 行目から 105 行目を抽出する	<A> [ <B> : 106 ]	 <A> [ <B> : 106 ] 	 <A> [ <B> : 106 ] 	 <A> [ <B> : 106 : 106 ] 	 [ <A> [ <B> : 106 ] . 106 ] 	 from <A> [ <B> : 106 ] 
student - mat .csv 'を <A> として読み込む	<A> = pd . read_csv ( 'student-mat.csv' )	 <A> = pd . read_csv ( 'student-mat.csv' ) 	 <A> = pd . read_csv ( 'student-mat.csv' ) 	 <A> = pd . read_csv ( 'student-mat.csv' ) 	 pd . read_csv ( <A> ) 	 pd . read_csv ( <A> ) 
グラフのタイトルを <A> とする。	plt . title ( <A> )	 plt . title ( <A> ) 	 plt . title ( <A> ) 	 plt . title ( <A> ) 	 plt . title ( <A> ) 	 plt . title ( <A> ) 
<A> <B> を参照し、年月日をハイフン区切りの形式に変更する。	<A> <B> = pd . to_datetime ( <A> <B> , format = '%Y-%m-%d' )	 <A> . index = pd . to_datetime ( <A> . index , format = '%Y-%m-%d' ) 	 pd . DataFrame ( <A> [ <B> ] . mask ( <A> [ <A> ) . head ( ) 	 import <A> [ <A> <B> ] . nan 	 import <A> [ <B> ] > <C> ] 	 import <A> [ <B> ] > <C> ] 
<A> から列 <B> , 列 <C> , 列 <D> , 列 <E> を抽出して、 <A> とする	<A> = <A> [ [ <B> , <C> , <D> , <E> ] ]	 <A> . iloc [ [ <B> , <C> , <D> ] , [ <E> , <C> ] ] 	 <A> . iloc [ [ <B> , <C> , <D> ] = <E> , [ <E> , <C> ] ) 	 <A> . iloc [ [ <B> , <C> , <C> , <D> ] , [ <E> , <C> ] ] 	 df [ <A> , <B> ] ] = <A> = <A> [ <C> , <E> ) . head ( ) 	 pivot_monthly_df <A> [ [ <B> , <C> ] . head ( <D> , [ <E> , <C> ] ] ) 
グラフの色をカラーコードで <C> の色に指定して、 <A> と <B> からグラフをプロットする。	plt . plot ( <A> , <B> , color = <C> )	 plt . plot ( <A> , <B> , color = <C> ) 	 plt . plot ( <A> , <B> , color = <C> ) 	 plt . plot ( <A> , <B> , color = <C> ) 	 plt . plot ( <A> , <B> , color = <C> ) 	 pivot_monthly_df . plot ( kind = 'bar' , alpha = <B> , figsize = ( <C> ) ) 
ラベルを <C> として、 <A> と <B> の値からプロット	plt . plot ( <A> , <B> , label = <C> )	 plt . plot ( <A> , <B> , label = <C> ) 	 plt . plot ( <A> , <B> , label = <C> ) 	 plt . plot ( <A> , <B> , label = <C> ) 	 from plt . plot ( <A> , <B> , label = <C> ) 	 plt . plot ( <A> , <B> , label = <C> ) 
<A> の <B> 列を削除する	<A> . drop ( [ <B> ] , axis = 1 , inplace = True )	N	N	 <A> . drop ( [ <B> , axis = ] ) 	 reg . drop ( [ <B> , axis ] , axis = 1 ) 	 pivot_monthly_df . drop ( [ <B> ] , axis = 1 ) 
