os . kill ( os . getpid ( ) , <A> . SIGUSR1 )	send a <A> signal.SIGUSR1 to the current process
os . getpid ( )	the current process
os . kill ( <A> , <B> . SIGUSR1 )	send a <B> signal.SIGUSR1 to <A>
bytes . fromhex ( <A> ) . decode ( 'utf-8' )	decode a hex string <A> to UTF -8
bytes . fromhex ( <A> ) . decode ( <B> )	decode a hex string <A> to <B>
<A> ( x == <B> [ 0 ] for x <C> <B> )	check if <A> elements <C> list <B> are identical
print ( '%*s : %*s'   % ( <A> , <B> , <A> , <C> ) )	format number of spaces between strings <B> , : and <C> to be <A>
res = { k : v for k , v <A> list ( <B> . items ( ) ) if v is not <C> }	get rid of <C> values <A> dictionary <B>
res = dict ( ( k , v ) for k , v <A> <B> . items ( ) if v is not <C> )	get rid of <C> values <A> dictionary <B>
subprocess . check_output ( <A> , shell = True )	capture final output of a chain of system commands <A>
'' . join ( [ 'a' , 'b' , 'c' ] )	concatenate a list of strings ['a', 'b', 'c']
pd . Series ( list ( set ( <A> ) . intersection ( set ( <B> ) ) ) )	find intersection data between series <A> and series <B>
<A> . send ( 'HTTP/1.0 200 OK\r\n' )	sending http headers to <A>
<A> . send ( <B> )	sending <B> to <A>
then = <A> . datetime . strptime ( <B> , '%Y-%m-%d' ) . date ( )	format a <A> string <B> to extract date only
<A> . split ( '\n' )	split a multi - line string <A> into separate strings
<A> . split ( <B> )	split a multi - line string <A> by new line character <B>
""""" <A> """" . join ( str ( x ) for x in <B> )"	concatenate elements of list <B> by a colon <A>
<A> . objects . filter ( ) [ : 1 ] . get ( )	get the first object from a queryset in django model <A>
a . sum ( axis = 1 )	calculate sum over all rows of 2 D numpy array
<A> . simplefilter ( <B> )	enable <A> using action <B>
print ( <A> . join ( map ( str , <B> ) ) )	concatenate items of list <B> with a space <A>
subprocess . call ( [ 'python.exe' , <A> , <B> ] )	run script <A> with argument <B> on terminal using python executable
<A> = <B> ( <C> . replace ( ',' , '' ) )	convert a string <C> with dot and comma into a <B> number <A>
float ( <A> . replace ( ',' , '' ) )	convert a string <A> with dot and comma into a floating number
sys . path . append ( '/path/to/whatever' )	set pythonpath in python script .
re . split ( <A> , <B> )	split string <B> using a regex <A>
<A> = <B> ( <C> , 'a' )	<B> a <A> <C> in append mode
urllib . request . urlretrieve ( 'http://www.example.com/songs/mp3.mp3' , 'mp3.mp3' )	"download a file ""http://www.example.com/songs/mp3.mp3"" over HTTP and save to ""mp3.mp3"""
r = requests . get ( <A> )	download a file <A> over HTTP
<A> . add_argument ( <B> , <C> = 'version' , <D> = <E> )	argparse add argument with flag <B> and <D> <C> of <E> to <A> <A>
{ i : <A> [ i ] for i in <A> if i != <B> }	remove key <B> from dictionary <A>
pd . merge ( <A> , <B> , on = [ 'key' ] , suffixes = ( <C> , <D> ) )	"create new DataFrame object by merging columns ""key"" of dataframes <A> and <B> and rename the columns from dataframes <A> and <B> with suffix <C> and <D> respectively"
<A> . split ( ' ' , <B> )	split a string <A> by space with <B> splits
<A> ( 'Enter your input:' )	read keyboard - <A>
<A> . run ( <B> = True )	enable <B> mode on Flask application <A>
pickle . dump ( <A> , open ( <B> , 'wb' ) )	python save list <A> to file object <B>
<A> . tensordot ( <B> , <C> , axes = [ 1 , 1 ] ) . swapaxes ( 0 , 1 )	Multiply a matrix <B> with a 3 d tensor <C> in <A>
numpy . zeros ( ( <A> , <A> , <A> ) )	create <A> d array of zeroes of size (3,3,3)
""""" "" "" """" . join ( <A> . split ( ' ' ) [ : -1 ] )"	cut off the last word of a sentence <A>
<A> = np . asarray ( <A> ) . reshape ( 1 , -1 ) [ ( 0 ) , : ]	convert scalar <A> to array
<A> ( <A> ( i ) if isinstance ( i , <B> ) else i for i in <C> )	<A> all elements of nested <B> <C>
struct . unpack ( '!f' , <A> . decode ( 'hex' ) ) [ 0 ]	convert hex string <A> to a float number
<A> . update ( ( x , y * <B> ) <C> x , y <D> list ( <A> . items ( ) ) )	multiple each value by <B> <C> all keys <D> a dictionary <A>
subprocess . call ( <A> , shell = True )	running bash script <A>
""""" <A> """" . join ( <B> )"	join elements of list <B> with a comma <A>
<A> = ',' . join ( map ( str , <A> ) )	make a comma - separated string from a list <A>
<A> ( reversed ( <A> ( range ( <B> ) ) ) )	reverse the <A> that contains 1 to <B>
print ( <A> . replace ( <B> , '' ) )	remove substring <B> from a string <A>
""""" ""."" """" . join ( <A> . split ( <B> ) [ : : -1 ] )"	reverse the order of words , delimited by <B> , in string <A>
datetime . datetime . fromtimestamp ( <A> ) . strftime ( <B> )	convert epoch time represented as milliseconds <A> to string using format <B>
<A> . strftime ( <B> , <A> . gmtime ( 1236472051807 / 1000.0 ) )	parse milliseconds epoch <A> '1236472051807' to format <B>
( datetime . datetime . now ( ) - datetime . timedelta ( <A> = <B> ) ) . date ( )	get the date <B> <A> before the current date
print ( <A> ( row [ <B> ] for row <C> <D> ) )	<A> elements at index <B> of each list <C> list <D>
[ <A> ( row [ i ] for row in <B> ) for i in range ( len ( <B> [ 0 ] ) ) ]	<A> columns of a list <B>
<A> . b64encode ( bytes ( <B> , 'utf-8' ) )	encode binary string <B> to <A> code
dict ( ( k , [ d [ k ] for d <A> <B> ] ) for k <A> <B> [ 0 ] )	combine list of dictionaries <B> with the same keys <A> each list to a single dictionary
{ <A> : [ d [ <A> ] for d in <B> ] for <A> in <B> [ 0 ] }	merge a nested dictionary <B> into a flat dictionary by concatenating nested values with the same key <A>
[ k for k , v <A> <B> ( Counter ( <C> ) . items ( ) ) if v >  1 ]	identify duplicate values <A> <B> <C>
sys . path . insert ( 1 , os . path . join ( os . path . dirname ( <A> ) , <B> ) )	insert directory <B> into directory <A>
<A> <B> . append ( os <B> . join ( os <B> . dirname ( __file__ ) , <C> ) )	modify <A> <B> for python module <C>
"db . execute ( ""inSERT inTO present VALUES('test2', ?, 10)"" , ( None , ) )"	insert a 'None' value into a SQLite3 table .
[ image for menuitem in <A> for image in menuitem ]	flatten list <A>
<A> . extend ( <B> )	append elements of <A> set <B> to <A> list <A>
np . savetxt ( 'c:\\data\\np.txt' , <A> . values , fmt = '%d' )	write the data of dataframe <A> into text file np.txt
<A> . to_csv ( <B> , header = None , index = None , sep = ' ' , mode = 'a' )	write content of DataFrame <A> into text file <B>
print ( <A> . rpartition ( <B> ) [ 0 ] )	split a string <A> by last occurrence of character <B>
print ( x . rsplit ( <A> , 1 ) [ 0 ] )	get the last part of a string before the character <A>
ftp . storlines ( 'STOR '   + filename , open ( filename , 'r' ) )	upload file using FTP
"browser . execute_script ( ""document.getElementById('XYZ').value+='1'"" )"	add one to the hidden web element with id 'XYZ' with selenium python script
np . maximum ( [ 2 , 3 , 4 ] , [ 1 , 5 , 2 ] )	create array containing the maximum value of respective elements of array [2, 3, 4] and array [1, 5, 2]
<A> ( <B> [ <C> : ] + <B> [ : <C> ] )	<A> a list <B> and move first <C> elements to the end of the list
[ int ( 1000 * <A> . random ( ) ) for i in range ( 10000 ) ]	create a <A> list of integers
db . GqlQuery ( <A> , foo . key ( ) )	Google App Engine execute GQL query <A> with parameter foo.key()
df . b . str . contains ( '^f' )	filter rows in pandas starting with alphabet 'f' using regular expression .
<A> ( '\n' . join ( '\t' . join ( str ( col ) for col in row ) for row in <B> ) )	<A> a 2 dimensional list <B> as a table with delimiters
<A> . set_index ( list ( 'BC' ) ) . drop ( tuples , errors = 'ignore' ) . reset_index ( )	pandas : delete rows in dataframe <A> based on multiple columns values
""""" ""({:d} goals, ${:d})"" """" . format ( self . goals , self . penalties )"	format the variables self.goals and self.penalties using string formatting
""""" <A> """" . format ( self . goals , self . penalties )"	format string <A> with variables goals and penalties
""""" <A> """" . format ( self )"	format string <A>
[ int ( '' . join ( str ( d ) for d in x ) ) for x in <A> ]	convert list of lists <A> to list of integers
[ '' . join ( str ( d ) for d <A> x ) for x <A> <B> ]	combine elements of each list <A> list <B> into digits of a single integer
<A> = [ int ( '' . join ( [ str ( y ) for y in x ] ) ) for x in <A> ]	convert a list of lists <A> to list of integers
