while <A> [ -1 ] <  <B> : <blk> <A> . append ( <A> [ -1 ] + <A> [ -2 ] ) </blk>	<A> の末尾要素が <B> 未満の間、 <A> の末尾要素とその次の要素を足して <A> の末尾に追加する
for <A> in <B> : <blk> if <A> % <C> == 0 : <blk> <D> += <A> </blk> </blk>	<B> の各要素を前から順に <A> として、 <A> が <C> でわりきれるなら、 <D> に <A> を足す
for <A> in <B> : <blk> <C> += <A> </blk>	<B> の各要素を順に <A> として、 <C> に <A> を足す
if <A> == <B> : <blk> return [ <C> ] </blk> <sep> else : <blk> while <D> >  <C> : <blk> <E> . append ( <E> [ -1 ] + <E> [ -2 ] ) </blk> </blk>	もし <A> が <B> であれば、 <C> のみからなるリストを返す。そうでなければ、 <D> が <C> より大きい間、 <E> の末尾要素とその次の要素を足して <E> の末尾に追加
if <A> <  <B> <= <C> : <blk> return <D> [ <B> - 1 ] </blk>	もし <B> が <A> より大きく、かつ <C> 以下であるなら、 <D> の <B> -1 番目の要素を返す
else : <blk> <A> = <B> - <C> <sep> while <A> >  <D> : <blk> <E> . append ( <E> [ -1 ] + <E> [ -2 ] ) </blk> </blk>	そうでなければ、 <A> に <B> から <C> を引いた数を代入し、 <A> が <D> より大きい間、 <E> の末尾要素とその次の要素を足して <E> の末尾に追加
while <A> % <B> == 0 : <blk> <A> = <A> / <B> </blk>	<A> が <B> で割り切れる間、 <A> を <B> で割る
while <A> * <A> <  <B> : <blk> <A> = <A> + <C> </blk>	<A> の二乗が <B> 未満の間、 <A> に <C> を足す
for <A> in range ( <B> ) : <blk> <C> *= ( <A> + <D> ) </blk>	<B> 未満の非負整数を小さい方から順に <A> として、 <C> に <A> + <D> を掛ける
for <A> in <B> : <blk> <C> . append ( int ( <A> ) ) </blk>	<B> の各要素を順に <A> として、 <C> の末尾にに <A> の表す整数を追加
for <A> in range ( <B> ) : <blk> <C> *= ( <A> + <D> ) </blk>	<B> 未満の非負整数を小さい方から順に <A> として、 <C> に <A> + <D> を掛ける
for <A> in <B> : <blk> <C> += int ( <A> ) </blk>	<B> の各要素を順に <A> として、 <C> に <A> の表す整数を足す
