while fib[-1] < 4000000: <blk>fib.append(fib[-1] + fib[-2])</blk>	fibの末尾要素が4000000未満の間、fibの末尾要素とその次の要素を足してfibの末尾に追加する
for x in fib: <blk>if x % 2 == 0: <blk>s += x</blk></blk>	fibの各要素を前から順にxとして、xが2でわりきれるなら、sにxを足す
for x in l: <blk>s += x</blk>	lの各要素を順にxとして、sにxを足す
if n == 1: <blk>return [0]</blk>;else: <blk>while a > 0: <blk>fibs.append(fibs[-1] + fibs[-2])</blk></blk>	もしnが1であれば、0のみからなるリストを返す。そうでなければ、aが0より大きい間、fibsの末尾要素とその次の要素を足してfibsの末尾に追加
if 0 < n <= 2: <blk>return fibs[n - 1]</blk>	もしnが0より大きく、かつ2以下であるなら、fibsのn-1番目の要素を返す
else: <blk>a = n - 2;while a > 0: <blk>fibs.append(fibs[-1] + fibs[-2])</blk></blk>	そうでなければ、aにnから2を引いた数を代入し、aが0より大きい間、fibsの末尾要素とその次の要素を足してfibsの末尾に追加
while n % i == 0: <blk>n = n / i</blk>	nがiで割り切れる間、nをiで割る
while i * i < n: <blk>i = i + 1</blk>	iの二乗がn未満の間、iに1を足す
for i in range(100): <blk>fact *= (i + 1)</blk>	100未満の非負整数を小さい方から順にiとして、factにi+1を掛ける
for ch in s: <blk>q.append(int(ch))</blk>	sの各要素を順にchとして、qの末尾ににchの表す整数を追加
for x in range(n): <blk>ret *= (x + 1)</blk>	n未満の非負整数を小さい方から順にxとして、retにx+1を掛ける
for x in q: <blk>s += int(x)</blk>	qの各要素を順にxとして、sにxの表す整数を足す
for y in range(1901, 2001): <blk>for i, day in enumerate(days): <blk>if d % 7 == 6: <blk>sd += 1</blk></blk></blk>	1901以上2001未満の整数を順にyとしてdayをdaysの各要素、iをその番号としたとき、もしdを7で割った余りが6であればsdに1を足す
if (y % 400 == 0 or ((not y % 100 == 0) and y % 4 == 0)) and i == 1: <blk>d += 1</blk>	yが400で割り切れるか、100で割り切れずに4で割り切れ、さらにiが1である場合、dに1を足す
if m <= 2: <blk>m += 12;y -= 1</blk>	もしmが2以下であれば、mに12を足してyから1を引く
if 1582 <= y: <blk>gamma = -2 * int(y / 100) + int( int(y / 100) / 4 )</blk>;else: <blk>gamma = -1 * int(y / 100) + 5</blk>	もしyが1582以上であればgammaにy/100の整数部分の-2倍とy/100の整数部分を4で割った整数部分の和を代入し、そうでなければgammaにyを100で割った整数部分の-1倍に5を足したものを代入
for i in reversed(range(len(tri) - 1)): <blk>for j in range(len(tri[i])): <blk>tri[i][j] += max(tri[i + 1][j], tri[i + 1][j + 1])</blk></blk>	triの長さ-1未満の非負整数を大きい方からi、triのi番目の長さ未満の非負整数を小さい方からjとして、tri[i+1][j]とtri[i+1][j+1]の大きい方をtri[i][j]に足す
if a != 0 and a <= 20: <blk>ret += len(word[a])</blk>;elif a == 0: <blk>ret -= 3</blk>;else: <blk>ret += len(twoword[int(a / 10)]);ret += len(word[a % 10])</blk>	もしaが0でなくて、かつaが20以下であれば、retにwordのa番目の要素の長さを足す。そうでなくて、もしaが0であればretから3を引く。いずれでもなければretにtowordのa/10番目の要素の長さを足し、retにwordのa%10番目の要素の長さを足す
while int(n / 10) > 0: <blk>n /= 10;c += 1</blk>	nを10で割った整数部分が0より大きい間、nを10で割ってcに1を足す
for ch in s: <blk>c += 1</blk>	s内の各要素をchとして、cに1を足す
while c < b: <blk>res *= a</blk>	cがbより小さい間、resにaを掛ける
for i in range(20): <blk>facts[i + 1] = facts[i] * (i + 1)</blk>	20未満の非負整数を小さい方から順にiとして、factsのi+1番目にfactsのi番目とi+1の積を代入
for i in range(n - 2): <blk>ret.insert(i + 1, l[i] + l[i + 1])</blk>	n-2未満の非負整数iを小さい方から順に調べ、retのi+1番目にlのi番目とi+1番目の要素の和を追加する
while n >= N or cl[n] == -1: <blk>b.append(n)</blk>	nがN以上かclのn番目が-1である間、bの末尾にnを追加
if m < N: <blk>cl[m] = l</blk>	もしmがN未満なら、clのm番目をlにする
for i in range(l): <blk>ret.append(n)</blk>	etの末尾にnを追加する処理をl回繰り返す
