while <A> [ -1 ] <  4000000 : <blk> <A> . append ( <A> [ -1 ] + <A> [ -2 ] ) </blk>	<A> の末尾要素が 4000000 未満の間、 <A> の末尾要素とその次の要素を足して <A> の末尾に追加する
for <A> in <B> : <blk> if <A> % 2 == 0 : <blk> <C> += <A> </blk> </blk>	<B> の各要素を前から順に <A> として、 <A> が 2 でわりきれるなら、 <C> に <A> を足す
for <A> in <B> : <blk> <C> += <A> </blk>	<B> の各要素を順に <A> として、 <C> に <A> を足す
if <A> == 1 : <blk> return [ 0 ] </blk> <sep> else : <blk> while <B> >  0 : <blk> <C> . append ( <C> [ -1 ] + <C> [ -2 ] ) </blk> </blk>	もし <A> が 1 であれば、 0 のみからなるリストを返す。そうでなければ、 <B> が 0 より大きい間、 <C> の末尾要素とその次の要素を足して <C> の末尾に追加
if 0 <  <A> <= 2 : <blk> return <B> [ <A> - 1 ] </blk>	もし <A> が 0 より大きく、かつ 2 以下であるなら、 <B> の <A> -1 番目の要素を返す
else : <blk> <A> = <B> - 2 <sep> while <A> >  0 : <blk> <C> . append ( <C> [ -1 ] + <C> [ -2 ] ) </blk> </blk>	そうでなければ、 <A> に <B> から 2 を引いた数を代入し、 <A> が 0 より大きい間、 <C> の末尾要素とその次の要素を足して <C> の末尾に追加
while <A> % <B> == 0 : <blk> <A> = <A> / <B> </blk>	<A> が <B> で割り切れる間、 <A> を <B> で割る
while <A> * <A> <  <B> : <blk> <A> = <A> + 1 </blk>	<A> の二乗が <B> 未満の間、 <A> に 1 を足す
for <A> in range ( 100 ) : <blk> <B> *= ( <A> + 1 ) </blk>	100 未満の非負整数を小さい方から順に <A> として、 <B> に <A> + 1 を掛ける
for <A> in <B> : <blk> <C> . append ( int ( <A> ) ) </blk>	<B> の各要素を順に <A> として、 <C> の末尾にに <A> の表す整数を追加
for <A> in range ( <B> ) : <blk> <C> *= ( <A> + 1 ) </blk>	<B> 未満の非負整数を小さい方から順に <A> として、 <C> に <A> + 1 を掛ける
for <A> in <B> : <blk> <C> += int ( <A> ) </blk>	<B> の各要素を順に <A> として、 <C> に <A> の表す整数を足す
