while fib [ -1 ] <  4000000 : <blk> fib . append ( fib [ -1 ] + fib [ -2 ] ) </blk>	fib の末尾要素が 4000000 未満の間、 fib の末尾要素とその次の要素を足して fib の末尾に追加する
for x in fib : <blk> if x % 2 == 0 : <blk> s += x </blk> </blk>	fib の各要素を前から順に x として、 x が 2 でわりきれるなら、 s に x を足す
for x in l : <blk> s += x </blk>	l の各要素を順に x として、 s に x を足す
if n == 1 : <blk> return [ 0 ] </blk> <sep> else : <blk> while a >  0 : <blk> fibs . append ( fibs [ -1 ] + fibs [ -2 ] ) </blk> </blk>	もし n が 1 であれば、 0 のみからなるリストを返す。そうでなければ、 a が 0 より大きい間、 fibs の末尾要素とその次の要素を足して fibs の末尾に追加
if 0 <  n <= 2 : <blk> return fibs [ n - 1 ] </blk>	もし n が 0 より大きく、かつ 2 以下であるなら、 fibs の n -1 番目の要素を返す
else : <blk> a = n - 2 <sep> while a >  0 : <blk> fibs . append ( fibs [ -1 ] + fibs [ -2 ] ) </blk> </blk>	そうでなければ、 a に n から 2 を引いた数を代入し、 a が 0 より大きい間、 fibs の末尾要素とその次の要素を足して fibs の末尾に追加
while n % i == 0 : <blk> n = n / i </blk>	n が i で割り切れる間、 n を i で割る
while i * i <  n : <blk> i = i + 1 </blk>	i の二乗が n 未満の間、 i に 1 を足す
for i in range ( 100 ) : <blk> fact *= ( i + 1 ) </blk>	100 未満の非負整数を小さい方から順に i として、 fact に i + 1 を掛ける
for ch in s : <blk> q . append ( int ( ch ) ) </blk>	s の各要素を順に ch として、 q の末尾にに ch の表す整数を追加
for x in range ( n ) : <blk> ret *= ( x + 1 ) </blk>	n 未満の非負整数を小さい方から順に x として、 ret に x + 1 を掛ける
for x in q : <blk> s += int ( x ) </blk>	q の各要素を順に x として、 s に x の表す整数を足す
for y in range ( 1901 , 2001 ) : <blk> for i , day in enumerate ( days ) : <blk> if d % 7 == 6 : <blk> sd += 1 </blk> </blk> </blk>	1901 以上 2001 未満の整数を順に y として day を days の各要素、 i をその番号としたとき、もし d を 7 で割った余りが 6 であれば sd に 1 を足す
if ( y % 400 == 0 or ( ( not y % 100 == 0 ) and y % 4 == 0 ) ) and i == 1 : <blk> d += 1 </blk>	y が 400 で割り切れるか、 100 で割り切れずに 4 で割り切れ、さらに i が 1 である場合、 d に 1 を足す
if m <= 2 : <blk> m += 12 <sep> y -= 1 </blk>	もし m が 2 以下であれば、 m に 12 を足して y から 1 を引く
if 1582 <= y : <blk> gamma = -2 * int ( y / 100 ) + int ( int ( y / 100 ) / 4 ) </blk> <sep> else : <blk> gamma = -1 * int ( y / 100 ) + 5 </blk>	もし y が 1582 以上であれば gamma に y / 100 の整数部分の -2 倍と y / 100 の整数部分を 4 で割った整数部分の和を代入し、そうでなければ gamma に y を 100 で割った整数部分の -1 倍に 5 を足したものを代入
for i in reversed ( range ( len ( tri ) - 1 ) ) : <blk> for j in range ( len ( tri [ i ] ) ) : <blk> tri [ i ] [ j ] += max ( tri [ i + 1 ] [ j ] , tri [ i + 1 ] [ j + 1 ] ) </blk> </blk>	tri の長さ -1 未満の非負整数を大きい方から i 、 tri の i 番目の長さ未満の非負整数を小さい方から j として、 tri [ i + 1 ] [ j ] と tri [ i + 1 ] [ j + 1 ] の大きい方を tri [ i ] [ j ] に足す
if a != 0 and a <= 20 : <blk> ret += len ( word [ a ] ) </blk> <sep> elif a == 0 : <blk> ret -= 3 </blk> <sep> else : <blk> ret += len ( twoword [ int ( a / 10 ) ] ) <sep> ret += len ( word [ a % 10 ] ) </blk>	もし a が 0 でなくて、かつ a が 20 以下であれば、 ret に word の a 番目の要素の長さを足す。そうでなくて、もし a が 0 であれば ret から 3 を引く。いずれでもなければ ret に toword の a / 10 番目の要素の長さを足し、 ret に word の a % 10 番目の要素の長さを足す
while int ( n / 10 ) >  0 : <blk> n /= 10 <sep> c += 1 </blk>	n を 10 で割った整数部分が 0 より大きい間、 n を 10 で割って c に 1 を足す
for ch in s : <blk> c += 1 </blk>	s 内の各要素を ch として、 c に 1 を足す
while c <  b : <blk> res *= a </blk>	c が b より小さい間、 res に a を掛ける
