def <A> ( ) :	関数 <A> の定義
<A> = [ <B> , <C> ]	<A> に <B> と <C> からなるリストを代入
while <A> [ -1 ] <  <B> :	<A> の末尾要素が <B> 未満の間繰り返し
<A> . append ( <A> [ -1 ] + <A> [ -2 ] )	<A> の末尾要素とその次の要素を足して <A> の末尾に追加する
<A> = <B>	<A> に <B> を代入
for <A> in <B> :	<B> の各要素を前から順に <A> として
if <A> % <B> == 0 :	<A> が <B> でわりきれるなら
<A> += <B>	<A> に <B> を足す
return <A>	<A> を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
return <A> % <B> == 0	<A> が <B> で割り切れる場合 True 、そうでなければ False を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
return <A> + <B>	<A> と <B> の和を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
<A> = <B>	<A> に <B> を代入
for <A> in <B> :	<B> の各要素を順に <A> として
<A> += <B>	<A> に <B> を足す
return <A>	<A> を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
return sum ( <A> )	<A> の全要素の総和を返す
def euler002_n_fibnocci_sequence ( <A> ) :	<A> を引数とする関数 euler002_n_fibonacci_sequence の定義
<A> = [ <B> , <C> ]	<A> に <B> と <C> からなるリストを代入
<A> = <B> - <C>	<A> に <B> から <C> を引いた数を代入
if <A> == <B> :	もし <A> が <B> であれば
return [ <A> ]	<A> のみからなるリストを返す
else :	そうでなければ
while <A> >  <B> :	<A> が <B> より大きい間
<A> . append ( <A> [ -1 ] + <A> [ -2 ] )	<A> の末尾要素とその次の要素を足して <A> の末尾に追加
<A> -= <B>	<A> から <B> を引く
return <A>	<A> を返す
def euler002_n_fibnocci_number ( <A> ) :	<A> を引数とする関数 euler002_n_fibonacci_number の定義
<A> = [ <B> , <C> ]	<A> に <B> と <C> からなるリストを代入
if <A> <  <B> <= <C> :	もし <B> が <A> より大きく、かつ <C> 以下であるなら
return <A> [ <B> - 1 ]	<A> の <B> -1 番目の要素を返す
else :	そうでなければ
<A> = <B> - <C>	<A> に <B> から <C> を引いた数を代入
while <A> >  <B> :	<A> が <B> より大きい間
<A> . append ( <A> [ -1 ] + <A> [ -2 ] )	<A> の末尾要素とその次の要素を足して <A> の末尾に追加
<A> -= <B>	<A> から <B> を引く
return <A> [ -1 ]	<A> の末尾要素を返す
def <A> ( ) :	関数 <A> の定義
<A> = <B>	<A> に <B> を代入
<A> = <B>	<A> に <B> を代入
while <A> * <A> <  <B> :	<A> の自乗が <B> 未満の間
while <A> % <B> == 0 :	<A> が <B> で割り切れる間
<A> = <A> / <B>	<A> を <B> で割る
<A> = <A> + <B>	<A> に <B> を足す
return int ( <A> )	<A> を整数にした結果を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
return <A> * <A> <  <B>	<A> の自乗が <B> より小さければ True 、そうでなければ False を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
while <A> % <B> == 0 :	<A> が <B> で割り切れる間
<A> /= <B>	<A> を <B> で割る
return int ( <A> )	<A> を整数にした結果を返す
def <A> ( ) :	関数 <A> の定義
<A> = <B>	<A> に <B> を代入
for <A> in range ( <B> , <C> , -1 ) :	<C> より大きく <B> 以下の整数を大きい方から順に <A> として
for <A> in range ( <B> , <C> , -1 ) :	<C> より大きく <B> 以下の整数を大きい方から順に <A> として
<A> = ( str ) ( <B> * <C> )	<A> に <B> と <C> の積の文字列表現を代入
<A> = ""	<A> に空文字列を代入
<A> = ""	<A> に空文字列を代入
<A> = ( int ) ( len ( <B> ) / <C> ) + ( len ( <B> ) % <C> )	<A> に <B> の長さを <C> で割った商と <B> を <C> で割った余りの和を代入
for <A> in range ( <B> ) :	<B> 未満の非負整数を順に <A> として
<A> += <B> [ <C> ]	<A> に <B> の <C> 番目の要素を足す
<A> += <B> [ len ( <B> ) - <C> - 1 ]	<A> に <B> の後ろから <C> 番目の要素を足す
if <A> == <B> :	もし <A> と <B> が等しければ
<A> = max ( <A> , <B> * <C> )	<A> と、 <B> と <C> の積の大きい方を新しい <A> とする
return <A>	<A> を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
<A> = ""	<A> に空文字列を代入
for <A> in range ( <B> ) :	<B> 未満の非負整数を順に <A> として
<A> += <B> [ <C> ]	<A> に <B> の <C> 番目の要素を足す
return <A>	<A> を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
<A> = ""	<A> に空文字列を代入
for <A> in range ( <B> ) :	<B> 未満の非負整数を順に <A> として
<A> += <B> [ len ( <B> ) - 1 - <C> ]	<A> に <B> の後ろから <C> 番目の要素を足す
return <A>	<A> を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
return <A> == <B>	<A> と <B> が等しければ True 、そうでなければ False を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
<A> = ( str ) ( <B> )	<A> に <B> の文字列表現を代入
<A> = len ( <B> )	<A> に <B> の長さを代入
return ( int ) ( <A> / <B> ) + ( <A> % <B> )	<A> を <B> で割った商と s を <B> で割った余りの和を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> を定義
return <A> * <B>	<A> と <B> の積を返す
def <A> ( <B> , <C> ) :	<B> と <C> を引数とする関数 <A> の定義
<A> = <B>	<A> に <B> を代入
for i in range ( <A> ) :	以下の処理を <A> 回繰り返す
<A> += <B>	<A> に <B> を足す
return <A>	<A> を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
<A> = ""	<A> に空文字列を代入
for <A> in reversed ( <B> ) :	<B> の各要素を後ろから順に <A> として
<A> += <B>	<A> に <B> を足す
return <A>	<A> を返す
def <A> ( <B> ) :	<B> を引数とする関数 <A> の定義
<A> = ""	<A> に空文字列を代入
for <A> in reversed ( <B> ) :	<B> の各要素を後ろから順に <A> として
<A> += <B>	<A> に <B> を足す
return <A> == <B>	<A> と <B> が等しければ True 、そうでなければ False を返す
def <A> ( ) :	関数 <A> の定義
<A> = [ ]	<A> に空のリストを代入
for <A> in range ( <B> , <C> ) :	<B> から <C> 未満の整数を順に <A> として
<A> = [ ]	<A> に空リストを代入
for <A> in <B> :	<B> の各要素を <A> として
if <A> % <B> == 0 :	もし <A> が <B> で割り切れるなら
<A> . append ( <B> )	<A> に <B> を追加する
if len ( <A> ) == <B> :	もし <A> の長さが <B> であれば
<A> . append ( <B> )	<A> に <B> を追加する
<A> = <B>	<A> に <B> を代入
for <A> in <B> :	<B> の各要素を <A> として
