def euler002():	関数euler002の定義
fib = [1, 2]	fibに1と2からなるリストを代入
while fib[-1] < 4000000:	fibの末尾要素が4000000未満の間繰り返し
fib.append(fib[-1] + fib[-2])	fibの末尾要素とその次の要素を足してfibの末尾に追加する
s = 0	sに0を代入
for x in fib:	fibの各要素を前から順にxとして
if x % 2 == 0:	xが2でわりきれるなら
s += x	sにxを足す
return s	sを返す
def euler002_divide_2(n):	nを引数とする関数euler002_divide_2の定義
return n % 2 == 0	nが2で割り切れる場合True、そうでなければFalseを返す
def euler002_add_param(a, b):	aとbを引数とする関数euler002_add_paramの定義
return a + b	aとbの和を返す
def euler002_sum_list(l):	lを引数とする関数euler002_sum_listの定義
s = 0	sに0を代入
for x in l:	lの各要素を順にxとして
s += x	sにxを足す
return s	sを返す
def euler002_sum_list_a(l):	lを引数とする関数euler002_sum_list_aの定義
return sum(l)	lの全要素の総和を返す
def euler002_n_fibnocci_sequence(n):	nを引数とする関数euler002_n_fibonacci_sequenceの定義
fibs = [0, 1]	fibsに0と1からなるリストを代入
a = n - 2	aにnから2を引いた数を代入
if n == 1:	もしnが1であれば
return [0]	0のみからなるリストを返す
else:	そうでなければ
while a > 0:	aが0より大きい間
fibs.append(fibs[-1] + fibs[-2])	fibsの末尾要素とその次の要素を足してfibsの末尾に追加
a -= 1	aから1を引く
return fibs	fibsを返す
def euler002_n_fibnocci_number(n):	nを引数とする関数euler002_n_fibonacci_numberの定義
fibs = [0, 1]	fibsに0と1からなるリストを代入
if 0 < n <= 2:	もしnが0より大きく、かつ2以下であるなら
return fibs[n - 1]	fibsのn-1番目の要素を返す
else:	そうでなければ
a = n - 2 	aにnから2を引いた数を代入
while a > 0:	aが0より大きい間
fibs.append(fibs[-1] + fibs[-2])	fibsの末尾要素とその次の要素を足してfibsの末尾に追加
a -= 1	aから1を引く
return fibs[-1]	fibsの末尾要素を返す
def euler003():	関数euler003の定義
n = 600851475143	nに600851475143を代入
i = 2	iに2を代入
while i * i < n:	iの自乗がn未満の間
while n % i == 0:	nがiで割り切れる間
n = n / i	nをiで割る
i = i + 1	iに1を足す
return int(n)	nを整数にした結果を返す
def euler003_n_morethan_square(a, n):	aとnを引数とする関数euler003_n_morethan_squareの定義
return a * a < n	aの自乗がnより小さければTrue、そうでなければFalseを返す
def euler003_n_divide_a(n, a):	nとaを引数とする関数euler003_n_divide_aの定義
while n % a == 0:	nがaで割り切れる間
n /= a	nをaで割る
return int(n)	nを整数にした結果を返す
def euler004():	関数euler004の定義
ans = 0	ansに0を代入
for j in range(999, 99, -1):	99より大きく999以下の整数を大きい方から順にjとして
for i in range(999, 99, -1):	99より大きく999以下の整数を大きい方から順にiとして
s = (str)(j * i)	sにjとiの積の文字列表現を代入
a = ""	aに空文字列を代入
b = ""	bに空文字列を代入
sep = (int)(len(s) / 2) + (len(s) % 2)	sepにsの長さを2で割った商とsを2で割った余りの和を代入
for k in range(sep):	sep未満の非負整数を順にkとして
a += s[k]	aにsのk番目の要素を足す
b += s[len(s) - k - 1]	bにsの後ろからk番目の要素を足す
if a == b:	もしaとbが等しければ
ans = max(ans, i * j)	ansと、iとjの積の大きい方を新しいansとする
return ans	ansを返す
def euler004_n_slice(s, n):	sとnを引数とする関数euler004_n_sliceの定義
ret = ""	retに空文字列を代入
for i in range(n):	n未満の非負整数を順にiとして
ret += s[i]	retにsのi番目の要素を足す
return ret	retを返す
def euler004_n_bslice(s, n):	sとnを引数とする関数euler004_n_bsliceの定義
ret = ""	retに空文字列を代入
for i in range(n):	n未満の非負整数を順にiとして
ret += s[len(s) - 1 - i]	retにsの後ろからi番目の要素を足す
return ret	retを返す
def euler004_is_equal(a, b):	aとbを引数とする関数euler004_is_equalの定義
return a == b	aとbが等しければTrue、そうでなければFalseを返す
def euler004_half_digit(n):	nを引数とする関数euler004_half_digitの定義
s = (str)(n)	sにnの文字列表現を代入
a = len(s)	aにsの長さを代入
return (int)(a / 2) + (a % 2)	aを2で割った商とsを2で割った余りの和を返す
def euler004_multiple(a, b):	aとbを引数とする関数euler004_multipleを定義
return a * b	aとbの積を返す
def euler004_multiple_a(a, b):	aとbを引数とする関数euler004_multiple_aの定義
res = 0	resに0を代入
for i in range(b):	以下の処理をb回繰り返す
res += a	resにaを足す
return res	resを返す
def euler004_string_reverse(s):	sを引数とする関数euler004_string_reverseの定義
ret = ""	retに空文字列を代入
for ch in reversed(s):	sの各要素を後ろから順にchとして
ret += ch	retにchを足す
return ret	retを返す
def euler004_is_palindromic(s):	sを引数とする関数euler004_is_palindromicの定義
rs = ""	rsに空文字列を代入
