start = <A>	そこで、開始は <A> とする
start = <A>	そこで、 <A> から始める
step = <A>	そこで、 <A> を間隔にする
step = <A>	そこで、間隔は <A> にする
encoding = <A>	そこで、エンコーディングは <A> とする
encoding = <A>	そこで、文字コードは <A> とする
encoding = <A>	そこで、 <A> をする
encoding = <A>	そこで、文字コード <A> をする
encoding = <A>	そこで、エンコーディング <A> を使う
encoding = <A>	そこで、エンコーディング <A> を用いる
encoding = <A>	そこで、エンコーディング <A> をする
encoding = <A>	そこで、 <A> を用いる
encoding = <A>	そこで、文字コード <A> を使う
encoding = 'utf-8'	そこで、 UTF8 を用いる
encoding = 'utf-8'	そこで、 UTF8 を使う
encoding = 'utf-8'	そこで、 UTF8 をする
errors = <A>	そこで、エラー処理は <A> とする
errors = <A>	そこで、 <A> をエラー処理ポリシーとする
errors = 'strict'	そこで、エラー処理を厳密にする
errors = 'strict'	そこで、エラー処理は厳密にする
errors = 'ignore'	そこで、エラー処理をしない
errors = 'ignore'	そこで、エラー処理はしない
mode = <A>	そこで、 <A> をモードにする
mode = <A>	そこで、モードは <A> にする
mode = 'b'	そこで、バイナリモードを用いる
mode = 'b'	そこで、バイナリモードをする
mode = 'b'	そこで、バイナリモードを使う
buffering = -1	そこで、バッファリングしない
buffering = <A>	そこで、バッファリングのサイズは <A> にする
sep = <A>	そこで、セパレータは <A> にする
sep = <A>	そこで、区切り記号は <A> にする
sep = <A>	そこで、区切り文字は <A> にする
sep = <A>	そこで、セパレータとして <A> を使う
sep = <A>	そこで、セパレータとして <A> を用いる
sep = <A>	そこで、区切り文字として <A> をする
sep = <A>	そこで、セパレータとして <A> をする
sep = <A>	そこで、区切り記号として <A> を使う
end = ''	そこで、改行しない
end = <A>	そこで、 <A> を改行文字にする
end = <A>	そこで、改行文字は <A> にする
end = <A>	そこで、改行の代わりに <A> を用いる
end = <A>	そこで、改行の代わりに <A> をする
end = <A>	そこで、改行の代わりに <A> を使う
file = <A>	そこで、 <A> を出力先とする
file = <A>	そこで、出力先は <A> とする
file = <A>	そこで、出力先として <A> をする
file = <A>	そこで、出力先として <A> を用いる
flush = False	そこで、フラッシュを行わない
flush = False	そこで、フラッシュは行わない
flush = False	そこで、フラッシュしない
flush = True	そこで、フラッシュを行う
byteorder = 'big'	そこで、バイトオーダーはビックエンディアンとする
byteorder = 'big'	そこで、ビックエンディアンを使う
byteorder = 'big'	そこで、ビックエンディアンをする
byteorder = 'big'	そこで、ビックエンディアンを用いる
byteorder = 'little'	そこで、リトルエンディアンをバイトオーダーとする
byteorder = 'little'	そこで、バイトオーダーはリトルエンディアンとする
byteorder = 'little'	そこで、リトルエンディアンを用いる
byteorder = 'little'	そこで、リトルエンディアンを使う
byteorder = 'little'	そこで、リトルエンディアンをする
fillchar = <A>	そこで、 <A> をパディングとする
fillchar = <A>	そこで、パディングは <A> にする
fillchar = <A>	そこで、パディングは <A> 文字にする
fillchar = <A>	そこで、 <A> で埋める
fillchar = <A>	そこで、文字 <A> で埋める
tabsize = <A>	そこで、空白 <A> 文字分をタブにする
tabsize = <A>	そこで、タブは空白 <A> 文字分とする
<A> = <B>	<A> に <B> を入れる
<A> = <B>	数値 <A> に <B> を代入する
<A> = <B>	数値 <A> に <B> を入れる
<A> = <B>	<A> に <B> を代入する
<A> = <B>	<B> を <A> に代入する
<A> = <B>	<B> を <A> 数値に代入する
<A> = <B>	<B> を数値 <A> に入れる
<A> = <B>	<B> を <A> に入れる
<A> = <B>	<B> を <A> 数値に入れる
<A> = <B>	数値 <A> を <B> とする
<A> = <B>	<A> を <B> とする
<A> = <B>	数値 <A> に <B> を入れる
<A> = <B>	<A> に <B> を入れる
<A> = <B>	<B> を <A> に入れる
<A> = <B>	<B> を <A> 数値に入れる
<A> = <B>	数値 <A> イコール <B>
<A> = <B>	<A> イコール <B>
<A> = <B>	<A> イコール <B> とする
<A> = <B>	数値 <A> イコール <B> とする
<A> ** <B>	<A> の <B> 乗
<A> ** 2	<A> の二乗
<A> ** <B>	<A> の <B> 乗を調べる
<A> ** 2	<A> の二乗を確認する
<A> ** <B>	<A> の <B> 乗を計算する
<A> ** 2	<A> の二乗を算出する
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げ
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げを調べる
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げを求める
( <A> + <B> - 1 ) // <B>	<A> わる <B> を切り上げる
( <A> + <B> - 1 ) // <B>	<A> 割る <B> を切り上げる
( <A> + <B> - 1 ) // <B>	<A> わる <B> の切り上げ
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げ
( <A> + <B> - 1 ) // <B>	<A> わる <B> の切り上げを表示する
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げを調べる
( <A> + <B> - 1 ) // <B>	<A> わる <B> の切り上げを算出する
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げを計算する
<A> % <B>	<A> を <B> で割ったあまり
<A> % <B>	<A> を <B> で割ったあまりを算出する
<A> % <B>	<A> を <B> で割った余りを求める
<A> % <B>	<A> を <B> で割ったあまりを求める
<A> % <B>	<A> を <B> で割った余りを算出する
<A> % <B>	<A> を <B> で割ったあまりを確認する
<A> % <B>	<A> を <B> で割ったあまりを算出する
<A> % <B>	<A> を <B> で剰余を求める
<A> % <B>	<A> を <B> で剰余を算出する
<A> % <B>	<A> を <B> で剰余
<A> % <B>	<A> を <B> で剰余を見る
<A> % <B>	<A> を <B> で剰余を求める
<A> % <B>	<A> と <B> の mod
<A> % <B>	<A> と <B> の mod を求める
<A> % <B>	<A> と <B> の mod を算出する
<A> % <B>	<A> と <B> の mod を表示する
<A> % <B>	<A> と <B> の mod を算出する
<A> % <B>	<A> と <B> の割り算の余りを求める
<A> % <B>	<A> と <B> の割り算のあまりを求める
<A> += <B>	<A> を <B> だけ増加させる
<A> += <B>	<A> に <B> を足して代入する
<A> += <B>	<A> に <B> を足して代入
<A> += <B>	<A> と <B> の値を足して代入する
<A> += <B>	<A> に <A> と <B> の値を足して代入
<A> += <B>	<A> と <B> の値を足して代入
<A> += <B>	<A> に <A> と <B> の値を足して代入する
<A> += <B>	<A> と <B> を足して代入する
<A> += <B>	<A> たす <B> の値を代入する
<A> += <B>	<A> たす <B> の値を <A> に入れる
<A> += <B>	<A> たす <B> の値を入れる
<A> += <B>	<A> たす <B> の値を <A> に代入する
<A> -= <B>	<A> を <B> だけ減少させる
<A> -= <B>	<A> から <B> を引いて代入
<A> -= <B>	<A> から <B> を引いて代入する
<A> -= <B>	<A> から <B> の値を引いて代入する
<A> -= <B>	<A> から <B> の値を引いて代入
<A> -= <B>	<A> と <B> を引いて代入する
<A> -= <B>	<A> と <B> の値を引いて代入する
<A> -= <B>	<A> に <A> と <B> の値を引いて代入
<A> -= <B>	<A> と <B> の値を引いて代入
<A> -= <B>	<A> に <A> と <B> の値を引いて代入する
<A> -= <B>	<A> に <A> と <B> を引いて代入
<A> -= <B>	<A> と <B> を引いて代入
<A> -= <B>	<A> 引く <B> の値を代入する
<A> -= <B>	<A> ひく <B> の値を <A> に代入する
<A> -= <B>	<A> 引く <B> の値を入れる
<A> -= <B>	<A> 引く <B> の値を <A> に入れる
<A> -= <B>	<A> ひく <B> の値を代入する
<A> -= <B>	<A> 引く <B> の値を <A> に代入する
<A> -= <B>	<A> ひく <B> の値を入れる
<A> -= <B>	<A> ひく <B> の値を <A> に入れる
abs ( <A> )	<A> の絶対値
abs ( <A> )	<A> の絶対値を調べる
abs ( <A> )	<A> の絶対値を算出する
math . sqrt ( <A> )	<A> の平方根
math . sqrt ( <A> )	<A> の平方根を確認する
math . sqrt ( <A> )	<A> の平方根を算出する
math . sqrt ( <A> )	<A> のルート
math . sqrt ( <A> )	<A> のルートを確認する
math . sqrt ( <A> )	<A> のルートを求める
math . ciel ( <A> )	<A> の小数点以下切り上げ
math . ciel ( <A> )	<A> の切り上げ
math . ciel ( <A> )	<A> の小数点以下切り上げを調べる
math . ciel ( <A> )	<A> の切り上げを調べる
math . ciel ( <A> )	<A> の小数点以下切り上げを算出する
math . ciel ( <A> )	<A> の切り上げを求める
math . ciel ( <A> )	<A> に最も近い整数に切り上げ
math . ciel ( <A> )	<A> に最も近い整数に切り上げを調べる
math . ciel ( <A> )	<A> に最も近い整数に切り上げを算出する
math . floor ( <A> )	<A> の小数点以下切り捨て
math . floor ( <A> )	<A> の切り捨て
math . floor ( <A> )	<A> の小数点以下切り捨てを確認する
math . floor ( <A> )	<A> の切り捨てを見る
math . floor ( <A> )	<A> の小数点以下切り捨てを求める
math . floor ( <A> )	<A> の切り捨てを算出する
math . floor ( <A> )	<A> に最も近い整数に切り捨て
math . floor ( <A> )	<A> に最も近い整数に切り捨てを見る
math . floor ( <A> )	<A> に最も近い整数に切り捨てを算出する
math . gcd ( <A> , <B> )	<A> と <B> の最大公約数
math . gcd ( <A> , <B> )	<A> と <B> の最大公約数を見る
math . gcd ( <A> , <B> )	<A> と <B> の最大公約数を計算する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のもっとも大きい値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大の値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番大きい値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のもっとも大きい値を調べる
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大の値を調べる
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値を確認する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番大きい値を確認する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のもっとも大きい値を算出する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大の値を計算する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値を計算する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番大きい値を算出する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大値を表示する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大値を求める
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小の値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番小さい値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値を調べる
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小の値を調べる
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番小さい値を確認する
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で値を求める
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小の値を求める
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> のうち ] [ 一番小さい値を計算する
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小値を見る
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小値を計算する
