print ( "Hello World" )	Hello World と出力する
print ( "Hello World" )	Hello World と表示する
print ( "Hello World" )	「こんにちは世界」と表示する
print ( "Hello World" )	「ハローワールド」と表示する
print ( "Hello World" )	「こんにちは世界」と出力する
print ( "Hello World" )	「ハローワールド」と出力する
print ( "Hello World" )	何か動かす
print ( "Hello World" )	試しに何か動かす
print ( "Hello World" )	最初のプログラム
<A> + <B>	<A> 足す <B>
<A> + <B>	<A> に <B> を加算する
<A> + <B>	<A> と <B> の和
<A> + <B> + <C>	<A> 足す <B> 足す <C>
<A> + <B> + <C>	<A> , <B> , <C> の和
<A> -70	<A> から 70 を引く
<A> * <B>	<A> かける <B>
<A> / <B>	<A> を <B> で割る
<A> // <B>	<A> を <B> で割った商
<A> % <B>	<A> を <B> で割った余り
<A> ** <B>	<A> の <B> 乗
abc + <A>	"文字列 ""abc"" と <A> を繋ぐ"
<A> + <B>	<A> と <B> を繋ぐ
<A> + <B>	<A> と <B> を結合する
<A> + <B>	<A> と <B> を連結する
abc + <A>	"文字列 ""abc"" と <A> を結合する"
str ( <A> )	<A> を文字列にする
str ( <A> )	<A> を文字列に変換する
str ( <A> )	<A> を変換した文字列
<A> * <B>	<A> を <B> 回繰り返す
X * <A>	"文字列 ""X"" を <A> 回繰り返す"
x = input ( )	ユーザから入力を得る
<A> = input ( )	ユーザが入力した文字列を <A> とする
x = input ( )	ユーザから入力された文字列
x = input ( )	入力された文字列
"x = input ( ""X"" )"	X というプロンプトを表示し、ユーザに文字列を入力させる
"x = input ( ""X"" )"	X という問い合わせに対し、ユーザから入力を得る
float ( <A> )	<A> を浮動小数点数に変換する
float ( <A> )	<A> を浮動小数点数にする
float ( <A> )	<A> を変換した浮動小数点数
int ( <A> )	<A> を整数にする
int ( <A> )	<A> を整数値にする
int ( <A> )	<A> を数にする
int ( <A> )	<A> を整数値に変換する
int ( <A> )	<A> を整数に変換する
int ( <A> )	<A> を数値に変換する
int ( <A> )	<A> を数に変換する
int ( <A> )	<A> を変換した整数値
int ( <A> )	<A> を変換した整数
int ( <A> )	<A> を変換した数
int ( <A> )	<A> を変換した数値
<A> = int ( input ( ) )	入力された数値を <A> とする
<A> = int ( input ( ) )	入力された数を <A> とする
<A> = int ( input ( ) )	入力された整数を <A> とする
<A> = int ( input ( ) )	ユーザが入力した数値を <A> とする
<A> = int ( input ( ) )	ユーザが入力した数を <A> とする
x = int ( input ( ) )	入力された整数
x = int ( input ( ) )	入力された数
x = int ( input ( ) )	入力された整数値
<A> = float ( input ( ) )	ユーザが入力した浮動小数点数を <A> とする
<A> = float ( input ( ) )	入力された浮動小数点数を <A> とする
x = float ( input ( ) )	入力された浮動小数点数
type ( <A> )	<A> の型
type ( <A> )	<A> のクラス
type ( <A> )	<A> の型を確認する
type ( <A> )	<A> のクラスを調べる
<A> == <B>	<A> と <B> が等しいかどうか
if <A> == <B> :	もし <A> と <B> が等しいならば
<A> != <B>	<A> と <B> が等しくないか否か
if <A> == <B> :	<A> と <B> が等しい場合
if <A> == <B> :	もし <A> と <B> が等しければ
if <A> == <B> :	もし <A> と <B> が等しかったならば
if <A> != <B> :	<A> と <B> が等しければ
if <A> != <B> :	<A> と <B> が等しかったら
while <A> == <B> :	<A> と <B> が等しい間
while <A> != <B> :	<A> と <B> が等しくな間
<A> == <B>	<A> が <B> と等しいかどうか
if <A> == <B> :	もし <A> が <B> と等しいならば
<A> != <B>	<A> が <B> と等しくないか
if <A> == <B> :	<A> が <B> と等しければ
if <A> != <B> :	<A> が <B> と等しくない場合
if <A> != <B> :	もし <A> が <B> と等しくなければ
if <A> != <B> :	<A> が <B> と等しくなかったならば
<A> == <B>	<A> が <B> か否か
if <A> == <B> :	<A> が <B> の場合
<A> != <B>	<A> が <B> でないか
if <A> == <B> :	もし <A> が <B> 場合
if <A> != <B> :	もし <A> が <B> でないとき
while <A> == <B> :	<A> が <B> 間
while <A> != <B> :	<A> が <B> でない間
<A> >  <B>	<A> が <B> より大きいかどうか
if <A> >  <B> :	もし <A> が <B> より大きいならば
not <A> >  <B>	<A> が <B> より大きくないかどうか
if <A> >  <B> :	もし <A> が <B> より大きいならば
if <A> >  <B> :	<A> が <B> より大きければ
if not <A> >  <B> :	<A> が <B> より大きくない場合
if not <A> >  <B> :	もし <A> が <B> より大きくなかった場合
while <A> >  <B> :	<A> が <B> より大きい間
<A> <  <B>	<A> が <B> より小さいか
if <A> <  <B> :	<A> が <B> より小さい場合
not <A> <  <B>	<A> が <B> より小さくないかどうか
if <A> <  <B> :	もし <A> が <B> より小さい場合
if <A> <  <B> :	もし <A> が <B> より小さければ
if not <A> <  <B> :	<A> が <B> より小さくないとき
if not <A> <  <B> :	<A> が <B> より小さくなかったとき
while not <A> <  <B> :	<A> が <B> より小さくない間
<A> >= <B>	<A> が <B> 以上か
if <A> >= <B> :	<A> が <B> 以上の場合
not <A> >= <B>	<A> が <B> 以上でないか
if <A> >= <B> :	<A> が <B> 以上ならば
if not <A> >= <B> :	もし <A> が <B> 以上でないならば
while not <A> >= <B> :	<A> が <B> 以上でない間
<A> <= <B>	<A> が <B> 以降かどうか
if <A> <= <B> :	<A> が <B> 以降の場合
<A> <= <B>	<A> が <B> 以下か否か
if <A> <= <B> :	<A> が <B> 以下ならば
<A> <= <B>	<A> が <B> 次かどうか
if <A> <= <B> :	<A> が <B> 次の場合
