<A> の <B> 番目の <C> 番目が <A> の <D> 番目の <C> 番目と等しいとき、	if <A> [ <B> ] [ <C> ] == <A> [ <D> ] [ <C> ] :	while <A> [ <B> ] [ <C> ] == <A> [ <D> ] [ <C> ] :
<A> が <B> から <C> を引いた値の <D> 乗と等しいとき、	if <A> == ( <B> - <C> ) ** <D> :	while ( <A> == ( <B> - <C> ) ** <D> ) :
<A> が <B> と等しくまたは <A> が <C> から <D> を引いた値と等しくまたは <E> が <B> と等しくまたは <E> が <F> から <D> を引いた値と等しいとき、	if <A> == <B> or <A> == <C> - <D> or <E> == <B> or <E> == <F> - <D> :	yield <A> == <B> or <A> == <C> - <D> or <E> == <B> or <E> == <F> - <D> :
<B> に <C> を掛けた値に <D> を掛けた値に <C> の <D> 乗を加えた値を <A> とする	<A> = <B> * <C> * <D> + <C> ** <D>	else = ( <B> * <C> * <D> ) + <C> ** <D>
<A> ( <B> .join ( <C> [ <D> * <E> : <D> * <E> + <E> ] ) )	<A> ( <B> . join ( <C> [ <D> * <E> : <D> * <E> + <E> ] ) )	<A> ( <B> . join ( <C> [ <D> * <E> : <D> * <E> + <E> ] ) )
辞書を <A> の <B> 番目にする	<A> [ <B> ] = dict ( )	<A> [ <B> ] = dict ( )
<A> の <B> 番目の <C> 番目が、つまり無限大と等しくないとき、  <blk> 最初からもう一度、繰り返す  </blk>	if <A> [ <B> ] [ <C> ] != inf : <blk> continue </blk>	while <A> [ <B> ] [ <C> ] != inf : <blk> continue </blk>
<B> を <A> の <B> 番目の <C> 番目にする	<A> [ <B> ] [ <C> ] = <B>	( <A> [ <B> ] [ <C> ] = <B> )
0 から <G> に <D> を加えた値未満までの数列の各要素を <E> とし、 0 から <C> に <D> を加えた値未満までの数列の各要素を <E> とし、 ( ( <B> ) からなる列の <F> ( <G> + <D> ) の各要素を <E> とし、 ( <C> + <D> ) の列回分の列 ) からなる列の列の列を <A> とする	<A> = [ [ [ [ <B> ] * [ ( <C> + <D> ) for <E> in <F> ( <G> + <D> ) ] ] for <E> in <F> ( <C> + <D> ) ] for <E> in <F> ( <G> + <D> ) ]	( <A> = [ [ [ <B> + <C> ] * [ <D> + <E> ( <F> ) for <D> in range ( <G> ) ] ] for <E> in range ( <F> + <D> ) ] for <E> in <G> + <D> ) ]
<E> の <F> 番目、 <G> の <F> 番目、 <E> の <H> 番目、 <G> の <H> 番目を <A> 、 <B> 、 <C> 、 <D> とする	<A> , <B> , <C> , <D> = <E> [ <F> ] , <G> [ <F> ] , <E> [ <H> ] , <G> [ <H> ]	( <A> , <B> , <C> , <D> = <E> [ <F> ] , <G> [ <F> ] , <E> [ <H> ] , <E> [ <G> ] [ <H> ]
<B> から <C> から <D> を引いた値に <E> を加えた値未満までの数列を順に <A> として、繰り返す	for <A> in range ( <B> , <C> - <D> + <E> ) :	if <A> in range ( <B> , <C> - <D> + <E> ) :
<B> のキーの集まりの集合から <C> を引いた値のリストの先頭を <A> とする	<A> = list ( set ( <B> . keys ( ) ) - <C> ) [ 0 ]	<E> = list ( set ( <B> . keys ( ) ) - <C> ) [ 0 ]
<A> の <B> の <F> 番目の <G> の <E> を <A> の <B> の <C> 番目の <D> の <E> にする	<A> . <B> [ <C> ] . <D> . <E> = <A> . <B> [ <F> ] . <G> . <E>	. <A> . <B> [ <C> ] . <D> . <E> = <A> . <B> [ <F> ] . <G>
<A> の <B> 番目の <C> 番目の <D> 番目の <D> 番目を <E> で割った余りにする	<A> [ <B> ] [ <C> ] [ <D> ] [ <D> ] % = <E>	( ( <A> [ <B> ] [ <C> ] [ <D> ] [ <D> ] ) % <E> )
無限の整数列が <A> より小さいとき、	if count <  <A> :	for <A> , <A> in count :
<A> が <B> より小さくかつ <B> が <C> より小さいとき、  <blk> <D> を出力する  </blk>	if <A> <  <B> and <B> <  <C> : <blk> print ( <D> ) </blk>	while <A> < <B> and <B> < <C> : <blk> print ( <D> ) </blk>
