result_AOJ_TD_error
<A> の <B> から <C> を引いた値番目の <D> 番目が <E> より大きいとき、  <blk> <A> の <B> から <C> を引いた値番目の <D> 番目を <E> とする  </blk>	if <A> [ <B> - <C> ] [ <D> ] >  <E> : <blk> <E> = <A> [ <B> - <C> ] [ <D> ] </blk>	while ( <A> [ <B> - <C> ] [ <D> ] > <E> ) : <blk> <E> = <A> [ <B> - <C> ] [ <D> ] </blk>	0
( <C> ) からなる列の <A> の <D> に <E> を掛けた値回分の列を <A> の <B> にする	<A> . <B> = [ <C> ] * <A> . <D> * <E>	str . <A> . <B> = [ <C> ] * ( <A> . <D> * <E> )	0
( <B> に <C> の <D> 番目を掛けた値に <E> に <F> の先頭を掛けた値を加えた値を <G> で割った値、 <B> に <C> の <B> 番目を掛けた値に <E> に <F> の <B> 番目を掛けた値を加えた値を <G> で割った値 ) の組を <A> とする	"<A> = ( ( <B> * <C> [ <D> ] + <E> * <F> [ <D> ] ) / <G> , ( <B> * <C> [ <B> ] + <E> * <F> [ <B> ] ) / <G> )"	"( <A> = ( <B> * <C> [ <D> ] + <E> * <F> [ <D> ] ) / <G> , ( <B> * <C> [ <B> ] + <E> * <F> [ <B> ] ) / <G> )"	*
<A> の組が <B> に含まれないとき、	if tuple ( <A> ) not in <B> :	yield ( <A> ) not in <B> :	0
ソートされた順序を保ったまま <B> の <C> 番目から <D> を引いた値を <E> から <F> までの範囲で <B> に挿入できる位置に <G> を加えた値を <A> とする	"<A> = bisect_left ( <B> , <B> [ <C> ] - <D> , <E> , <F> ) + <G>"	"<A> = bisect . bisect_left ( <B> [ <C> ] - <D> , <E> - <F> , <B> [ <G> ] + <G> )"	0
<B> から <C> に <B> を加えた値未満までの数列を順に <A> として、繰り返す  <blk> <D> を <A> だけ増加させる  </blk>	"for <A> in range ( <B> , <C> + <B> ) : <blk> <D> += <A> </blk>"	"while <A> , <B> in range ( <C> + <B> ) : <blk> <D> += <A> </blk>"	0
<A> の先頭、 <A> の <D> 番目、 <A> の <B> 番目、 <A> の <E> 番目、 <A> の <C> 番目、 <A> の <F> 番目を <A> の先頭、 <A> の <B> 番目、 <A> の <C> 番目、 <A> の <D> 番目、 <A> の <E> 番目、 <A> の <F> 番目とする	"<A> [ 0 ] , <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] , <A> [ <E> ] , <A> [ <F> ] = <A> [ 0 ] , <A> [ <D> ] , <A> [ <B> ] , <A> [ <E> ] , <A> [ <C> ] , <A> [ <F> ]"	"else , <A> [ 0 ] , <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] , <A> [ <E> ] = <A> [ 0 ] , <A> [ <D> ] , <A> [ <B> ] , <A> [ <E> ] , <A> [ <C> ] , <A> [ <F> ]"	0
0 から <D> 未満までの数列の各要素を <C> とし、 <B> から読み込んだ一行を空白で分割した字句列の各要素に整数を適用した列の列を順に <A> として、繰り返す	"for <A> in ( [ map ( int , <B> . readline ( ) . split ( ) ) for <C> in range ( <D> ) ] ) :"	": for <A> in ( [ map ( int , <B> . readline ( ) . split ( ) ) for <C> in range ( <D> ) ] ) :"	0
<A> の <B> に <C> を加えた値番目が <D> 以下の間、次を繰り返す  <blk> <B> を <C> だけ増加させる  </blk>	while <A> [ <B> + <C> ] <= <D> : <blk> <B> += <C> </blk>	while ( <A> [ <B> + <C> ] <= <D> ) : <blk> <B> += <C> </blk>	1
<C> .get_root ( <D> ) 、 <C> .get_root ( <E> ) を <A> 、 <B> とする	"<A> , <B> = <C> . get_root ( <D> ) , <C> . get_root ( <E> )"	"<E> <A> , <B> = <C> . root ( <D> ) , <C> . get_root ( <E> )"	0
<B> の、つまり先頭から、つまり末尾までの部分列を <A> とする	<A> = <B> [ 0 : ]	( <A> = <B> [ 0 : ] )	*
<A> モジュールを用いる	from <A> import bisect_right	"import <A> , ascii_uppercase"	0
<A> モジュールを用いる	from <A> import stdin	"import <A> , ascii_uppercase"	0
( <B> の先頭、 <B> の <C> 番目 ) からなる列を <A> とする	"<A> = [ <B> [ 0 ] , <B> [ <C> ] ]"	"<E> = [ <B> [ 0 ] , <B> [ <C> ] ]"	0
<A> が、つまり未定値と等しくかつ <B> が <A> より大きいとき、	if <A> is not None and <B> >  <A> :	divmod ( <A> == None and <B> > <A> ) :	0
<A> に <B> を掛けた値に <C> を加えた値が <D> と等しいとき、	if <A> * <B> + <C> == <D> :	divmod ( <A> * <B> + <C> == <D> ) :	0
<B> から <C> 未満までの数列を反転した列を順に <A> として、繰り返す	"for <A> in reversed ( range ( <B> , <C> ) ) :"	"try : for <A> in reversed ( range ( <B> , <C> ) ) :"	0
0 から <B> に <C> を加えた値に <D> を加えた値未満までの数列を順に <A> として、繰り返す	for <A> in range ( <B> + <C> + <D> ) :	<G> for <A> in range ( <B> + <C> + <D> ) :	0
<A> と <B> の論理積の長さを出力する	print ( len ( <A> &  <B> ) )	print ( len ( <A> & <B> ) )	1
"<A> 、 <B> ( <C> | ( <D> << <E> ) , <F> ) に <G> を加えた値の最大値を <A> とする"	"<A> = max ( <A> , <B> ( <C> |  ( <D> << <E> ) , <F> ) + <G> )"	"<B> = max ( <A> , max ( <B> ( <C> | ( <D> << <E> ) , <F> ) + <G> ) )"	0
<A> の <B> 番目の <C> 番目が <D> と等しくまたは <A> の <B> 番目の <E> 番目が <D> と等しくまたは <A> の <B> 番目の <F> 番目が <D> と等しいとき、	if <A> [ <B> ] [ <C> ] == <D> or <A> [ <B> ] [ <E> ] == <D> or <A> [ <B> ] [ <F> ] == <D> :	yield ( <A> [ <B> ] [ <C> ] == <D> ) or ( <A> [ <B> ] [ <E> ] == <D> or <A> [ <B> ] [ <F> ] == <D> ) :	0
( <A> 、 <B> ) からなる列の <B> が <C> の <D> 乗より小さいかどうか番目を出力する	"print ( [ <A>   , <B> ] [ <B> <  <C> ** <D> ] )"	"print ( [ <A> , <B> ] [ <B> < <C> ** <D> ] )"	1
"<B> ( <C> ( <D> ( <E> , <F> ( ) .split ( ) ) ) ) を <A> とする"	"<A> = <B> ( <C> ( <D> ( <E> , <F> ( ) . split ( ) ) ) )"	"<E> <A> = <B> ( <C> ( <D> ( <E> , <F> ( ) . split ( ) ) ) )"	0
"<A> ( <B> ( <C> , <D> ( <E> ) ) ) を返す"	"return <A> ( <B> ( <C> , <D> ( <E> ) ) )"	"yield <A> ( <B> ( <C> , <D> ( <E> ) ) )"	0
( - <B> 、 -1 ) の組を <A> にソート順で最後に挿入する	"insort ( <A> , ( - <B> , - 1 ) )"	"bisect . insort ( <A> , ( <B> - 1 , - <C> ) )"	0
<A> の位置 <C> の <D> から <B> を探して見つかった位置を返す	"return <A> . find ( <B> , <C> . <D> )"	"find return <A> . find ( <B> , <C> . <D> )"	0
入力された文字列を <E> で分割した字句列の各要素を <D> とし、 <D> の整数値の列を展開し、それぞれ <A> 、 <B> 、 <C> とする	"<A> , <B> , <C> = [ int ( <D> ) for <D> in input ( ) . split ( <E>   ) ]"	"1 <A> , <B> , <C> = [ int ( <D> ) for <D> in input ( ) . split ( <E> ) ]"	0
<D> の <E> の <D> の <F> の <G> 番目の先頭番目の <D> の <F> の <G> 番目の <H> 番目番目を展開し、それぞれ <A> 、 <B> 、 <C> とする	"<A> , <B> , <C> = <D> . <E> [ <D> . <F> [ <G> ] [ 0 ] ] [ <D> . <F> [ <G> ] [ <H> ] ]"	"1 <A> , <B> , <C> = <D> . <E> [ <D> . <F> [ <D> . <G> ] [ 0 ] [ <D> . <F> [ <G> ] ] [ <H> ] ]"	0
<B> に <C> から <D> を引いた値を加えた値を <C> から <E> を引いた値で割った余りを <A> とする	<A> = ( <B> + ( <C> - <D> ) ) % ( <C> - <E> )	<A> = ( <B> + ( <C> - <D> ) % ( <C> - <E> ) )	0
<C> の <D> 乗を <A> の <B> 番目にする	<A> [ <B> ] = <C> ** <D>	( <A> [ <B> ] = <C> ** <D> )	*
<A> の <B> から <C> を引いた値番目の整数値が <D> より小さくないとき、	if not int ( <A> [ <B> - <C> ] ) <  <D> :	if not int ( <A> [ <B> - <C> ] ) < <D> :	0
<A> の末尾に ( <B> 、 <C> の <D> 番目の <E> 番目 ) の組を追加する	"<A> . append ( ( <B> , <C> [ <D> ] [ <E> ] ) )"	"append ( <A> . append ( ( <B> , <C> [ <D> ] [ <E> ] ) ) )"	0
