<A> に <A> と <B> の値を足して代入	<A> += <B>	<A> += <B>
利用者が入力した整数データを取得する	int ( input ( ) )	float ( input ( ) )
文字列 <A> を小文字に変換した文字列	<A> . lower ( )	<A> . lower ( )
利用者が入力した整数を半角スペースで区切ってリストとして得、  <A> とする	<A> = list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( map ( int , input ( ) . split ( ) ) )
<A> を <B> で剰余を求める	<A> % <B>	print ( <A> , <B> )
<A> 中の要素の順番を逆転する	<A> [ : : -1 ]	<A> [ : : : -1 ]
ユーザから入力された自然数を半角スペースで区切ってリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	<A> list ( map ( int , input ( ) . split ( ) ) )
<A> と <B> の値を足して代入する	<A> += <B>	<A> += <B>
<A> 中の全ての文字が英大文字のとき	if <A> . isupper ( ) :	if <A> . isupper ( ) :
そこで、出力先として <A> を用いる	file = <A>	print ( <A> , end = '' )
入力をスペース区切りで整数値としてリストで受け取る	list ( map ( int , input ( ) . split ( ) ) )	for list ( map ( int , input ( ) . split ( ) ) )
データを入力する	input ( )	int input ( ) )
<A> と <B> が等しい間	while <A> == <B> :	if <A> == <B> :
<A> が <B> 以下でないか	not <A> <= <B>	not <A> <= <B>
<A> が <B> の倍数間	while <A> % <B> == 0 :	<A> % <B> == 0 :
入力を半角スペースごとに整数としてリストで受け取り、  <A> に代入する	<A> = list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( map ( int , input ( ) . split ( ) ) )
数値 <A> に <B> を代入する	<A> = <B>	sorted ( <A> , <B> )
文字列 <B> の全ての英字を大文字にし、  <A> にする	<A> = <B> . upper ( )	<A> = <B> . upper ( )
<A> の先頭の要素	<A> [ 0 ]	sum ( <A> ) <A> )
<A> 全てが数字か否か	<A> . isdigit ( )	<A> . isdigit ( )
<A> の小数点以下を 5 桁で丸める	print ( '{:.5f}' . format ( <A> ) )	print . format ( <A> ) )
もし <A> が偶数ならば	if <A> % 2 == 0 :	print ( <A> ) :
<A> から <B> の値を引いて代入する	<A> -= <B>	<A> -= <B>
入力を半角スペース区切りで自然数としてリストに格納し、  <A> とする	<A> = list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( map ( int , input ( ) . split ( ) ) )
もし <A> が <B> 以上とき	if <A> >= <B> :	if <A> >= <B> :
<A> の <B> から値を取り出す	<A> . pop ( <B> )	if <A> . pop ( <B> ) :
利用者が入力した文字列を取得して、 <A> とする	<A> = input ( )	sorted ( <A> , input ( ) )
<B> を全て小文字にして、  <A> とする	<A> = <B> . lower ( )	<A> = <B> . lower ( )
入力された自然数を空白で区切ってリストとして得、  <A> に代入する	<A> = list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( map ( int , input ( ) . split ( ) ) )
<A> が奇数のとき	if <A> % 2 == 1 :	print ( <A> ) :
ループを抜け出す	break	break
<A> と <B> が等しいか	<A> == <B>	<A> == <B>
リスト <A> に <B> を追加する	<A> . append ( <B> )	<A> . append ( <B> )
<A> をプリントする	print ( <A> )	sorted ( <A> )
大きい順に <A> を並べた列	sorted ( <A> , reverse = True )	sorted ( <A> , reverse = True )
<A> が <B> 未満、また <C> 以上であったら	if <A> <  <B> or <A> >= <C> :	if <A> < <B> or <A> >= <C> :
もし <A> が英大文字ならば	if <A> . isupper ( ) :	<A> . isupper ( ) :
もし文字列 <A> が <B> で始まれば	if <A> . startswith ( <B> ) :	if <A> . startswith ( <B> ) :
空白ごとに入力された整数を受け取り、 <A> 、 <B> 、 <C> とする	<A> , <B> , <C> = map ( int , input ( ) . split ( ) )	<A> , <B> , <C> = map ( int , input ( ) . split ( ) )
入力された文字列をリストに変換する	list ( input ( ) )	print ( input ( ) )
<A> を英小文字に変換した文字列	<A> . lower ( )	<A> . lower ( )
空のリストを  <A> にする	<A> = [ ]	max ( <A> )
ユーザから入力された数を  <A> とする	<A> = int ( input ( ) )	<A> = int ( input ( ) )
ユーザから入力された整数を  <A> とする	<A> = int ( input ( ) )	<A> = int ( input ( ) )
<A> が数字か	<A> . isdigit ( )	<A> . isdigit ( )
<A> の長さを調べる	len ( <A> )	min ( <A> )
<A> を整列した列	sorted ( <A> )	sorted ( <A> )
<A> 、 <B> 、 <C> の最小値を計算する	min ( <A> , <B> , <C> )	max ( <A> , <B> , <C> )
入力をスペース区切りで整数としてリストで受け取る	list ( map ( int , input ( ) . split ( ) ) )	for list ( map ( int , input ( ) . split ( ) ) )
文字列 <B> を全て小文字にし、  <A> とする	<A> = <B> . lower ( )	<A> = <B> . lower ( )
スペースで区切って入力文字列を受け取り、 <A> 、 <B> 、 <C> とする	<A> , <B> , <C> = input ( ) . split ( )	<A> , <B> , <C> = input ( ) . split ( )
整数値を入力値として受け取り、  <A> にする	<A> = int ( input ( ) )	<A> = int ( input ( ) )
もし <A> 才未満、また <B> 才以上であるならば	if age <  <A> or age >= <B> :	if age < <A> or age >= <B> :
ユーザから入力された文字列をリストに変換し、  <A> とする	<A> = list ( input ( ) )	<A> = list ( input ( ) )
