result_AOJ_BD_error
<A> が <B> より大きかったとき	if not <A> >  <B> :	if <A> > <B> :	0
<A> の個数を調べる	len ( <A> )	sorted ( <A> )	0
<A> が <B> よりも大きいか	<A> >  <B>	<A> > <B>	1
入力された整数を取得する	int ( input ( ) )	<A> int ( input ( ) )	0
<A> が <B> 以降であるでない間	while not <A> <= <B> :	!= not <A> <= <B> :	0
<A> の二乗	<A> ** 2	min <A> ( <B> )	0
入力された数値を半角スペースで区切ってリストとして得る	"list ( map ( int , input ( ) . split ( ) ) )"	"<A> list ( map ( int , input ( ) . split ( ) ) )"	0
<A> を <B> で剰余を求める	<A> % <B>	"print ( <A> , <B> )"	0
数値 <A> に <B> を代入する	<A> = <B>	"sorted ( <A> , <B> )"	0
入力された文字列	input ( )	list ( input ( ) )	0
ユーザから入力された値をリストに変換する	list ( input ( ) )	max ( input ( ) )	0
一行から空白ごとに複数の入力値をリストとして得る	"list ( map ( int , input ( ) . split ( ) ) )"	"<A> list ( map ( int , input ( ) . split ( ) ) )"	0
<B> 以上 <C> 未満の数が並んだリストを  <A> とする	"<A> = [ i for i in range ( <B> , <C> ) ]"	"print ( <A> , <B> , <C> )"	0
数列 <A> の総和を表示する	sum ( <A> )	sorted ( <A> )	0
入力を半角スペース区切りで整数としてリストで受け取る	"list ( map ( int , input ( ) . split ( ) ) )"	"for list ( map ( int , input ( ) . split ( ) ) )"	0
<A> を実数に変換する	float ( <A> )	sorted ( <A> )	0
<A> が <B> より大きい間	while <A> >  <B> :	if <A> > <B> :	0
<A> をプリントする	print ( <A> )	sorted ( <A> )	0
<A> 、 <B> 、 <C> の最小の値を調べる	"min ( <A> , <B> , <C> )"	"max ( <A> , <B> , <C> )"	0
<A> に <B> を代入する	<A> = <B>	"sorted ( <A> , <B> )"	0
利用者が入力した文字列をリストに格納する	list ( input ( ) )	print ( input ( ) )	0
<A> が <B> 未満、また <C> 以上であったら	if <A> <  <B> or <A> >= <C> :	if <A> < <B> or <A> >= <C> :	1
利用者が入力した文字列を取得して、 <A> とする	<A> = input ( )	"sorted ( <A> , input ( ) )"	0
そこで、エラー処理をしない	errors = 'ignore'	'ignore' = errors = errors	0
整数を入力値として得る	int ( input ( ) )	list ( input ( ) )	0
利用者が入力した値をリスト化する	list ( input ( ) )	min ( input ( ) )	0
ユーザから入力された自然数を半角スペースで区切ってリストとして受け取る	"list ( map ( int , input ( ) . split ( ) ) )"	"<A> list ( map ( int , input ( ) . split ( ) ) )"	0
<A> 才未満、または <B> 才以上の場合	if age <  <A> or age >= <B> :	if age < <A> or age >= <B> :	1
<A> 才未満、あるいは <B> 才以上の場合	if age <  <A> or age >= <B> :	if age < <A> or age >= <B> :	1
そこで、区切り文字として <A> をする	sep = <A>	end = <A>	0
<A> に 0 から 9 を代入して、以下の命令を繰り返す	for <A> in range ( 10 ) :	range ( <A> ) :	0
降順に <A> を並べる	"sorted ( <A> , reverse = True )"	"float ( <A> , reverse = True )"	0
入力された値をリストに格納する	list ( input ( ) )	min ( input ( ) )	0
一行から空白で区切って複数の入力値をリストとして得る	"list ( map ( int , input ( ) . split ( ) ) )"	"<A> list ( map ( int , input ( ) . split ( ) ) )"	0
<B> の文字リストを  <A> とする	<A> = list ( <B> )	<A> = list ( input ( ) )	0
<A> の一部分を取り出す	<A> [ start : end ]	<A> [ : end ]	0
<A> 、 <B> 、 <C> の最小値を計算する	"min ( <A> , <B> , <C> )"	"max ( <A> , <B> , <C> )"	0
ユーザが入力した整数を半角スペースで区切ってリストとして得て、  <A> とする	"<A> = list ( map ( int , input ( ) . split ( ) ) )"	"list ( map ( int , <A> , input ( ) . split ( ) ) )"	0
数 <A> の小数点以下 5 桁までをプリントする	print ( '{:.5f}' . format ( <A> ) )	'{:.5f}' . format ( <A> ) )	0
整数値に <A> を変換する	int ( <A> )	sorted ( <A> )	0
<A> の <B> から値を取り出す	<A> . pop ( <B> )	if <A> . pop ( <B> ) :	0
もし <A> が <B> 未満、または <C> 以上ならば	if <A> <  <B> or <A> >= <C> :	if <A> < <B> or <A> >= <C> :	1
