<A> 内のカラム <B> に重複はあるのかを調べる	<A> . duplicated ( subset = <B> )	<D> <A> . duplicated ( subset = <B> )
データフレーム <A> 内で重複する行の合計を表示する	<A> . duplicated ( ) . sum ( )	<A> . duplicated ( ) . sum ( )
同じグラフ内で表データ <A> の <B> と表データ <A> の <C> と <A> の表属性 <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
データフレーム <A> の NaN を <B> とする	<A> . fillna ( <B> )	<A> . fillna ( <B> )
データフレーム <B> をインデックスに沿ってソートし、 <A> に代入する	<A> = <B> . sort_index ( )	<A> = <B> . sort_index ( )
左側のデータの位置と右側のデータの <D> を項目名として、 <B> と <C> を一つにまとめ、 <A> とする	<A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )	merge <A> = pd . merge ( <B> , <C> , left_index = True , right_on = <D> )
表データ <A> の <B> 行から末尾までを確認する	<A> [ <B> : ]	<A> [ <B> : ]
同じ軸で <A> <B> と表 <A> <C> 列と <A> <D> を箱ひげ図で描画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
CSV ファイル <B> ( ファイル名 ) からカンマ区切りで表を読み、 <A> にする	<A> = pd . read_csv ( <B> , sep = ',' )	<A> = pd . read_csv ( <B> , sep = ',' )
ビン数を <D> 、ビンのラベルを 0 始まりの連番として、 <B> の <C> をビン分割して、 <A> に代入する	<A> = pd . cut ( <B> [ <C> ] , <D> , label = False )	range = pd . cut ( <B> [ <C> ] , <D> , label = False )
<B> というエクセルのシート名 <C> をデータフレームとして読み込んで、 <A> に代入する	<A> = pd . read_excel ( <B> , sheet_name = <C> )	<A> = pd . read_excel ( <B> , sheet_name = <C> )
データフレーム <A> の <B> カラムを四分位数ごとで分割する	pd . qcut ( <A> [ <B> ] , 4 )	4 . qcut ( <A> [ <B> ] , 4 )
表データ <A> を表属性 <B> でソートする	<A> . sort_values ( <B> )	sort_values <A> . sort_values ( <B> )
そこで、マーカーの輪郭色として赤を用いる	markeredgecolor = 'red'	markeredgewidth = 'red'
表 <B> の全ての列で重複している行を取り除いて、 <A> にする	<A> = <B> . drop_duplicates ( )	<A> = <B> . drop_duplicates ( )
そこで、グラフの種類はヒストグラムをする	kind = 'hist'	kind = 'hist'
表 <A> の欠損を <B> で埋め、インプレースする	<A> . fillna ( <B> , inplace = True )	X . fillna ( <A> , <B> , inplace = True )
<A> の <B> 列をヒストグラムで描画する	plt . hist ( <A> [ <B> ] )	plt . hist ( <A> [ <B> ] )
そこで、目印の色として青を用いる	markerfacecolor = 'blue'	'blue' = 'blue'
<B> という名前のエクセルファイルからデータフレームを読み込み、 <A> とする	<A> = pd . read_excel ( <B> , sheet_name = None )	<A> = pd . read_excel ( <B> , sheet_name = None )
データフレーム <B> の全ての列で重複している行を削除して、 <A> とする	<A> = <B> . drop_duplicates ( )	X = <B> . drop_duplicates ( )
そこで、色としてグレーを使う	color = 'gray'	markerfacecolor = 'gray'
表 <A> の中の欠損値を直前の行の値で埋める	<A> . fillna ( method = 'ffill' )	method = <A> . fillna ( method = 'ffill' )
<A> を <B> の値でソートして、 <A> とする	<A> = <A> . sort_values ( <B> )	= <A> . sort_values ( <B> )
そこで、マーカーの輪郭色は赤紫を用いる	markeredgecolor = 'magenta'	markeredgewidth = 'magenta'
<A> の重複した行をドロップして、インプレースする	<A> . drop_duplicates ( inplace = True )	<A> . drop_duplicates ( inplace = True )
表データ <A> の <B> と <C> の相関	<A> [ [ <B> , <C> ] ] . corr ( )	[ <A> [ <B> , <C> ] ] . corr ( )
そこで、赤をマーカーの輪郭色とする	markeredgecolor = 'red'	end = 'red'
表データ <A> <B> と表 <A> <C> 表属性と <A> 表属性 <D> の箱ひげ図を一枚のグラフで作画する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
<B> という列を消して、 <A> にする	<A> = df . drop ( <B> , axis = 1 )	= <A> . drop ( <B> , axis = 1 )
<A> の <B> と <A> データフレームの <C> とデータフレーム <A> の <D> カラムの箱ひげ図を一枚のグラフで作図する	plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )	boxplot plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )
そこで、エラー処理を厳密にする	errors = 'strict'	errors = 'strict'
表 <A> のコラム <B> の月	<A> [ <B> ] . dt . month	plt . hist ( <A> [ <B> ] )
表 <A> の最初から <B> 行目まで	<A> [ : <B> ]	<A> [ : <B> ]
