<name4> = <val5>	<name4> に <val5> を代入
<name3> = <val2>	<name3> に <val2> を入れる
<name5> = <val2>	<val2> を <name5> に入れる
<name1> = <val5>	<val5> を <name1> に代入
<name5> = <val6>	<name5> に <val6> を代入する
<name2> = <val4>	<val4> を <name2> に代入する
<name3> = <val1>	<name3> を <val1> とする
<name5> = <val4>	<name5> イコール <val4>
<name3> = <val5>	<name3> イコール <val5> とする
<name6> = <name1>	<name6> に <name1> を代入する
<name1> = <name4>	<name1> に <name4> を代入
<name5> = <name4>	<name5> に <name4> を入れる
<name1> = <name5>	<name5> を <name1> に代入する
<name6> = <name2>	<name2> を <name6> に代入
<name2> = <name5>	<name5> を <name2> に入れる
<name6> = <name3>	<name3> を <name6> に代入する
<name4> = <name1>	<name4> に <name1> を入れる
<name2> = <name5>	<name2> に <name5> を代入する
<name5> = <name6>	<name6> を <name5> に入れる
<name6> = <name2>	<name2> を <name6> に代入
<name6> = <name4>	<name6> に <name4> を代入
<name2> + <name5>	<name2> に <name5> を加えた値
<name4> + <name1>	<name1> を <name4> に加えた値
<name6> + <name4>	<name6> に <name4> を加えた値を計算する
<name5> + <name4>	<name4> を <name5> に加えた値を算出する
<name1> + <name6>	<name1> たす <name6>
<name1> + <name2>	<name1> 足す <name2>
<name6> + <name5>	<name6> プラス <name5>
<name4> + <name5>	<name4> たす <name5> を計算する
<name5> + <name4>	<name5> 足す <name4> を算出する
<name6> + <name5>	<name6> プラス <name5> を計算する
<name1> + <name2>	<name1> と <name2> の和
<name2> + <name4>	<name2> と <name4> の和を算出する
<name1> - <name4>	<name1> から <name4> を引いた値
<name3> - <name1>	<name3> から <name1> を引いた値を求める
<name5> - <name3>	<name5> 引く <name3>
<name4> - <name1>	<name4> マイナス <name1>
<name5> - <name6>	<name5> ひく <name6>
<name4> - <name3>	<name4> マイナス <name3> を算出する
<name2> - <name6>	<name2> ひく <name6> を算出する
<name5> - <name6>	<name5> 引く <name6> を計算する
<name1> - <name5>	<name1> と <name5> の差
<name5> - <name2>	<name5> と <name2> の差を算出する
<name3> * <name5>	<name3> に <name5> をかけた値
<name2> * <name5>	<name5> を <name2> にかけた値
<name3> * <name4>	<name3> に <name4> をかけた値を求める
<name2> * <name1>	<name1> を <name2> にかけた値を算出する
<name1> * <name6>	<name1> かける <name6>
<name2> * <name6>	<name2> 掛ける <name6>
<name2> * <name4>	<name2> 掛ける <name4> を計算する
<name6> * <name5>	<name6> かける <name5> を計算する
<name4> * <name6>	<name4> と <name6> の積
<name5> * <name4>	<name5> と <name4> の積を算出する
<name4> / <name6>	<name4> を <name6> でわった値
<name3> / <name2>	<name3> を <name2> でわった値を計算する
<name1> / <name5>	<name1> 割る <name5>
<name4> / <name1>	<name4> わる <name1>
<name4> / <name1>	<name4> 割る <name1> を計算する
<name4> / <name5>	<name4> わる <name5> を計算する
<name6> / <name1>	<name6> と <name1> の商
<name1> / <name6>	<name1> と <name6> の商を求める
<name4> / <name3>	<name3> 分の <name4>
<name2> / <name1>	<name1> 分の <name2> を求める
<name5> // <name6>	<name5> を <name6> でわった値の整数部分
<name3> // <name2>	<name3> を <name2> でわった値の整数部分を求める
<name2> ** 2	<name2> の二乗
<name1> ** <val3>	<name1> の <val3> 乗
<name6> ** <val4>	<name6> の <val4> 乗を計算する
<name2> ** 2	<name2> の二乗を計算する
<name5> % <name2>	<name5> を <name2> で割ったあまり
<name3> % <name1>	<name3> を <name1> で割った余り
<name4> % <name5>	<name4> を <name5> で割ったあまりを算出する
<name5> % <name4>	<name5> を <name4> で割った余りを算出する
<name4> % <name2>	<name4> を <name2> で剰余
<name5> % <name6>	<name6> で <name5> を剰余
<name5> % <name4>	<name5> を <name4> で剰余を求める
<name6> % <name5>	<name5> で <name6> を剰余を算出する
<name6> % <name2>	<name6> と <name2> の mod
<name5> % <name6>	<name5> と <name6> の mod を算出する
<name2> % <name5>	<name2> と <name5> の割り算の余り
<name2> % <name5>	<name2> と <name5> の割り算のあまり
<name5> % <name6>	<name5> と <name6> の割り算の余りを算出する
<name5> % <name3>	<name5> と <name3> の割り算のあまりを求める
( <name5> + <name4> - 1 ) // <name4>	<name5> を <name4> で割った結果の切り上げ
( <name3> + <name1> - 1 ) // <name1>	<name1> で <name3> を割った結果の切り上げ
( <name3> + <name2> - 1 ) // <name2>	<name3> を <name2> でわった結果の切り上げ
( <name4> + <name2> - 1 ) // <name2>	<name2> で <name4> をわった結果の切り上げ
( <name3> + <name1> - 1 ) // <name1>	<name3> を <name1> で割った結果の切り上げを計算する
( <name4> + <name3> - 1 ) // <name3>	<name4> を <name3> でわった結果の切り上げを算出する
( <name2> + <name3> - 1 ) // <name3>	<name3> で <name2> をわった結果の切り上げを算出する
( <name6> + <name4> - 1 ) // <name4>	<name4> で <name6> を割った結果の切り上げを計算する
( <name4> + <name5> - 1 ) // <name5>	<name4> 割る <name5> を切り上げる
( <name1> + <name4> - 1 ) // <name4>	<name1> わる <name4> を切り上げる
( <name1> + <name5> - 1 ) // <name5>	<name1> わる <name5> の切り上げ
( <name4> + <name3> - 1 ) // <name3>	<name4> 割る <name3> の切り上げ
( <name1> + <name5> - 1 ) // <name5>	<name1> わる <name5> の切り上げを求める
( <name2> + <name1> - 1 ) // <name1>	<name2> 割る <name1> の切り上げを計算する
( <name4> + <name1> - 1 ) // <name1>	<name4> を <name1> でわった値を切り上げる
( <name5> + <name3> - 1 ) // <name3>	<name5> を <name3> で割った値を切り上げる
( <name3> + <name5> - 1 ) // <name5>	割った値を <name3> を <name5> で切り上げる
( <name5> + <name6> - 1 ) // <name6>	わった値を <name6> で <name5> を切り上げる
