<name2> <name6> <name4> <name1>	<name2> <name6> <name4> <name1> into default name space .
<name6> <name5>	<name6> module <name5> .
<name1> <name2> . conf <name6> <name4>	<name1> <name2> .conf <name6> <name4> into default name space .
<name5> <name1> . core <name2> <name4>	<name5> <name1> .core <name2> <name4> into default name space .
<name1> <name3> . core . cache . backends . base <name5> ( <name6> , <name2> , <name4> )	<name1> <name3> .core .cache .backends .base <name5> <name6> , <name2> and <name4> into default name space .
<name6> <name3> . core . exceptions <name1> <name2>	<name6> <name3> .core .exceptions <name1> <name2> into default name space .
<name1> <name5> . utils . deprecation <name2> <name4>	<name1> <name5> .utils .deprecation <name2> <name4> into default name space .
<name5> <name4> . utils . module_loading <name3> <name1>	<name5> <name4> .utils .module_loading <name3> <name1> into default name space .
<name5> = [ <val1>   , <val3>   , <val6>   , <val2>   , 'CacheKeyWarning'   , 'BaseCache'   , ]	<name5> is an list containing 6 elements : <val1> , <val3> , <val6> , <val2> ,
<name5> = <val3>	'CacheKeyWarning' and 'BaseCache' <name5> is a string <val3> .
<name5> <name4> <name3> <name2> <name1> . CACHES :	<name5> <name4> is <name3> contained <name2> <name1> .CACHES ,
<name4> <name2> ( <val6> % <name1> )	<name4> an exception <name2> with string <val6> as argument , with '%s' replaced with <name1> converted into a string .
def <name6> ( <name2> , ** <name3> ) :	define the function <name6> with <name2> and dictionary pair of elements <name3> as arguments .
<name6> . warn ( <val5> , <name3> , stacklevel = 2 )	call the function <name6> .warn with string <val5> , <name3> ,
<name3> = <name5> ( <name2> , ** <name6> )	and stacklevel set to 2 as arguments . call the <name5> with <name2> and dictionary <name6> as arguments , substitute the result for <name3> .
<name4> . request_finished . connect ( <name5> . close )	call the function <name4> .request_finished .connect with argument <name5> .close .
<name4> <name2>	<name4> <name2> .
def <name2> ( <name4> , ** <name6> ) :	define the function <name2> with <name4> and dictionary pair of elements <name6> as arguments .
<name6> :	<name6> ,
<name1> :	<name1> ,
<name1> = <name2> . CACHES [ <name5> ]	substitute value under the <name5> key of <name2> .CACHES dictionary for <name1> .
except <name2> :	if <name2> exception is caught ,
<name5> :	<name5> ,
<name5> ( <name2> )	call the function <name5> with argument <name2> .
except <name5> as <name6> :	if <name5> , renamed to <name6> , exception is caught ,
<name2> <name5> ( <val3> % ( <name1> , <name4> ) )	<name2> and exception <name5> with string <val3> as argument , replace '%s' with <name1> and <name4> , respectively .
<name3> = <name1> . pop ( <val6>   , ''   )	remove <val6> key from <name1> dictionary and put it into <name3> , or use an empty string if key doesnt exists .
<name2> = <name5>	substitute <name5> for <name2> .
else :	if not ,
<name6> = <name5> . copy ( )	call the function <name5> .copy , substitute it for <name6> .
<name2> . update ( <name6> )	call the function <name2> .update with argument <name6> .
<name6> = <name1> . pop ( <val5>   )	remove <val5> key from <name1> dictionary and put it into <name6> .
<name4> = params . pop ( <val6>   , ''   )	remove <val6> key from kwargs dictionary and put it into <name4> , or use an empty string if key doesnt exists .
<name2> = <name3> ( <name5> )	call the <name3> with argument <name5> , substitute it for <name2> .
except <name4> as <name5> :	if <name4> , renamed to <name5> , is caught ,
raise <name6> ( <val3> % ( <name2> , <name5> ) )	aise and exception <name6> with string <val3> as argument , replace '%s' with <name2> and <name5> , respectively .
<name1> <name4> ( <name2> , <name5> )	evaluate the function <name4> with <name2> and <name5> as arguments , <name1> the result .
<name4> <name5> ( <name2> ) :	derive the <name4> <name5> from the <name2> base <name4> .
def <name4> ( <name3> ) :	define the <name4> method with argument <name3> .
<name5> . _caches = <name2> ( )	call the function <name2> , substitute the result for <name5> ._caches .
def <name2> ( <name1> , <name5> ) :	define the <name2> method with <name1> and <name5> arguments .
<name1> :	<name1> ,
<name1> <name6> . _caches . caches [ <name5> ]	<name1> value under the <name5> key of <name6> ._caches .caches dictionary .
<name3> <name5> :	<name3> if <name5> is caught ,
<name5> . _caches . caches = { }	<name5> ._caches .caches is an empty dictionary .
<name5> <name4> :	<name5> if <name4> exception is caught ,
pass	do nothing .
<name3> <name6> <name1> <name2> settings . CACHES :	<name3> <name6> is <name1> contained <name2> setting .CACHES ,
<name6> <name4> ( <val2> % <name3> )	<name6> and exception <name4> with string <val2> as argument , replace '%s' with <name3> .
cache = <name1> ( <name6> )	call the function <name1> with argument <name6> .
<name6> . _caches . caches [ <name4> ] = <name5>	substitute <name5> for value under the <name4> key of <name6> ._caches .caches dictionary .
return <name5>	reuturn <name5> .
def <name3> ( <name2> ) :	define the method <name3> with argument <name2> .
<name6> getattr ( <name5> . _caches , <val2>   , { }  ) . <name3> ( )	get attribute <val2> from the <name5> ._caches if exists , otherwise get an empty dictionary , call the <name3> method on the <name6> value , <name6> it .
<name1> = <name3> ( )	call the <name3> function , substitute the result for <name1> .
<name5> <name4> ( <name1> ) :	derive the <name5> <name4> from the base <name5> <name1> .
def <name2> ( <name4> , <name1> ) :	define the method <name2> with <name4> and <name1> as arguments .
<name4> getattr ( <name2> [ <name3> ] , <name1> )	get attribute <name1> from value under the <name3> key of <name2> dictionary , <name4> it .
def <name2> ( <name6> , <name3> , <name1> ) :	define the method <name2> with <name6> , <name3> and <name1> as arguments .
<name2> setattr ( <name4> [ <name6> ] , <name1> , <name5> )	set the attribute <name1> from <name5> under the <name6> key of <name4> dictionary to <name5> , <name2> it .
def <name6> ( <name4> , <name5> ) :	define the method <name6> with <name4> and <name5> as arguments .
return delattr ( caches [ <name3> ] , <name4> )	delete the attribute <name4> from the cache dictionary under the <name3> key .
def <name6> ( <name4> , <name2> ) :	define the method <name6> with <name4> and <name2> as arguments .
<name2> <name6> <name3> <name1> [ <name4> ]	if <name6> if contained <name3> value under the <name4> <name6> of <name1> dictionary , <name2> boolean True , otherwise <name2> False .
def <name4> ( <name6> , <name1> ) :	define the method <name4> with <name6> and <name1> as arguments .
<name6> <name1> [ <name3> ] == <name4>	if value under the <name3> key of <name1> dictionary equals to <name4> , <name6> boolean True , otherwise <name6> False .
def <name1> ( <name3> , <name6> ) :	define the method <name1> with <name3> and <name6> as arguments .
<name2> <name4> [ <name6> ] != <name5>	if value under the <name6> key of <name4> dictionary is not equal to <name5> , <name2> boolean True , otherwise <name2> False .
<name1> = <name3> ( )	call the <name3> function , substitute it for <name1> .
def <name2> ( ** <name1> ) :	define the function <name2> with dictionary pair of elements <name1> as argument .
<name2> <name1> <name4> <name5> . all ( ) :	<name2> every <name1> <name4> return value of the function <name5> .all .
<name5> . close ( )	call the function <name5> .close .
<name3> . request_finished . connect ( <name5> )	call the function <name3> .request_finished .connect with argument <name5> .
<name4> <name5> <name2> <name1>	<name4> <name5> <name2> <name1> into default name space .
<name6> <name3>	<name6> module <name3> .
<name3> <name4>	<name3> module <name4> .
<name6> <name4> . core . exceptions <name3> <name1> , <name2>	<name6> <name4> .core .exceptions <name3> <name1> and <name2> into default name space .
<name1> <name3> . utils . module_loading <name6> <name2>	<name1> <name3> .utils .module_loading <name6> <name2> into default name space .
<name3> <name6> ( <name1> ) :	derive <name3> <name6> from the <name1> base <name3> .
pass	do nothing .
<name3> <name2> ( <name4> ) :	derive <name3> <name2> from the <name4> base <name3> .
pass	do nothing .
<name3> = <name6> ( )	<name3> is a instance of the class <name6> .
<name6> = <val5>	<name6> is integer <val5> .
def <name1> ( <name3> , <name6> , <name2> ) :	define the function <name1> with 3 arguments , <name3> , <name6> and <name2> .
<name6> '%s:%s:%s'   % ( <name1> , <name3> , <name5> )	convert <name1> , <name3> and <name5> into strings , concatenate them respectively , with character ':' as delimiter , <name6> the result .
def <name4> ( <name5> ) :	define the function <name4> with argument <name5> .
<name6> <name4> <name3> <name1> <name5> :	<name6> <name4> <name3> <name1> of <name5> type ,
<name6> <name3> ( key_func ) :	<name6> key_function is <name3> object ,
<name6> <name1>	<name6> <name1> .
else :	if not ,
<name3> <name4> ( <name5> )	evaluate the function <name4> with <name5> as argument , <name3> the result .
<name4> <name3>	<name4> <name3> .
<name2> <name3> ( <name5> ) :	derive the <name2> <name3> from the <name5> base <name2> .
def <name6> ( <name4> , <name3> ) :	define the initialization function <name6> with <name4> class instance and <name3> as arguments .
<name4> = <name3> . get ( <val5>   , <name3> . get ( <val6>   , <val1> ) )	call the <name3> .get method with string <val6> and integer <val1> as arguments , use the string <val5> and previous result as the arguments for the call to the <name3> .get method , substitute the result for <name4> .
<name6> <name1> <name5> <name4> <name2> :	<name6> <name1> <name5> <name4> <name2> ,
<name1> :	<name1> ,
<name2> = int ( <name2> )	convert <name2> into an integer .
except ( <name1> , <name5> ) :	if <name1> or <name5> exceptions occurred ,
<name5> = <val1>	<name5> is integer <val1> .
<name4> . default_timeout = <name5>	substitute <name5> for <name4> .default_timeout .
<name6> = <name1> . get ( <val3>   , { }  )	call the <name1> .get with string <val3> and empty dictionary as arguments , substitute the result for <name6> .
<name5> = <name1> . get ( <val2>   , <name3> . get ( <val4>   , <val6> ) )	call the <name3> .get method with string <val4> and integer <val6> as arguments , use the string <val2> and previous result as the arguments for the call to the <name1> .get method , substitute the result for <name5> .
<name1> :	<name1> ,
<name3> . _max_entries = int ( <name6> )	convert <name6> into a string , substitute it for <name3> ._max_entries .
except ( <name3> , <name6> ) :	if <name3> or <name6> exceptions occurred ,
<name5> . _max_entries = <val3>	<name5> ._max_entries is integer <val3> .
<name4> = <name2> . get ( <val6>   , <name3> . get ( <val5>   , <val1> ) )	call the <name3> .get method with string <val5> and integer <val1> as arguments , use the string <val6> and previous result as the arguments for the call to the <name2> .get method , substitute the result for <name4> .
<name1> :	<name1> ,
<name5> . _cull_frequency = int ( <name6> )	convert <name6> into an integer and substitute it for <name5> ._cull_frequency .
except ( <name1> , <name6> ) :	if <name1> or <name6> exceptions occurred ,
<name1> . _cull_frequency = <val5>	<name1> ._cull_frequency is integer <val5> .
<name6> . key_prefix = <name1> . get ( <val2>   , ''   )	call the <name1> .get method with string <val2> and an empty string as arguments , substitute the result for <name6> ._key_prefix .
<name4> . version = <name3> . get ( <val2>   , <val5> )	call the <name3> .get method wit string <val2> and integer <val5> as arguments , substitute the result for <name4> .version .
<name3> . key_func = <name1> ( <name4> . get ( <val5>   , <name6> ) )	call the method <name4> .get with 2 arguments , string <val5> and <name6> , use the result as the argument for the call to the function <name1> , substitute the result for the <name3> .key_func .
def <name6> ( <name1> , <name2> = <name5> ) :	define the method <name6> with <name1> class instance and <name2> set to <name5> as arguments ,
<name4> <name6> == <name3> :	<name4> <name6> equals to <name3> ,
<name2> = <name6> . default_timeout	substitute <name6> .default_timeout for <name2> .
elif <name5> == <val1> :	else if <name5> equals to integer <val1> ,
<name1> = - 1	<name1> is a integer -1 .
<name5> <name2> <name4> <name3> <name1> <name2> else <name6> . <name6> ( ) + <name3>	<name4> timeouts <name1> <name2> <name5> <name2> , otherwise <name5> the sum of function <name6> .time <name5> value and <name3> .
def <name2> ( <name6> , <name1> , <name4> = <name5> ) :	define the function <name2> with <name6> class instance , <name1> and <name4> set to <name5> as arguments .
<name6> <name1> <name2> <name4> :	<name6> <name1> <name2> <name4> ,
<name1> = <name4> . <name1>	substitute <name4> .version for <name1> .
<name1> = <name2> . key_func ( <name6> , <name2> . key_prefix , <name4> )	call the method <name2> .key_function with <name6> , <name2> .key_prefix and <name4> as arguments , substitute the result for <name1> .
<name1> <name6>	<name1> <name6> .
def <name3> ( <name4> , <name1> , <name2> , <name6> = <name5> , <name3> = <name4> ) :	define the method <name3> with 5 arguments , <name4> , <name1> , <name2> , <name6> defaulting to <name5> and <name3> defaulting to <name4> .
          Set a value in the cache if the key does not already exist . If timeout is given , that timeout will be used for the key <sep> otherwise the default cache timeout will be used . Returns True if the value was stored , False otherwise .	docsring
<name1> <name2> ( <val3>   )	<name1> an exception of class <name2> with string <val3> as argument .
def <name6> ( <name1> , <name4> , <name2> = <name3> , <name5> = <name3> ) :	define the method <name6> with 4 arguments , <name1> , <name4> , <name2> set to <name3> and <name5> set to <name3> .
<name5> <name4> ( <val6>   )	<name5> an exception of class <name4> , with string <val6> as argument .
def <name6> ( <name4> , <name1> , <name2> , <name3> = <name5> , <name6> = <name4> ) :	define the method <name6> with 5 arguments , <name4> , <name1> , <name2> , <name3> <name6> to <name5> and <name6> <name6> to <name4> .
<name5> <name1> ( <val3>   )	<name5> an exception of class <name1> , with string <val3> as argument .
def <name1> ( <name4> , <name2> , <name6> = <name5> ) :	define <name1> method with <name4> class instance , <name2> and <name6> set to <name5> , as arguments .
<name5> <name6> ( <val4>   )	<name5> an exception of class <name6> , with string <val4> as argument .
def <name4> ( <name1> , <name3> , <name5> = <name6> ) :	define the <name4> method with <name1> class instance , <name3> and <name5> set to <name6> as arguments .
<name5> = { }	<name5> is an empty dictionary .
<name4> <name6> <name2> <name3> :	<name4> every <name6> <name2> <name3> ,
<name5> = <name6> . get ( <name4> , <name1> = <name1> )	call the <name6> .get method with <name4> and <name1> set to <name1> as arguments , substitute the result for <name5> .
<name5> <name3> <name6> <name1> <name2> :	<name5> <name3> <name6> <name1> <name2> ,
<name5> [ <name6> ] = <name2>	substitute <name2> for value under the <name6> key of dictionary <name5> .
<name2> <name5>	<name2> <name5> .
def <name1> ( <name2> , <name3> , <name5> = <name4> ) :	define method <name1> with <name2> class instance , <name3> and <name5> set to <name4> as arguments .
<name4> <name2> . get ( <name1> , <name5> = <name5> ) <name6> <name3> <name4>	call the <name2> .get method with <name1> and <name5> set to <name5> as arguments , <name4> it if it <name6> <name3> <name4> .
def <name1> ( <name6> , <name5> , <name2> = <val4> , <name3> = <name1> ) :	define the method <name1> with 4 arguments , <name6> class instance , <name5> , <name2> defaulting to integer <val4> and <name3> defaulting to <name1> .
<name1> = <name4> . get ( <name2> , <name3> = <name3> )	call the method <name4> .get with <name2> and <name3> set to <name3> as arguments , substitute the result for <name1> .
<name3> <name5> <name6> <name4> :	<name3> <name5> <name6> <name4> ,
<name6> <name1> ( <val4> % <name3> )	<name6> an exception of class <name1> , with string <val4> as argument , where '%s' is substituted for <name3> .
<name1> = <name4> + <name3>	add <name4> and <name3> together , substitute the result for <name1> .
<name6> . <name5> ( <name3> , <name4> , <name2> = <name2> )	call the <name6> .set method with <name3> , <name4> and <name2> <name5> to <name2> as arguments .
<name3> <name2>	<name3> <name2> .
def <name1> ( <name2> , <name3> , <name5> = <val6> , <name4> = <name1> ) :	define the method <name1> with arguments <name2> , <name3> , <name5> defaulting to integer <val6> and <name4> defaulting to <name1> .
return <name3> . incr ( <name5> , - <name2> , <name4> = <name4> )	call the <name3> .incr method with <name5> , negative <name2> and <name4> set to <name4> as arguments .
def <name5> ( <name4> , <name3> ) :	define the private method <name5> with <name4> class instance and <name3> as arguments .
<name6> <name2> . has_key ( <name4> )	evaluate the <name2> .has_key method with <name4> as argument , <name6> the result .
def <name5> ( <name2> , <name3> , <name4> = <name6> , <name1> = <name5> ) :	define the method <name5> with arguments , <name2> , <name3> , <name4> defaulting to <name6> and <name1> set to <name5> .
<name5> <name1> , <name6> <name4> <name3> . items ( ) :	<name5> every <name1> and <name6> <name4> <name3> .items method return <name6> ,
<name2> . <name5> ( <name1> , <name4> , <name3> = <name3> , <name6> = <name6> )	call the method <name2> .set with arguments <name1> , <name4> , <name3> <name5> to <name3> , <name6> <name5> to <name6> .
def <name6> ( <name2> , <name4> , <name5> = <name3> ) :	define the method <name6> with arguments <name2> , <name4> and <name5> defaulting to <name3> .
<name4> <name1> <name3> <name5> :	<name4> every <name1> <name3> <name5> ,
self . <name4> ( <name1> , <name5> = <name5> )	call the <name4> method with <name1> and <name5> set to <name5> as arguments .
def <name4> ( <name5> ) :	define the method <name4> with <name5> class instance as the argument ,
<name4> <name6> ( <val1>   )	<name4> an exception <name6> with string <val1> as argument .
def <name2> ( <name4> , <name5> ) :	define the method <name2> with <name4> class instance and <name5> as arguments .
<name5> len ( <name1> ) >  <name6> :	<name5> length of <name1> is greater than <name6> ,
warnings . warn ( 'Cache key will cause errors if used with memcached: '    '%s (longer than %s)'   % ( <name4> , MEMCACHE_MAX_KEY_LENGTH ) , CacheKeyWarning )	substitute '%s' in string 'Cache key will cause errors if used with memcached: %s (longer than %s)' with <name4> ,
<name4> <name5> <name6> <name1> :	and MEMCACHE_MAX_KEY_LENGTH , call the function warnings .warn with previous string and CacheKeyWarning as arguments . <name4> every <name5> <name6> <name1> ,
<name2> ord ( <name1> ) <  <val6> <name5> ord ( <name1> ) == <val3> :	<name2> ascii value of <name1> is smaller than integer <val6> <name5> is equal to integer <val3> ,
warnings . warn ( 'Cache key contains characters that will cause '    'errors if used with memcached: %r'   % <name1> , CacheKeyWarning )	substitute '%r' in string 'Cache key contains characters that will cause errors if used with memcached: %r' with <name1> ,
