def <name1> ( ) :	関数  <name1> の定義
<name5> = [ <val4> , <val6> ]	<name5> に  <val4> と  <val6> からなるリストを代入
while <name1> [ -1 ] <   <val3> :	<name1> の末尾要素が  <val3> 未満の間繰り返し
<name5> . append ( <name5> [ -1 ] + <name5> [ -2 ] )	<name5> の末尾要素とその次の要素を足して  <name5> の末尾に追加する
<name1> = <val6>	<name1> に  <val6> を代入
for <name3> in <name6> :	<name6> の各要素を前から順に  <name3> として
if <name1> % <val2> == 0 :	<name1> が  <val2> でわりきれるなら
<name4> += <name6>	<name4> に  <name6> を足す
return <name1>	<name1> を返す
def <name6> ( <name5> ) :	<name5> を引数とする関数  <name6> の定義
return <name3> % <val1> == 0	<name3> が  <val1> で割り切れる場合  True 、そうでなければ  False を返す
def <name4> ( <name1> , <name3> ) :	<name1> と  <name3> を引数とする関数  <name4> の定義
return <name4> + <name6>	<name4> と  <name6> の和を返す
def <name5> ( <name1> ) :	<name1> を引数とする関数  <name5> の定義
<name4> = <val3>	<name4> に  <val3> を代入
for <name2> in <name3> :	<name3> の各要素を順に  <name2> として
<name2> += <name5>	<name2> に  <name5> を足す
return <name1>	<name1> を返す
def <name6> ( <name3> ) :	<name3> を引数とする関数  <name6> の定義
return sum ( <name4> )	<name4> の全要素の総和を返す
def euler002_n_fibnocci_sequence ( <name2> ) :	<name2> を引数とする関数  euler002_n_fibonacci_sequence の定義
<name1> = [ <val3> , <val6> ]	<name1> に  <val3> と  <val6> からなるリストを代入
<name6> = <name1> - <val5>	<name6> に  <name1> から  <val5> を引いた数を代入
if <name6> == <val5> :	もし  <name6> が  <val5> であれば
return [ <val4> ]	<val4> のみからなるリストを返す
else :	そうでなければ
while <name1> >   <val3> :	<name1> が  <val3> より大きい間
<name1> . append ( <name1> [ -1 ] + <name1> [ -2 ] )	<name1> の末尾要素とその次の要素を足して  <name1> の末尾に追加
<name1> -= <val6>	<name1> から  <val6> を引く
return <name6>	<name6> を返す
def euler002_n_fibnocci_number ( <name4> ) :	<name4> を引数とする関数  euler002_n_fibonacci_number の定義
<name4> = [ <val3> , <val2> ]	<name4> に  <val3> と  <val2> からなるリストを代入
if <val4> <   <name2> <= <val1> :	もし  <name2> が  <val4> より大きく、かつ  <val1> 以下であるなら
return <name5> [ <name4> - 1 ]	<name5> の  <name4> -1 番目の要素を返す
else :	そうでなければ
<name1> = <name2> - <val3>	<name1> に  <name2> から  <val3> を引いた数を代入
while <name2> >   <val5> :	<name2> が  <val5> より大きい間
<name5> . append ( <name5> [ -1 ] + <name5> [ -2 ] )	<name5> の末尾要素とその次の要素を足して  <name5> の末尾に追加
<name6> -= <val5>	<name6> から  <val5> を引く
return <name3> [ -1 ]	<name3> の末尾要素を返す
def <name6> ( ) :	関数  <name6> の定義
<name1> = <val5>	<name1> に  <val5> を代入
