import pandas as pd	pandas を pd としてインポートする
df = pd .read_csv ( './data/lunch_box.csv' , sep = ',' )	. / data / lunch_box .csv 'をカンマ区切りで読み込み、 df とする
df .head ( 3 )	df の上 3 行を表示する
df .head ( )	df の上 5 行を表示する
df .tail ( )	df の下 5 行を表示する
df .shape	df の行数と列数を確認する
df .index	df のインデックスを確認する
df .columns	df のカラムを確認する
df .dtypes	df のデータ型を確認する
df [ [ 'name' , 'kcal' ] ] .head ( )	df の 'name' 列と 'kcal' 列だけ上 5 行を表示する
df [ 100 : 106 ]	df の 100 行目から 105 行目を抽出する
df .loc [ 100 ]	df のインデックスが 100 の行を抽出する
df .iloc [ [ 1 , 2 , 4 ] , [ 0 , 2 ] ]	df の 1 , 2 , 4 行目と 0 , 2 列目を抽出する
df [ df [ 'kcal' ] >  450 ]	df の 'kcal' 列が 450 より大きいものを抽出する
df [ 'remarks' ] .unique ( )	df の 'remarks' 列に含まれるデータを確認する
df .drop_duplicates ( )	重複している行を df から削除する
df .describe ( )	df の統計情報を取得する
df .set_index ( 'datetime' , inplace = True )	datetime '列を df のインデックスとする
df .rename ( columns = { 'y' : 'sales' } , inplace = True )	df の 'y' 列を 'sales' 列とする
df .sort_values ( by = 'sales' , ascending = True ) .head ( )	'sales'列が昇順になるよう df をソートし、上 5 行を表示する
df .sort_values ( [ 'sales' , 'temperature' ] , ascending = False ) .head ( )	' sales'列と'temperature'列が降順になるよう df をソートし、上 5 行を表示する
df .index = pd .to_datetime ( df .index , format = '%Y-%m-%d' )	df のインデックスを datetime 型に変換する
df .isnull ( ) .sum ( )	df の欠損値の個数を列単位で確認する
df [ df .isnull ( ) .any ( axis = 1 ) ] .head ( )	df の欠損値が含まれている行を抽出し、上 5 行を表示する
df [ df .isnull ( ) .any ( axis = 1 ) ] .shape	df の欠損値が含まれている行を抽出し、その列数と行数を確認する
df .fillna ( value = { 'payday' : 0.0 } , inplace = True )	df の 'paypay' 列に含まれる欠損値を 0.0 に置き換える
df .dropna ( subset = [ 'kcal' ] , axis = 0 , inplace = True )	df の 'kcal' 列に欠損値がある行を削除する
df [ 'precipitation' ] = df [ 'precipitation' ] .str .replace ( '--' , 0 ) .astype ( float )	df の 'percipitation' 列内の '--' を 0.0 に置き換える
