os . kill ( os . getpid ( ) , signal . SIGUSR1 )	send a signal `signal.SIGUSR1` to the current process
bytes . fromhex ( '4a4b4c' ) . decode ( 'utf-8' )	decode a hex string '4a4b4c' to UTF-8.
all ( x == myList [ 0 ] for x in myList )	check if all elements in list `myList` are identical
print ( '%*s : %*s'   % ( 20 , 'Python' , 20 , 'Very Good' ) )	format number of spaces between strings `Python`, `:` and `Very Good` to be `20`
res = { k : v for k , v in list ( kwargs . items ( ) ) if v is not None }	get rid of None values in dictionary `kwargs`
res = dict ( ( k , v ) for k , v in kwargs . items ( ) if v is not None )	get rid of None values in dictionary `kwargs`
subprocess . check_output ( 'ps -ef | grep something | wc -l' , shell = True )	capture final output of a chain of system commands `ps -ef | grep something | wc -l`
''''' '''' '''' . join ( [ 'a' , 'b' , 'c' ] )'	concatenate a list of strings `['a', 'b', 'c']`
pd . Series ( list ( set ( s1 ) . intersection ( set ( s2 ) ) ) )	find intersection data between series `s1` and series `s2`
client . send ( 'HTTP/1.0 200 OK\r\n' )	sending http headers to `client`
then = datetime . datetime . strptime ( when , '%Y-%m-%d' ) . date ( )	Format a datetime string `when` to extract date only
inputString . split ( '\n' )	split a multi-line string `inputString` into separate strings
' a \n b \r\n c ' . split ( '\n' )	Split a multi-line string ` a \n b \r\n c ` by new line character `\n`
''''' '':'' '''' . join ( str ( x ) for x in b )'	'concatenate elements of list `b` by a colon '':'''
Entry . objects . filter ( ) [ : 1 ] . get ( )	get the first object from a queryset in django model `Entry`
a . sum ( axis = 1 )	Calculate sum over all rows of 2D numpy array
warnings . simplefilter ( 'always' )	enable warnings using action 'always'
print ( ' ' . join ( map ( str , l ) ) )	concatenate items of list `l` with a space ' '
subprocess . call ( [ 'python.exe' , 'hello.py' , 'htmlfilename.htm' ] )	run script 'hello.py' with argument 'htmlfilename.htm' on terminal using python executable
my_float = float ( my_string . replace ( ',' , '' ) )	convert a string `my_string` with dot and comma into a float number `my_float`
float ( '123,456.908' . replace ( ',' , '' ) )	convert a string `123,456.908` with dot and comma into a floating number
sys . path . append ( '/path/to/whatever' )	set pythonpath in python script.
re . split ( '(\\W+)' , 'Words, words, words.' )	split string 'Words, words, words.' using a regex '(\\W+)'
file = open ( 'Output.txt' , 'a' )	open a file `Output.txt` in append mode
urllib . request . urlretrieve ( 'http://www.example.com/songs/mp3.mp3' , 'mp3.mp3' )	'download a file ''http://www.example.com/songs/mp3.mp3'' over HTTP and save to ''mp3.mp3'''
r = requests . get ( url )	download a file `url` over HTTP
parser . add_argument ( '--version' , action = 'version' , version = '%(prog)s 2.0' )	argparse add argument with flag '--version' and version action of '%(prog)s 2.0' to parser `parser`
{ i : d [ i ] for i in d if i != 'c' }	remove key 'c' from dictionary `d`
pd . merge ( split_df , csv_df , on = [ 'key' ] , suffixes = ( '_left' , '_right' ) )	'Create new DataFrame object by merging columns ''key'' of  dataframes `split_df` and `csv_df` and rename the columns from dataframes `split_df` and `csv_df` with suffix `_left` and `_right` respectively'
s . split ( ' ' , 4 )	Split a string `s` by space with `4` splits
input ( 'Enter your input:' )	read keyboard-input
app . run ( debug = True )	enable debug mode on Flask application `app`
pickle . dump ( mylist , open ( 'save.txt' , 'wb' ) )	python save list `mylist` to file object 'save.txt'
scipy . tensordot ( P , T , axes = [ 1 , 1 ] ) . swapaxes ( 0 , 1 )	Multiply a matrix `P` with a 3d tensor `T` in scipy
numpy . zeros ( ( 3 , 3 , 3 ) )	Create 3d array of zeroes of size `(3,3,3)`
''''' '' '' '''' . join ( content . split ( ' ' ) [ : -1 ] )'	cut off the last word of a sentence `content`
x = np . asarray ( x ) . reshape ( 1 , -1 ) [ ( 0 ) , : ]	convert scalar `x` to array
sum ( sum ( i ) if isinstance ( i , list ) else i for i in L )	sum all elements of nested list `L`
struct . unpack ( '!f' , '470FC614' . decode ( 'hex' ) ) [ 0 ]	convert hex string '470FC614' to a float number
my_dict . update ( ( x , y * 2 ) for x , y in list ( my_dict . items ( ) ) )	Multiple each value by `2` for all keys in a dictionary `my_dict`
subprocess . call ( 'sleep.sh' , shell = True )	running bash script 'sleep.sh'
''''' '','' '''' . join ( l )'	Join elements of list `l` with a comma `,`
myList = ',' . join ( map ( str , myList ) )	make a comma-separated string from a list `myList`
list ( reversed ( list ( range ( 10 ) ) ) )	reverse the list that contains 1 to 10
